province,year,Shat_labor,Shat_mach,Shat_fert,Shat_seed,Shat_other,Sobs_labor,Sobs_mach,Sobs_fert,Sobs_seed,mono_ok,conc_ok
云南,2004,0.590806582450212,0.0370074920499774,0.234985998428106,0.0485727880333498,0.0886271390383552,0.588861048837312,0.0638709393819509,0.202624291177634,0.038529166117192,TRUE,FALSE
云南,2005,0.59350870503903,0.037051933663312,0.231310538343921,0.0501631814827333,0.0879656414710039,0.595240094022834,0.0653542646071189,0.20005036937542,0.0444929482874412,TRUE,FALSE
云南,2006,0.60437424331321,0.0460869742780092,0.209979037271503,0.0542685827006511,0.0852911624366262,0.586569191434963,0.0682326621923937,0.206615532118888,0.0483780760626398,TRUE,TRUE
云南,2007,0.626926999999209,0.0503203064006167,0.18806882291314,0.0517483136184359,0.0829355570685982,0.596431009633619,0.0798755973602367,0.192387923841311,0.0508799211105211,TRUE,TRUE
云南,2008,0.625106847110551,0.0589790841340275,0.182301526731106,0.0459848244698371,0.0876277175544791,0.572250341447738,0.0832329075279184,0.209158833453844,0.0491524062022977,TRUE,FALSE
云南,2009,0.637832327461887,0.0623065830712098,0.163484380040153,0.0526979240953212,0.0836787853314293,0.586631016042781,0.0821848739495798,0.197081741787624,0.0566844919786096,TRUE,TRUE
云南,2010,0.649862627785681,0.0655078653940167,0.146090055906272,0.0593468536460933,0.0791925972679366,0.620059733772754,0.075864466129406,0.162208089806638,0.057635366513041,TRUE,TRUE
云南,2011,0.64352648482531,0.0620624358580201,0.155784306174088,0.0602894346978569,0.0783373384447252,0.621397100864359,0.0734201056065651,0.15984484130988,0.0580163454747251,TRUE,TRUE
云南,2012,0.660455437008247,0.0640160546116337,0.141472104636265,0.0573198238812425,0.0767365798626116,0.6792241894808,0.0620336427215766,0.133530925824819,0.0513393824368007,TRUE,FALSE
云南,2013,0.672698039895136,0.0714521552775365,0.123548294994548,0.0561803618984448,0.076121147934335,0.70934700099552,0.0581912643106023,0.115410340965655,0.0462216898954704,TRUE,FALSE
云南,2014,0.678203542245746,0.0791228809758775,0.112298029090105,0.055008957923157,0.0753665897651142,0.722400486950772,0.0630030133836315,0.0996220119783878,0.0471545692965515,TRUE,FALSE
云南,2015,0.694652287464383,0.0835530930708332,0.096720241248899,0.0527346201442704,0.0723397580716143,0.723583848064537,0.066918720096132,0.0949230284512636,0.0484103781534156,TRUE,FALSE
云南,2016,0.684915767667396,0.0881861745142878,0.101506075019636,0.0543578062600563,0.0710341765386249,0.726607902307627,0.0687800599757044,0.0921064529958721,0.0480211925253406,TRUE,FALSE
云南,2017,0.688793335224093,0.087723887357565,0.0995893682313562,0.0548792774756148,0.0690141317113712,0.710750173012035,0.0741053275754291,0.0994520389124685,0.0555267036157424,TRUE,FALSE
云南,2018,0.678020277937794,0.0860209085262305,0.116082161019454,0.0493858096681228,0.0704908428483987,0.700341346045032,0.0714008702720275,0.107334448085928,0.0522609666207926,TRUE,FALSE
云南,2019,0.678783906736452,0.0865566812895813,0.117354545593129,0.0472430977167342,0.0700617686641036,0.696989250465618,0.0713824810453299,0.107759316018713,0.0514379152062649,TRUE,FALSE
云南,2020,0.682938295510818,0.0875420515913094,0.111952443472571,0.0495183132008597,0.0680488962244421,0.698037157705231,0.069796427087661,0.110758824772775,0.0521578145613306,TRUE,FALSE
云南,2021,0.678581110225199,0.0877003366348502,0.121210568385836,0.0449104409366205,0.0675975438174945,0.697719184844761,0.0723311763494172,0.115155949226824,0.0504890505245662,TRUE,FALSE
云南,2022,0.664368805854958,0.0893752228244744,0.128401732745775,0.0479132891230897,0.0699409494517026,0.664873605923114,0.0747071519735919,0.134920581887191,0.0555826556454685,TRUE,FALSE
云南,2023,0.666603688008129,0.0884346528049607,0.125417758532336,0.0521909456120853,0.0673529550424896,0.64903746061708,0.0785992865966217,0.137774292495385,0.0651917445072104,TRUE,FALSE
云南,2024,0.664536760433423,0.0901327415821723,0.123498992676364,0.0567195364760891,0.0651119688319516,0.64372475275108,0.0785694386404792,0.141586571945953,0.0710335701351163,TRUE,FALSE
内蒙古,2004,0.290386913132553,0.228387760919697,0.313996674783619,0.085636335054693,0.0815923161094384,0.406033241722288,0.207695327836671,0.240151812589975,0.0620664834445753,TRUE,TRUE
内蒙古,2005,0.302673563853319,0.22872115907486,0.309265679521743,0.0800534333154025,0.0792861642346763,0.391116577050681,0.206898524196316,0.25735041757236,0.0600045761354536,TRUE,TRUE
内蒙古,2006,0.313617600694375,0.230572466635279,0.299676132870324,0.0790238422713167,0.0771099575287059,0.336386110798966,0.25693898190808,0.263063265535453,0.0553152039555006,TRUE,TRUE
内蒙古,2007,0.316809142542291,0.235443929288427,0.29077521423441,0.0825882364449772,0.0743834774898949,0.353609147939331,0.253182985256359,0.245956748458138,0.0633685380767093,TRUE,TRUE
内蒙古,2008,0.327288195902621,0.233402426616664,0.296994353265954,0.0664413763856035,0.075873647829158,0.369558468849249,0.205172290278673,0.291902476299639,0.0548749910452038,TRUE,TRUE
内蒙古,2009,0.367026921921526,0.238016530895851,0.255214753273504,0.0695598724960066,0.0701819214131131,0.407032022973527,0.240860059364367,0.233017206013659,0.0629358816573759,TRUE,TRUE
内蒙古,2010,0.362045165031546,0.241573191902379,0.249843155442471,0.0798467905821909,0.0666916970414129,0.395441557578577,0.24212018517288,0.223536447604492,0.0693290805590626,TRUE,TRUE
内蒙古,2011,0.387827323274899,0.245623177418279,0.228194583877576,0.0738350754974989,0.064519839931747,0.423589962778935,0.224234652989261,0.221011201937632,0.0739256647254724,TRUE,TRUE
内蒙古,2012,0.381733117058659,0.248453421244986,0.226192760767125,0.0809125449746661,0.062708155954565,0.459983767525503,0.205308974012127,0.202317106163566,0.0821967948819963,TRUE,TRUE
内蒙古,2013,0.400744124322,0.25582669408468,0.202238633523849,0.0803602082935279,0.0608303397759431,0.461100828352095,0.207345935613072,0.191537457899687,0.0895257456685985,TRUE,TRUE
内蒙古,2014,0.405263429737638,0.265933714155787,0.185490136344486,0.0826949102389981,0.0606178095230907,0.457958437999543,0.234863363020477,0.171987516175687,0.0876760295349014,TRUE,TRUE
内蒙古,2015,0.403028112710057,0.26441290626256,0.186618821018951,0.0871654713334072,0.0587746886750243,0.450600961538462,0.238311298076923,0.176141826923077,0.0871694711538462,TRUE,TRUE
内蒙古,2016,0.403019328636308,0.265041980836697,0.182484603490578,0.0922580206708865,0.057196066365531,0.397349637922464,0.273775450200938,0.187828736838344,0.0975936219774079,TRUE,TRUE
内蒙古,2017,0.414299797592429,0.269747838208283,0.178172031451108,0.0799553034496085,0.0578250292985723,0.366830981239913,0.294998016893081,0.199023289426894,0.0918903267138232,TRUE,TRUE
内蒙古,2018,0.406916152763274,0.264867216982612,0.192138876145308,0.0816101033834379,0.0544676507253681,0.354364985404918,0.283359741673367,0.21921714505528,0.0938040083840943,TRUE,TRUE
内蒙古,2019,0.398588834535755,0.270237381701087,0.198316428255955,0.0750012805934726,0.0578560749137302,0.317034136375245,0.303600919383672,0.226440793394058,0.0883119094236827,TRUE,TRUE
内蒙古,2020,0.399275334557241,0.272438083973093,0.195162062936215,0.0767738437527544,0.0563506747806956,0.325325431262568,0.298620665326137,0.219441210710128,0.0892863442339577,TRUE,TRUE
