crop,f_n,f_m,eps,morishima
wheat,labor,labor,-0.417510726276761,0
wheat,labor,mach,0.187071414459359,0.987973144974373
wheat,labor,fert,0.156910374821925,0.883465180003857
wheat,labor,seed,0.0519818741391821,0.611079599209849
wheat,labor,other,0.0215470628562947,1.04686866163488
wheat,mach,labor,0.34584199829965,0.763352724576411
wheat,mach,mach,-0.800901730515014,0
wheat,mach,fert,0.246722213315758,0.97327701849769
wheat,mach,seed,0.110570282829223,0.669668007899889
wheat,mach,other,0.0977672360703821,1.12308883484897
wheat,fert,labor,0.318845821578211,0.736356547854972
wheat,fert,mach,0.271185847231359,1.07208757774637
wheat,fert,fert,-0.726554805181932,0
wheat,fert,seed,0.0384610023204555,0.597558727391122
wheat,fert,other,0.0980621340519063,1.12338373283049
wheat,seed,labor,0.201270960269807,0.618781686546568
wheat,seed,mach,0.231578002633675,1.03247973314869
wheat,seed,fert,0.0732859485161205,0.799840753698052
wheat,seed,seed,-0.559097725070667,0
wheat,seed,other,0.0529628136510643,1.07828441242965
wheat,other,labor,0.16200790665845,0.57951863293521
wheat,other,mach,0.397622697770683,1.1985244282857
wheat,other,fert,0.362844380944558,1.08939918612649
wheat,other,seed,0.102846613404896,0.661944338475563
wheat,other,other,-1.02532159877859,0
