a,b,med,lo,hi,excl0
corn,wheat,0.0445582290226034,-0.164193064951884,0.258865016402607,FALSE
corn,soybean,-0.0831773646048816,-0.329688807279342,0.134449984673648,FALSE
corn,rice_japonica,-0.0477635653048826,-0.369970762759282,0.308616359683389,FALSE
corn,rice_mid_indica,0.0260308179653733,-0.301906864666767,0.294240328640444,FALSE
corn,rice_early_indica,0.0689178369304014,-0.19550831935591,0.382574974970767,FALSE
corn,rice_late_indica,0.157329814871397,-0.117373545319128,0.467041775783001,FALSE
corn,peanut,-0.0574469456743503,-0.458014985430233,0.233097810952225,FALSE
corn,rapeseed,-0.0590316474225191,-0.338240505104996,0.234760139097752,FALSE
wheat,soybean,-0.127791769296594,-0.403114250770424,0.102222292141791,FALSE
wheat,rice_japonica,-0.0957263745539261,-0.356751099975488,0.191359285061165,FALSE
wheat,rice_mid_indica,-0.0335589411175884,-0.342960535373535,0.267739592880926,FALSE
wheat,rice_early_indica,0.0329101886895695,-0.26343966855145,0.326600332372587,FALSE
wheat,rice_late_indica,0.130219670185622,-0.174276782979899,0.408034660463426,FALSE
wheat,peanut,-0.10796012318249,-0.529567242105858,0.212114556334085,FALSE
wheat,rapeseed,-0.111966999492438,-0.370072372721459,0.19289141007824,FALSE
soybean,rice_japonica,0.0340522279277067,-0.194813637568888,0.320426624548229,FALSE
soybean,rice_mid_indica,0.111983314242769,-0.223809110376905,0.459929407537534,FALSE
soybean,rice_early_indica,0.156678162857897,-0.108167537190011,0.464759311508949,FALSE
soybean,rice_late_indica,0.252697546471642,-0.000832807877273217,0.529898950494211,FALSE
soybean,peanut,0.0252377565993939,-0.355791000890151,0.310920268793135,FALSE
soybean,rapeseed,0.0301090474962734,-0.252318767014318,0.298977447763531,FALSE
rice_japonica,rice_mid_indica,0.0771031697288345,-0.298377211386585,0.384176100742807,FALSE
rice_japonica,rice_early_indica,0.125491530122591,-0.251509037698298,0.395852588193565,FALSE
rice_japonica,rice_late_indica,0.216012960694457,-0.157109899861818,0.463351847914196,FALSE
rice_japonica,peanut,-0.0120758188301803,-0.459010076529844,0.352624547887651,FALSE
rice_japonica,rapeseed,-0.0041531134912331,-0.346479639969999,0.281833493169572,FALSE
rice_mid_indica,rice_early_indica,0.0553073145057795,-0.259403463386463,0.39912284854472,FALSE
rice_mid_indica,rice_late_indica,0.15266141685832,-0.18360054511087,0.510556156439448,FALSE
rice_mid_indica,peanut,-0.0773783762315544,-0.598722332532616,0.374131611329823,FALSE
rice_mid_indica,rapeseed,-0.0723447674251416,-0.37080504031325,0.234838336805904,FALSE
rice_early_indica,rice_late_indica,0.0903355861152136,-0.0468090869275785,0.189252408134062,FALSE
rice_early_indica,peanut,-0.140748104035756,-0.551527307139128,0.16518307779613,FALSE
rice_early_indica,rapeseed,-0.13335986530664,-0.417313376548286,0.127634579667937,FALSE
rice_late_indica,peanut,-0.234088473458723,-0.605623788652939,0.0718135870747646,FALSE
rice_late_indica,rapeseed,-0.223868337507398,-0.47897537335243,0.0554209556681547,FALSE
peanut,rapeseed,-0.00678077069734495,-0.340160431158256,0.443698747417495,FALSE
DRY_mean,RICE_mean,0.0844835076975063,-0.115850420624113,0.243681039405029,FALSE
