crop,p_analytic,dmml,G3_verdict
corn,1.04e-20,1.014,reject_higher_post(H1部分复活)
wheat,1.21e-08,0.838,reject_higher_post(H1部分复活)
soybean,4.56e-06,0.639,reject_higher_post(H1部分复活)
rice_japonica,4.01e-09,1.196,reject_higher_post(H1部分复活)
rice_mid_indica,6.81e-27,0.985,reject_higher_post(H1部分复活)
rice_early_indica,1.23e-21,1.296,reject_higher_post(H1部分复活)
rice_late_indica,3.95e-06,1.601,reject_higher_post(H1部分复活)
peanut,4.23e-08,0.872,reject_higher_post(H1部分复活)
rapeseed,1.54e-21,1.149,reject_higher_post(H1部分复活)
