crop,province,year,check,rel,detail,status
corn,内蒙古,2005,total_cost,0.0,生产359.03+土地100.13 vs 总459.16,ok
corn,内蒙古,2005,msf_sum,0.0,分项和222.28 vs 222.28 (n=17),ok
corn,内蒙古,2005,fert_purity_eq,0.0,折纯19.84 vs 化肥用量19.84,ok
corn,北京,2005,total_cost,0.0,生产248.48+土地67.59 vs 总316.07,ok
corn,北京,2005,msf_sum,0.0,分项和156.79 vs 156.79 (n=16),ok
corn,北京,2005,fert_purity_eq,0.0,折纯19.57 vs 化肥用量19.57,ok
corn,吉林,2005,total_cost,0.0,生产299.42+土地118.56 vs 总417.98,ok
corn,吉林,2005,msf_sum,0.0,分项和179.77 vs 179.77 (n=16),ok
corn,吉林,2005,fert_purity_eq,0.0,折纯15.62 vs 化肥用量15.62,ok
corn,天津,2005,total_cost,0.0,生产243.36+土地83.04 vs 总326.4,ok
corn,天津,2005,msf_sum,0.0,分项和165.73 vs 165.73 (n=18),ok
corn,天津,2005,fert_purity_eq,0.0,折纯19.99 vs 化肥用量19.99,ok
corn,安徽,2005,total_cost,0.0,生产265.84+土地34.89 vs 总300.73,ok
corn,安徽,2005,msf_sum,0.0,分项和130.58 vs 130.58 (n=14),ok
corn,安徽,2005,fert_purity_eq,0.0,折纯16.61 vs 化肥用量16.61,ok
corn,山东,2005,total_cost,0.0,生产327.42+土地33.89 vs 总361.31,ok
corn,山东,2005,msf_sum,0.0,分项和188.61 vs 188.61 (n=17),ok
corn,山东,2005,fert_purity_eq,0.0,折纯22.37 vs 化肥用量22.37,ok
corn,山西,2005,total_cost,0.0,生产328.93+土地46.08 vs 总375.01,ok
corn,山西,2005,msf_sum,0.0,分项和176.63 vs 176.63 (n=16),ok
corn,山西,2005,fert_purity_eq,0.0,折纯18.84 vs 化肥用量18.84,ok
corn,江苏,2005,total_cost,0.0,生产276.98+土地59.1 vs 总336.08,ok
corn,江苏,2005,msf_sum,0.0,分项和158.86 vs 158.86 (n=12),ok
corn,江苏,2005,fert_purity_eq,0.0,折纯21.93 vs 化肥用量21.93,ok
corn,河北,2005,total_cost,0.0,生产290.76+土地63.7 vs 总354.46,ok
corn,河北,2005,msf_sum,0.0,分项和175.44 vs 175.44 (n=15),ok
corn,河北,2005,fert_purity_eq,0.0,折纯16.39 vs 化肥用量16.39,ok
corn,辽宁,2005,total_cost,0.0,生产308.73+土地102.5 vs 总411.23,ok
corn,辽宁,2005,msf_sum,0.0,分项和192.12 vs 192.12 (n=16),ok
corn,辽宁,2005,fert_purity_eq,0.0,折纯19.29 vs 化肥用量19.29,ok
corn,黑龙江,2005,total_cost,0.0,生产221.32+土地94.31 vs 总315.63,ok
corn,黑龙江,2005,msf_sum,0.0,分项和146.01 vs 146.01 (n=18),ok
corn,黑龙江,2005,fert_purity_eq,0.0,折纯13.59 vs 化肥用量13.59,ok
rapeseed,四川,2023,total_cost,0.0,生产1081.12+土地112.88 vs 总1194.0,ok
rapeseed,四川,2023,msf_sum,0.0,分项和294.07 vs 294.07 (n=13),ok
rapeseed,河南,2023,total_cost,0.0,生产613.5+土地164.32 vs 总777.82,ok
rapeseed,河南,2023,msf_sum,0.0,分项和296.13 vs 296.13 (n=7),ok
rapeseed,湖北,2023,total_cost,0.0,生产744.29+土地126.26 vs 总870.55,ok
rapeseed,湖北,2023,msf_sum,0.0,分项和360.37 vs 360.37 (n=12),ok
rapeseed,湖南,2023,total_cost,0.0,生产707.15+土地117.92 vs 总825.07,ok
rapeseed,湖南,2023,msf_sum,0.0,分项和326.55 vs 326.55 (n=12),ok
rapeseed,重庆,2023,total_cost,0.0,生产1017.77+土地113.1 vs 总1130.87,ok
rapeseed,重庆,2023,msf_sum,0.0,分项和141.92 vs 141.92 (n=11),ok
wheat,上海,2005,total_cost,0.0,生产203.0+土地174.28 vs 总377.28,ok
wheat,上海,2005,msf_sum,0.0,分项和141.49 vs 141.49 (n=6),ok
wheat,上海,2005,fert_purity_eq,0.0,折纯19.62 vs 化肥用量19.62,ok
wheat,云南,2005,total_cost,0.0,生产313.17+土地61.52 vs 总374.69,ok
wheat,云南,2005,msf_sum,0.0,分项和124.57 vs 124.57 (n=18),ok
wheat,云南,2005,fert_purity_eq,0.0,折纯10.46 vs 化肥用量10.46,ok
wheat,四川,2005,total_cost,0.0,生产341.79+土地29.03 vs 总370.82,ok
wheat,四川,2005,msf_sum,0.0,分项和140.45 vs 140.45 (n=14),ok
wheat,四川,2005,fert_purity_eq,0.0,折纯14.2 vs 化肥用量14.2,ok
wheat,宁夏,2005,total_cost,0.0,生产424.75+土地14.51 vs 总439.26,ok
wheat,宁夏,2005,msf_sum,0.0,分项和276.30 vs 276.3 (n=13),ok
