param,est,se_delta
alpha_1,0.393096376410545,
alpha_2,0.26873077217236,
alpha_3,0.173700698110129,
alpha_4,0.076607604513227,
gamma_1_1,0.0851132783297778,
gamma_1_2,-0.00432305962848095,
gamma_1_3,-0.0498295525561378,
gamma_1_4,-0.00522410938178622,
gamma_2_2,0.0249942294720531,
gamma_2_3,-0.0241995999236567,
gamma_2_4,0.0026550684443616,
gamma_3_3,0.075908261961836,
gamma_3_4,-0.0140741928505315,
gamma_4_4,0.0167476518176791,
gamma_1y,0.0316936073362253,
gamma_2y,-0.0134724382714211,
gamma_3y,0.0330861312781583,
gamma_4y,-0.0063406164873598,
lambda_1t,-0.00437940400015542,
lambda_2t,0.00219195591449916,
lambda_3t,0.000927095660811721,
lambda_4t,0.00078176911917102,
alpha_0,-0.00719089577974152,
alpha_y,0.208717058581756,
gamma_yy,1.31447826255116,
lambda_t,-0.0106398385180645,
lambda_tt,-0.000456690072051267,
lambda_yt,-0.00454954506008898,
fe1_广东,0.0867191383077159,
fe1_广西,0.10315042921165,
fe1_江西,0.0359560623356658,
fe1_浙江,-0.0571693361576972,
fe1_海南,0.0824707157401926,
fe1_湖北,0.0676544049885058,
fe1_湖南,0.0280403810029599,
fe1_福建,0.168229962743056,
fe2_广东,-0.0637180137388477,
fe2_广西,-0.0903622421837532,
fe2_江西,-0.0522916608186597,
fe2_浙江,0.0506035654726506,
fe2_海南,-0.0518435322886502,
fe2_湖北,-0.0444916566491574,
fe2_湖南,-0.00556985394711862,
fe2_福建,-0.0999229875306468,
fe3_广东,0.0198529563146706,
fe3_广西,0.000474570047072076,
fe3_江西,0.0166942222493713,
fe3_浙江,-0.00399285572990754,
fe3_海南,0.0118209079777511,
fe3_湖北,-0.0118782056844584,
fe3_湖南,-0.0229165787679498,
fe3_福建,-0.0322260422493996,
fe4_广东,-0.0319100333709908,
fe4_广西,-0.0266841497488154,
fe4_江西,-0.0145176869021218,
fe4_浙江,-0.018113459729641,
fe4_海南,-0.00602074571308164,
fe4_湖北,0.00618529864938851,
fe4_湖南,-0.00963364512502224,
fe4_福建,-0.0404329736525018,
feC_广东,0.0470009677919538,
feC_广西,0.16079959394603,
feC_江西,0.0142866383474898,
feC_浙江,-0.0999212813313282,
feC_海南,-0.0324512731997739,
feC_湖北,-0.049345442420889,
feC_湖南,-0.074441872186399,
feC_福建,0.19605604279839,
