crop,province,year,variable,value_base,value_pdf,ref_source
corn,内蒙古,2019,人工成本,325.11,186.21,pdf_patch:2020.pdf
corn,内蒙古,2019,农家肥费,40.58,10.12,pdf_patch:2020.pdf
corn,内蒙古,2019,农药费,23.44,14.03,pdf_patch:2020.pdf
corn,内蒙古,2019,化肥费,135.21,133.0,pdf_patch:2020.pdf
corn,内蒙古,2019,家庭用工天数,3.75,1.97,pdf_patch:2020.pdf
corn,内蒙古,2019,家庭用工折价,323.49,170.25,pdf_patch:2020.pdf
corn,内蒙古,2019,工具材料费,3.4,2.56,pdf_patch:2020.pdf
corn,内蒙古,2019,每亩种子用量,2.12,2.08,pdf_patch:2020.pdf
corn,内蒙古,2019,雇工工价,161.9,132.93,pdf_patch:2020.pdf
corn,吉林,2019,人工成本,667.01,352.53,pdf_patch:2020.pdf
corn,吉林,2019,修理维护费,4.16,0.81,pdf_patch:2020.pdf
corn,吉林,2019,农家肥费,44.52,0.02,pdf_patch:2020.pdf
corn,吉林,2019,农药费,23.36,23.15,pdf_patch:2020.pdf
corn,吉林,2019,固定资产折旧,7.51,6.92,pdf_patch:2020.pdf
corn,吉林,2019,家庭用工天数,7.6,3.57,pdf_patch:2020.pdf
corn,吉林,2019,家庭用工折价,656.75,308.72,pdf_patch:2020.pdf
corn,吉林,2019,工具材料费,6.84,2.0,pdf_patch:2020.pdf
corn,吉林,2019,燃料动力费,3.16,0.17,pdf_patch:2020.pdf
corn,吉林,2019,种子费,77.68,50.85,pdf_patch:2020.pdf
corn,吉林,2019,销售费,0.16,0.02,pdf_patch:2020.pdf
corn,吉林,2019,雇工工价,128.28,115.28,pdf_patch:2020.pdf
corn,山西,2019,修理维护费,2.0,1.08,pdf_patch:2020.pdf
corn,山西,2019,农药费,24.01,12.74,pdf_patch:2020.pdf
corn,山西,2019,固定资产折旧,3.81,1.83,pdf_patch:2020.pdf
corn,山西,2019,工具材料费,2.88,2.62,pdf_patch:2020.pdf
corn,山西,2019,每亩种子用量,1.92,1.57,pdf_patch:2020.pdf
corn,山西,2019,燃料动力费,1.02,0.89,pdf_patch:2020.pdf
corn,山西,2019,雇工天数,0.05,0.02,pdf_patch:2020.pdf
corn,山西,2019,雇工工价,84.38,66.7,pdf_patch:2020.pdf
corn,山西,2019,雇工费用,4.22,1.33,pdf_patch:2020.pdf
corn,河北,2019,保险费,14.25,1.78,pdf_patch:2020.pdf
corn,河北,2019,农药费,22.5,18.0,pdf_patch:2020.pdf
corn,河北,2019,化肥费,132.6,118.11,pdf_patch:2020.pdf
corn,河北,2019,每亩化肥用量,22.67,20.88,pdf_patch:2020.pdf
corn,河北,2019,种子费,50.55,47.69,pdf_patch:2020.pdf
corn,辽宁,2019,人工成本,487.54,326.97,pdf_patch:2020.pdf
corn,辽宁,2019,修理维护费,1.75,1.37,pdf_patch:2020.pdf
corn,辽宁,2019,农家肥费,13.72,4.22,pdf_patch:2020.pdf
corn,辽宁,2019,农药费,19.75,15.05,pdf_patch:2020.pdf
corn,辽宁,2019,固定资产折旧,6.97,3.67,pdf_patch:2020.pdf
corn,辽宁,2019,家庭用工天数,5.52,3.05,pdf_patch:2020.pdf
corn,辽宁,2019,家庭用工折价,476.82,263.55,pdf_patch:2020.pdf
corn,辽宁,2019,排灌费,9.59,1.01,pdf_patch:2020.pdf
corn,辽宁,2019,每亩种子用量,1.88,1.87,pdf_patch:2020.pdf
corn,辽宁,2019,畜力费,18.38,7.52,pdf_patch:2020.pdf
corn,辽宁,2019,种子费,58.4,54.68,pdf_patch:2020.pdf
corn,辽宁,2019,雇工工价,107.18,91.92,pdf_patch:2020.pdf
corn,黑龙江,2019,人工成本,815.31,236.61,pdf_patch:2020.pdf
corn,黑龙江,2019,修理维护费,1.48,0.01,pdf_patch:2020.pdf
corn,黑龙江,2019,化肥费,146.68,119.97,pdf_patch:2020.pdf
corn,黑龙江,2019,固定资产折旧,12.79,0.02,pdf_patch:2020.pdf
corn,黑龙江,2019,家庭用工天数,9.31,2.35,pdf_patch:2020.pdf
