crop,f_n,f_m,S_n,eps,morishima
soybean,labor,labor,0.403326180443361,-0.382295648417422,0
soybean,labor,mach,0.403326180443361,0.147942397457122,1.12443752357364
soybean,labor,fert,0.403326180443361,0.0523729404833876,0.910093885979146
soybean,labor,seed,0.403326180443361,0.0220737039630965,0.612981404975674
soybean,labor,land,0.403326180443361,0.153090099805903,0.646773598914003
soybean,labor,other,0.403326180443361,0.00681650670791369,1.2096990558656
soybean,mach,labor,0.115852356329043,0.515043836679015,0.897339485096437
soybean,mach,mach,0.115852356329043,-0.976495126116518,0
soybean,mach,fert,0.115852356329043,0.0708830988827803,0.928604044378538
soybean,mach,seed,0.115852356329043,0.0922792177317267,0.683186918744305
soybean,mach,land,0.115852356329043,0.24650234117285,0.74018584028095
soybean,mach,other,0.115852356329043,0.051786631650146,1.25466918080783
soybean,fert,labor,0.0863063625673238,0.244748792735585,0.627044441153007
soybean,fert,mach,0.0863063625673238,0.0951491151428009,1.07164424125932
soybean,fert,fert,0.0863063625673238,-0.857720945495758,0
soybean,fert,seed,0.0863063625673238,0.11430177049268,0.705209471505258
soybean,fert,land,0.0863063625673238,0.30999244711299,0.80367594622109
soybean,fert,other,0.0863063625673238,0.0935288200117026,1.29641136916939
soybean,seed,labor,0.0717570143252202,0.124070138527825,0.506365786945247
soybean,seed,mach,0.0717570143252202,0.148985641542556,1.12548076765907
soybean,seed,fert,0.0717570143252202,0.137477431844054,0.995198377339812
soybean,seed,seed,0.0717570143252202,-0.590907701012578,0
soybean,seed,land,0.0717570143252202,0.0372722018262042,0.530955700934304
soybean,seed,other,0.0717570143252202,0.143102287271939,1.34598483642963
soybean,land,labor,0.283444579617643,0.21783886395605,0.600134512373472
soybean,land,mach,0.283444579617643,0.100752948262492,1.07724807437901
soybean,land,fert,0.283444579617643,0.0943899529486726,0.952110898444431
soybean,land,seed,0.283444579617643,0.00943585488204887,0.600343555894627
soybean,land,land,0.283444579617643,-0.4936834991081,0
soybean,land,other,0.283444579617643,0.0712658790588359,1.27414842821652
soybean,other,labor,0.039313506717409,0.0699320880793352,0.452227736496757
soybean,other,mach,0.039313506717409,0.152609212557394,1.12910433867391
soybean,other,fert,0.039313506717409,0.205327199846292,1.06304814534205
soybean,other,seed,0.039313506717409,0.26119758157308,0.852105282585658
soybean,other,land,0.039313506717409,0.513816467101587,1.00749996620969
soybean,other,other,0.039313506717409,-1.20288254915769,0
