crop,year,factor,delta
rapeseed,2004,fert,0
rapeseed,2005,fert,0.047887242704687
rapeseed,2006,fert,0.0277671417377843
rapeseed,2007,fert,0.0261848967273109
rapeseed,2008,fert,0.0246011312841626
rapeseed,2009,fert,0.0368671585140633
rapeseed,2010,fert,0.019155902685112
rapeseed,2011,fert,0.00957198135602088
rapeseed,2012,fert,-0.00869071659121586
rapeseed,2013,fert,-0.00227669824383458
rapeseed,2014,fert,-0.000354193727731454
rapeseed,2015,fert,0.000679944880821476
rapeseed,2016,fert,0.00146529575753359
rapeseed,2017,fert,0.00557024657541623
rapeseed,2018,fert,0.00468407264233116
rapeseed,2019,fert,0.00848053892098819
rapeseed,2020,fert,0.024305033008809
rapeseed,2021,fert,0.0198750220250109
rapeseed,2022,fert,0.0359852147845384
rapeseed,2023,fert,0.040906750500366
rapeseed,2024,fert,0.0351310097595479
rapeseed,2004,labor,0
rapeseed,2005,labor,-0.0439377288196823
rapeseed,2006,labor,-0.0247916190025203
rapeseed,2007,labor,-0.0333013686887544
rapeseed,2008,labor,-0.0236235623887119
rapeseed,2009,labor,-0.0195765339701595
rapeseed,2010,labor,0.00210251739185064
rapeseed,2011,labor,0.0212307567982485
rapeseed,2012,labor,0.0641674697927297
rapeseed,2013,labor,0.0673971618346046
rapeseed,2014,labor,0.0548250872245118
rapeseed,2015,labor,0.039337222483218
rapeseed,2016,labor,0.0407373192739144
rapeseed,2017,labor,0.0241202282131896
rapeseed,2018,labor,0.0172307566013432
rapeseed,2019,labor,0.0109498134609998
rapeseed,2020,labor,-0.00975775104400718
rapeseed,2021,labor,-0.00666325923389274
rapeseed,2022,labor,-0.0306171528386666
rapeseed,2023,labor,-0.0508415605714374
rapeseed,2024,labor,-0.0418928582545642
rapeseed,2004,mach,0
rapeseed,2005,mach,0.00716722231537655
rapeseed,2006,mach,0.00821840022989323
rapeseed,2007,mach,0.0151693544468433
rapeseed,2008,mach,0.011435740501435
rapeseed,2009,mach,0.00292293466395976
rapeseed,2010,mach,0.00132735084605054
rapeseed,2011,mach,-0.00404797404164473
rapeseed,2012,mach,-0.0220121028866151
rapeseed,2013,mach,-0.0281706516965146
rapeseed,2014,mach,-0.0200614246176129
rapeseed,2015,mach,-0.00911283426475748
rapeseed,2016,mach,-0.0116189783135227
rapeseed,2017,mach,-0.00427181749475406
rapeseed,2018,mach,0.00233863086190864
rapeseed,2019,mach,0.00738956389220512
rapeseed,2020,mach,0.00630501884116997
rapeseed,2021,mach,0.0108592350224055
rapeseed,2022,mach,0.0232612673230802
rapeseed,2023,mach,0.038453654620676
rapeseed,2024,mach,0.0292657578368615
rapeseed,2004,other,0
rapeseed,2005,other,-0.00905487083244246
rapeseed,2006,other,-0.00798028505891389
rapeseed,2007,other,-0.00686007950700494
rapeseed,2008,other,-0.00912499972052002
rapeseed,2009,other,-0.0163771846500297
rapeseed,2010,other,-0.0153562481489504
rapeseed,2011,other,-0.0166376999923546
rapeseed,2012,other,-0.0192602388627768
rapeseed,2013,other,-0.0195285583502601
rapeseed,2014,other,-0.0165085375422232
rapeseed,2015,other,-0.0135355602146094
rapeseed,2016,other,-0.0120394596637942
rapeseed,2017,other,-0.00804858613254303
rapeseed,2018,other,-0.00890430494216711
rapeseed,2019,other,-0.0103735243183059
rapeseed,2020,other,-0.0066382693424698
rapeseed,2021,other,-0.00759782572745206
rapeseed,2022,other,-0.0145183702433905
rapeseed,2023,other,-0.0180944545782138
rapeseed,2024,other,-0.00849420784977405
rapeseed,2004,seed,0
rapeseed,2005,seed,-0.00206186536793875
rapeseed,2006,seed,-0.00321363790624342
rapeseed,2007,seed,-0.00119280297839494
rapeseed,2008,seed,-0.00328830967636562
rapeseed,2009,seed,-0.00383637455783382
rapeseed,2010,seed,-0.00722952277406277
rapeseed,2011,seed,-0.01011706412027
rapeseed,2012,seed,-0.0142044114521219
rapeseed,2013,seed,-0.0174212535439953
rapeseed,2014,seed,-0.0179009313369441
rapeseed,2015,seed,-0.0173687728846726
rapeseed,2016,seed,-0.0185441770541311
rapeseed,2017,seed,-0.0173700711613088
rapeseed,2018,seed,-0.0153491551634159
rapeseed,2019,seed,-0.0164463919558871
rapeseed,2020,seed,-0.0142140314635019
rapeseed,2021,seed,-0.0164731720860716
rapeseed,2022,seed,-0.0141109590255616
rapeseed,2023,seed,-0.0104243899713908
rapeseed,2024,seed,-0.0140097014920711
