crop,f_n,f_m,eps,morishima
rice_mid_indica,labor,labor,-0.282241424694507,0
rice_mid_indica,labor,mach,0.161957423197406,0.873842611025259
rice_mid_indica,labor,fert,0.0427172610613396,0.447929907958128
rice_mid_indica,labor,seed,0.0597245900245567,0.811463707095683
rice_mid_indica,labor,other,0.0178421504112051,0.746049133144957
rice_mid_indica,mach,labor,0.468781767594206,0.751023192288713
rice_mid_indica,mach,mach,-0.711885187827853,0
rice_mid_indica,mach,fert,0.0694293280159703,0.474641974912759
rice_mid_indica,mach,seed,0.0315270793922947,0.78326619646342
rice_mid_indica,mach,other,0.142147012825382,0.870353995559134
rice_mid_indica,fert,labor,0.176330283775058,0.458571708469565
rice_mid_indica,fert,mach,0.0990140022591852,0.810899190087038
rice_mid_indica,fert,fert,-0.405212646896788,0
rice_mid_indica,fert,seed,0.0560318038404717,0.807770920911598
rice_mid_indica,fert,other,0.0738365570220739,0.802043539755826
rice_mid_indica,seed,labor,0.502932519103943,0.78517394379845
rice_mid_indica,seed,mach,0.0917213475877584,0.803606535415612
rice_mid_indica,seed,fert,0.114305633985768,0.519518280882556
rice_mid_indica,seed,seed,-0.751739117071126,0
rice_mid_indica,seed,other,0.0427796163936567,0.770986599127408
rice_mid_indica,other,labor,0.144493378967497,0.426734803662004
rice_mid_indica,other,mach,0.3977119447251,1.10959713255295
rice_mid_indica,other,fert,0.144860066704581,0.550072713601369
rice_mid_indica,other,seed,0.0411415923365731,0.792880709407699
rice_mid_indica,other,other,-0.728206982733752,0
