param,est,se_delta
alpha_1,0.376606331305737,
alpha_2,0.254618003341646,
alpha_3,0.18146916862473,
alpha_4,0.078158556316877,
gamma_1_1,0.146977459307862,
gamma_1_2,-0.0221730524603712,
gamma_1_3,-0.0718719249237414,
gamma_1_4,-0.00983410805139558,
gamma_2_2,0.0225090926711141,
gamma_2_3,-0.0102202774626565,
gamma_2_4,0.00341697161196139,
gamma_3_3,0.0811613210270763,
gamma_3_4,-0.0109948687818187,
gamma_4_4,0.0151466072357365,
gamma_1y,0.0357674277055574,
gamma_2y,-0.00353802329219705,
gamma_3y,0.012083614395448,
gamma_4y,-0.0273885974009939,
lambda_1t,-0.0101475646309845,
lambda_2t,0.00373575284773816,
lambda_3t,0.00272590329372505,
lambda_4t,0.00221702853553209,
alpha_0,0.0800377300134398,
alpha_y,-0.0421580348523705,
gamma_yy,-0.344588109041922,
lambda_t,-0.0139544109003316,
lambda_tt,-0.000164205258292853,
lambda_yt,-0.000111823650748466,
fe1_广东,0.10321053193437,
fe1_广西,0.0948421793291193,
fe1_江西,0.0152359852490744,
fe1_浙江,-0.0250192863951907,
fe1_海南,0.102279190774202,
fe1_湖北,0.0503187177996831,
fe1_湖南,0.0405257742020939,
fe1_福建,0.173872930933586,
fe2_广东,-0.0527108995429448,
fe2_广西,-0.0671150047624765,
fe2_江西,-0.0324526214248942,
fe2_浙江,0.026105927332889,
fe2_海南,-0.0336973637698043,
fe2_湖北,-0.0328351482606574,
fe2_湖南,-0.00348199466224836,
fe2_福建,-0.091217106769997,
fe3_广东,0.00168704093722807,
fe3_广西,-0.00528732690037094,
fe3_江西,0.00839929643538755,
fe3_浙江,-0.00490528750441473,
fe3_海南,-0.00452006896555557,
fe3_湖北,-0.018992493840919,
fe3_湖南,-0.0355854688896602,
fe3_福建,-0.0291421529635908,
fe4_广东,-0.0216205680963065,
fe4_广西,-0.010779894707494,
fe4_江西,-0.00884600114882633,
fe4_浙江,-0.0156554174773075,
fe4_海南,-0.00209260022492713,
fe4_湖北,0.00322283847506244,
fe4_湖南,-0.00325370632519625,
fe4_福建,-0.032155879556549,
feC_广东,-0.0676300407893873,
feC_广西,-0.0713787041797858,
feC_江西,-0.101705107958087,
feC_浙江,-0.137386612603627,
feC_海南,-0.16166129246594,
feC_湖北,-0.0142863016068908,
feC_湖南,-0.116953311841172,
feC_福建,0.0743325363876657,
