crop,f_n,f_m,eps,morishima
corn,labor,labor,-0.296627448451063,0
corn,labor,mach,0.191804103547328,1.16600956869072
corn,labor,fert,0.0547539783328843,0.487827271572039
corn,labor,seed,0.0265764218730645,0.4689489025855
corn,labor,other,0.023492944697786,0.869756628178978
corn,mach,labor,0.684762555571043,0.981390004022106
corn,mach,mach,-0.974205465143394,0
corn,mach,fert,0.160395356105616,0.593468649344771
corn,mach,seed,0.0393067458818428,0.481679226594278
corn,mach,other,0.0897408075848918,0.936004491066084
corn,fert,labor,0.15061818907563,0.447245637526692
corn,fert,mach,0.123586610767375,1.09779207591077
corn,fert,fert,-0.433073293239155,0
corn,fert,seed,0.0537033654797429,0.496075846192178
corn,fert,other,0.105165127916407,0.951428811397599
corn,seed,labor,0.206177713944499,0.502805162395562
corn,seed,mach,0.0854142225430295,1.05961968768642
corn,seed,fert,0.151455473068514,0.58452876630767
corn,seed,seed,-0.442372480712435,0
corn,seed,other,-0.000674928843607595,0.845588754637584
corn,other,labor,0.229117318166817,0.52574476661788
corn,other,mach,0.245147983179512,1.21935344832291
corn,other,fert,0.372846845780056,0.805920139019211
corn,other,seed,-0.000848463645193538,0.441524017067242
corn,other,other,-0.846263683481192,0
