param,est
alpha_1,0.37814704662134
alpha_2,0.274325101357927
alpha_3,0.182376097684817
alpha_4,0.0800702696414821
gamma_1_1,0.147619927075094
gamma_1_2,-0.0346471031412144
gamma_1_3,-0.0688393648107768
gamma_1_4,-0.00965228934365672
gamma_2_2,0.0334271366798953
gamma_2_3,-0.00701070691132485
gamma_2_4,0.00113472060696608
gamma_3_3,0.0773432089347175
gamma_3_4,-0.00977383128255564
gamma_4_4,0.018734029977338
gamma_1y,0.0119872314755818
gamma_2y,-0.0297469948728545
gamma_3y,-0.0400432772729999
gamma_4y,-0.0156137651957187
lambda_1t,-0.00944751035247439
lambda_2t,0.00423258458764919
lambda_3t,0.00286715078087033
lambda_4t,0.00129930324353101
alpha_0,0.0556415170060181
alpha_y,0.343831083209743
gamma_yy,-1.34592358709926
lambda_t,-0.021626036555743
lambda_tt,0.0010041293997584
lambda_yt,-0.0749358887714724
fe1_广东,0.126460533255163
fe1_广西,0.128693862217405
fe1_江西,0.040340768276399
fe1_浙江,-0.0270192974303379
fe1_海南,0.105290701946143
fe1_湖北,0.0976416784295694
fe1_湖南,0.0517280724395974
fe1_福建,0.197284495464518
fe2_广东,-0.0755912319401114
fe2_广西,-0.100596276283996
fe2_江西,-0.0534429765881222
fe2_浙江,0.0415064586225462
fe2_海南,-0.0595614674441979
fe2_湖北,-0.0474854658100922
fe2_湖南,-0.00845815077372814
fe2_福建,-0.10517773228569
fe3_广东,-0.00239060030529233
fe3_广西,-0.0126866434604648
fe3_江西,0.00842349412972645
fe3_浙江,-0.0199532438216158
fe3_海南,-0.00672522611568316
fe3_湖北,-0.0295189646511351
fe3_湖南,-0.0430778635412351
fe3_福建,-0.0423027613191713
fe4_广东,-0.0374084449138158
fe4_广西,-0.0296918333250418
fe4_江西,-0.016556694263938
fe4_浙江,-0.0204023593610275
fe4_海南,-0.0109063585749126
fe4_湖北,0.00160737665450426
fe4_湖南,-0.0114633210103378
fe4_福建,-0.0454575826713912
feC_广东,-0.0223192113494868
feC_广西,-0.00575456003350716
feC_江西,-0.0924520033550396
feC_浙江,-0.0970634778821129
feC_海南,-0.104339336802275
feC_湖北,-0.00631823128527209
feC_湖南,-0.0691308243739077
feC_福建,0.141749277442469
