crop,n,plain_conc_viol_rate,n_constraint_trigger,eps_ll_plain,eps_ll_cc,d_eps_ll,eps_mm_plain,eps_mm_cc,d_eps_mm,M_ml_plain,M_ml_cc,d_M_ml
corn,427,0.344,147,-0.192,-0.298,-0.106,-0.841,-0.966,-0.125,0.779,0.963,0.183
wheat,325,0.486,158,-0.238,-0.407,-0.169,-0.735,-0.808,-0.073,0.586,0.733,0.147
soybean,240,0.333,80,-0.295,-0.401,-0.106,-0.934,-1.032,-0.098,1.036,1.166,0.13
rice_japonica,278,0.194,54,-0.197,-0.268,-0.071,-0.658,-0.715,-0.057,0.519,0.636,0.117
rice_mid_indica,237,0.207,49,-0.262,-0.293,-0.032,-0.704,-0.755,-0.051,0.759,0.79,0.03
rice_early_indica,189,0.011,2,-0.224,-0.229,-0.006,-0.624,-0.627,-0.003,0.529,0.535,0.006
rice_late_indica,189,0,0,-0.226,-0.226,0,-0.676,-0.676,0,0.565,0.565,0
peanut,222,0.279,62,-0.128,-0.278,-0.15,-0.788,-0.896,-0.108,0.619,0.921,0.302
rapeseed,302,0.295,89,-0.13,-0.261,-0.131,-0.936,-1.038,-0.102,0.702,1.041,0.339
