param,est
alpha_1,0.675164405277709
alpha_2,0.132588013707965
alpha_3,0.0605179123361817
alpha_4,0.0689425189722539
gamma_1_1,0.0485496931861205
gamma_1_2,0.0269125509881713
gamma_1_3,-0.0187422541483461
gamma_1_4,-0.0418477904875791
gamma_2_2,-0.0243224042484676
gamma_2_3,0.00379811661062689
gamma_2_4,-0.00671698089993138
gamma_3_3,0.0102847806440441
gamma_3_4,0.000119079154461747
gamma_4_4,0.0357834269243556
gamma_1y,-0.0466344852479734
gamma_2y,0.0565069801029782
gamma_3y,-0.0168717570001993
gamma_4y,-0.0072453840481731
lambda_1t,0.00103817601069754
lambda_2t,-0.00169203974442499
lambda_3t,-0.00210111650393294
lambda_4t,0.00117052792537761
alpha_0,0.441225563635797
alpha_y,0.113888103708796
gamma_yy,0.170525869975354
lambda_t,-0.0142517072317602
lambda_tt,0.00315849877546656
lambda_yt,0.000137079126887152
fe1_内蒙古,-0.349371715840704
fe1_吉林,-0.20199321481023
fe1_四川,0.137956656056648
fe1_安徽,-0.14170036156591
fe1_山东,-0.0219872328503925
fe1_山西,-0.0653221746255674
fe1_江苏,0.0758958530983378
fe1_河北,-0.106224681925422
fe1_河南,-0.070237493177288
fe1_湖北,-0.223016768177864
fe1_辽宁,-0.182870708175699
fe1_陕西,-0.0138855129093152
fe1_黑龙江,-0.265706749304396
fe2_内蒙古,0.170137797708443
fe2_吉林,0.0566477167865216
fe2_四川,-0.0831562214998645
fe2_安徽,0.0403046948474355
fe2_山东,-0.0413942592056387
fe2_山西,0.0390840663476268
fe2_江苏,-0.0908600013139385
fe2_河北,0.016986233026115
fe2_河南,0.0110869475792796
fe2_湖北,0.0948107484040097
fe2_辽宁,0.0681888040904219
fe2_陕西,0.0183807360052199
fe2_黑龙江,0.126339275966622
fe3_内蒙古,0.103055559726249
fe3_吉林,0.155655998068415
fe3_四川,-0.0285274285243711
fe3_安徽,-0.00610562107839385
fe3_山东,0.0534623227069098
fe3_山西,0.0624568804960051
fe3_江苏,0.00904585350160758
fe3_河北,0.0880900721471774
fe3_河南,0.000161541061048709
fe3_湖北,0.0594773752988766
fe3_辽宁,0.104518427278538
fe3_陕西,0.0322343196663182
fe3_黑龙江,0.122244644866094
fe4_内蒙古,0.0616539334650188
fe4_吉林,0.00672078461513825
fe4_四川,0.0110206549554719
fe4_安徽,0.0740029300977323
fe4_山东,0.0161539419529233
fe4_山西,-0.000309030354968876
fe4_江苏,0.0135946904867605
fe4_河北,0.0237941674446089
fe4_河南,0.049655270075589
fe4_湖北,0.104536616750224
fe4_辽宁,0.0132451480498736
fe4_陕西,0.000530399181977614
fe4_黑龙江,0.0271507183639717
feC_内蒙古,-0.740670167577235
feC_吉林,-0.534009230362734
feC_四川,-0.5687125074653
feC_安徽,-0.730339392739026
feC_山东,-0.417764620573806
feC_山西,-0.0552266247414437
feC_江苏,-0.331257005817136
feC_河北,-0.355891224681095
feC_河南,-0.662285148197618
feC_湖北,-0.693621242808739
feC_辽宁,-0.452163234240764
feC_陕西,-0.253122253097143
feC_黑龙江,-0.658793867479256
