crop,n_obs,n_prov,yr_min,yr_max,dropped,S_labor,S_mach,S_fert,S_seed,S_other
corn,414,23,2004,2024,14,0.528,0.147,0.199,0.069,0.057
wheat,294,21,2004,2024,35,0.41,0.223,0.205,0.106,0.056
soybean,200,15,2004,2024,8,0.549,0.171,0.127,0.097,0.056
rice_early_indica,169,9,2004,2024,5,0.45,0.229,0.171,0.06,0.089
rice_mid_indica,209,14,2004,2024,11,0.548,0.183,0.136,0.062,0.071
rice_late_indica,169,9,2004,2024,5,0.437,0.224,0.172,0.067,0.1
rice_japonica,265,16,2004,2024,6,0.443,0.239,0.171,0.051,0.095
peanut,202,17,2004,2024,27,0.543,0.093,0.131,0.171,0.062
rapeseed,297,16,2004,2024,20,0.653,0.112,0.154,0.029,0.051
cotton,35,13,2004,2022,226,0.603,0.111,0.145,0.047,0.095
