crop,eps_ll_base,eps_mm_base,M_ml_base,mml24_base,variant,n,conc,conc_obs,eps_ll,eps_mm,M_ml,M_lm,B_labor,mml_2024
corn,-0.298,-0.966,0.963,0.957,wmach_years,324,1,0.994,-0.321,-1.007,1.054,1.214,-0.0032,1.051
peanut,-0.278,-0.896,0.921,0.926,wmach_years,169,1,0.988,-0.299,-0.913,0.959,1.025,0.0045,0.96
rapeseed,-0.261,-1.038,1.041,1.031,wmach_years,234,1,0.991,-0.259,-1.098,1.064,1.237,8e-04,1.055
rice_early_indica,-0.229,-0.627,0.535,0.529,wmach_years,144,1,0.993,-0.229,-0.626,0.516,0.775,-0.0203,0.515
rice_japonica,-0.268,-0.715,0.636,0.628,wmach_years,208,0.966,0.986,-0.273,-0.694,0.637,0.892,-0.0216,0.629
rice_late_indica,-0.226,-0.676,0.565,0.553,wmach_years,144,0.993,0.993,-0.212,-0.671,0.551,0.846,-0.0227,0.54
rice_mid_indica,-0.293,-0.755,0.79,0.79,wmach_years,183,0.984,0.989,-0.31,-0.729,0.797,0.898,-0.0062,0.798
soybean,-0.401,-1.032,1.166,1.181,wmach_years,183,0.995,0.989,-0.409,-1.047,1.205,1.289,0.0075,1.226
wheat,-0.407,-0.808,0.733,0.738,wmach_years,242,1,0.992,-0.415,-0.779,0.753,0.961,6e-04,0.757
