crop,conc_hw,eps_ll_base,eps_ll_hw,M_ml_base,M_ml_hw,B_labor_hw
corn,0.995316159250585,-0.298,-0.315,0.963,0.864,-0.0023
wheat,1,-0.407,-0.448,0.733,0.8,0.0049
soybean,0.995833333333333,-0.401,-0.342,1.166,0.923,0.0036
rice_japonica,0.97841726618705,-0.268,-0.408,0.636,0.905,-0.0091
rice_mid_indica,1,-0.293,-0.322,0.79,0.848,-0.0038
rice_early_indica,1,-0.229,-0.361,0.535,0.792,-0.0097
rice_late_indica,1,-0.226,-0.3,0.565,0.69,-0.014
peanut,1,-0.278,-0.292,0.921,0.902,0.0059
rapeseed,0.986754966887417,-0.261,-0.257,1.041,0.973,0.0011
