crop,f_n,f_m,S_n,eps,morishima
wheat,labor,labor,0.339297728838259,-0.565730373872348,0
wheat,labor,mach,0.339297728838259,0.137970895500205,0.987775251475761
wheat,labor,fert,0.339297728838259,0.135104637764148,0.909894536349072
wheat,labor,seed,0.339297728838259,0.0359529858375381,0.557967412455055
wheat,labor,land,0.339297728838259,0.193779248996588,0.872619425488388
wheat,labor,other,0.339297728838259,0.0629226057738683,1.23182460435292
wheat,mach,labor,0.176399949635285,0.265381093281425,0.831111467153773
wheat,mach,mach,0.176399949635285,-0.849804355975556,0
wheat,mach,fert,0.176399949635285,0.207201860841202,0.981991759426126
wheat,mach,seed,0.176399949635285,0.0984909929241444,0.620505419541661
wheat,mach,land,0.176399949635285,0.165106024060461,0.84394620055226
wheat,mach,other,0.176399949635285,0.113624384868323,1.28252638344738
wheat,fert,labor,0.16581286201731,0.276460439746257,0.842190813618605
wheat,fert,mach,0.16581286201731,0.220431620153266,1.07023597612882
wheat,fert,fert,0.16581286201731,-0.774789898584924,0
wheat,fert,seed,0.16581286201731,0.0129022937825956,0.534916720400112
wheat,fert,land,0.16581286201731,0.172925296174525,0.851765472666324
wheat,fert,other,0.16581286201731,0.0920702487282806,1.26097224730734
wheat,seed,labor,0.0821516341613998,0.148490855527772,0.714221229400119
wheat,seed,mach,0.0821516341613998,0.211484608537607,1.06128896451316
wheat,seed,fert,0.0821516341613998,0.0260416762310192,0.800831574815943
wheat,seed,seed,0.0821516341613998,-0.522014426617516,0
wheat,seed,land,0.0821516341613998,0.121811143450762,0.800651319942561
wheat,seed,other,0.0821516341613998,0.0141861428703569,1.18308814144941
wheat,land,labor,0.190494571183733,0.345148203814747,0.910878577687095
wheat,land,mach,0.190494571183733,0.152889891547915,1.00269424752347
wheat,land,fert,0.190494571183733,0.150519975953716,0.92530987453864
wheat,land,seed,0.190494571183733,0.0525315993593173,0.574546025976834
wheat,land,land,0.190494571183733,-0.6788401764918,0
wheat,land,other,0.190494571183733,-0.0222494941838964,1.14665250439516
wheat,other,labor,0.0458432541640138,0.465706408085175,1.03143678195752
wheat,other,mach,0.0458432541640138,0.437214506989473,1.28701886296503
wheat,other,fert,0.0458432541640138,0.333013694744769,1.10780359332969
wheat,other,seed,0.0458432541640138,0.0254217297724414,0.547436156389958
wheat,other,land,0.0458432541640138,-0.0924543410128023,0.586385835478997
wheat,other,other,0.0458432541640138,-1.16890199857906,0
