crop,f_n,f_m,S_n,eps,morishima
peanut,labor,labor,0.461173367220076,-0.373113797014691,0
peanut,labor,mach,0.461173367220076,0.112638661429222,1.12574927620367
peanut,labor,fert,0.461173367220076,0.0269775972122035,0.768783753168101
peanut,labor,seed,0.461173367220076,0.0809901892678426,0.570254265075285
peanut,labor,land,0.461173367220076,0.114849023524974,0.66670665610702
peanut,labor,other,0.461173367220076,0.0376583255804485,1.06122862478141
peanut,mach,labor,0.077358489280953,0.671496447944033,1.04461024495872
peanut,mach,mach,0.077358489280953,-1.01311061477444,0
peanut,mach,fert,0.077358489280953,0.0988953290765456,0.840701485032443
peanut,mach,seed,0.077358489280953,0.0168801175767794,0.506144193384222
peanut,mach,land,0.077358489280953,0.118545907258857,0.670403539840903
peanut,mach,other,0.077358489280953,0.10729281291823,1.13086311211919
peanut,fert,labor,0.108850396056757,0.114297694786261,0.487411491800952
peanut,fert,mach,0.108850396056757,0.0702835591917845,1.08339417396623
peanut,fert,fert,0.108850396056757,-0.741806155955897,0
peanut,fert,seed,0.108850396056757,0.218097051699129,0.707361127506572
peanut,fert,land,0.108850396056757,0.18127223183755,0.733129864419596
peanut,fert,other,0.108850396056757,0.157855618441173,1.18142591764214
peanut,seed,labor,0.144927877976407,0.257717968536892,0.630831765551583
peanut,seed,mach,0.144927877976407,0.00901013947666499,1.02212075425111
peanut,seed,fert,0.144927877976407,0.163805271889276,0.905611427845174
peanut,seed,seed,0.144927877976407,-0.489264075807443,0
peanut,seed,land,0.144927877976407,0.0128998775746869,0.564757510156733
peanut,seed,other,0.144927877976407,0.0458308183299224,1.06940111753089
peanut,land,labor,0.156675078305184,0.338058301766284,0.711172098780975
peanut,land,mach,0.156675078305184,0.0585321698587062,1.07164278463315
peanut,land,fert,0.156675078305184,0.125939328979782,0.867745484935679
peanut,land,seed,0.156675078305184,0.0119326692112013,0.501196745018644
peanut,land,land,0.156675078305184,-0.551857632582046,0
peanut,land,other,0.156675078305184,0.0173951627660724,1.04096546196704
peanut,other,labor,0.0510147911606227,0.340431008668142,0.713544805682833
peanut,other,mach,0.0510147911606227,0.16269810635753,1.17580872113197
peanut,other,fert,0.0510147911606227,0.336816954381045,1.07862311033694
peanut,other,seed,0.0510147911606227,0.130200733853142,0.619464809660585
peanut,other,land,0.0510147911606227,0.0534234959411042,0.60528112852315
peanut,other,other,0.0510147911606227,-1.02357029920096,0
