crop,corr_detrended,corr_raw
corn,-0.476,-0.744
wheat,-0.489,-0.762
soybean,-0.432,-0.357
rice_japonica,-0.794,-0.377
rice_mid_indica,-0.546,-0.546
rice_early_indica,-0.792,0.428
rice_late_indica,-0.599,0.523
peanut,-0.324,-0.736
rapeseed,-0.485,-0.13
