draw,status,eps_ll,eps_mm,M_ml,M_lm,B_labor
1,ok,-0.211547519239305,-0.812597059909071,0.663002894991505,0.94216906163476,-0.0141435130269717
2,ok,-0.209585463919522,-0.803953161267057,0.650943315563673,0.933487105801215,-0.012388770393901
3,ok,-0.197172035299841,-0.751931941847686,0.607836619105383,0.868608445613119,-0.0117175639807481
4,ok,-0.184948814818515,-0.829060710099391,0.585574647156813,0.936359904646517,-0.0152166781976485
5,ok,-0.232173172331229,-0.84613954657515,0.72416381941811,0.98727882742008,-0.0121675334296903
6,ok,-0.18845697375516,-0.737122087870077,0.561495643732119,0.835066947918251,-0.0116590958973907
7,ok,-0.189548804582976,-0.774574606670815,0.549608962196492,0.871826132101877,-0.0131846453499629
8,ok,-0.198553291231513,-0.77927863370324,0.576264343106044,0.885521705125901,-0.0122148556791122
9,ok,-0.203153234789653,-0.799113346075778,0.570991968256525,0.90256637649189,-0.0126666959420463
10,ok,-0.193976183266865,-0.75688685741365,0.56228581986611,0.864303622788704,-0.0127995236965942
11,ok,-0.227121106022257,-0.79697161147828,0.669162201322327,0.919570655126776,-0.0164167841911391
12,ok,-0.210632255253773,-0.850146979763701,0.6698914820867,0.97815197932324,-0.0144832325391363
13,ok,-0.181769087656008,-0.859185692587829,0.568641054140816,0.962898156807705,-0.0123644330910315
14,ok,-0.218008944880809,-0.87650294323509,0.675061486222275,1.00614326008992,-0.0128058662278854
15,ok,-0.208857131573986,-0.789943461946453,0.592069214425847,0.90182057000496,-0.0160515974137329
16,ok,-0.215562164203645,-0.748209943346634,0.589664733261819,0.852642844156062,-0.0174224859752572
17,ok,-0.202616292070021,-0.817424556621102,0.632086090838295,0.934506193992346,-0.0110806355747062
18,ok,-0.184174941257443,-0.755513737559697,0.567538026857632,0.85582265442602,-0.0125777943398475
19,ok,-0.200957426366627,-0.802138796241644,0.641162825503946,0.916379881140698,-0.0149826791503896
20,ok,-0.174747772400713,-0.784492115793004,0.511368531459869,0.875885698590109,-0.0162036220460519
21,ok,-0.164044461884967,-0.624740016751769,0.402870561761817,0.6959213764896,-0.0131009889169572
