crop,year,eCy,RTS,tauC,TFP
peanut,2004,0.181989295034228,5.58302550151023,-0.0175022026695729,0.0975361669636025
peanut,2005,0.17881642372636,5.61524190825131,-0.0170380523159107,0.0956482405801268
peanut,2006,0.175837948565457,5.70364223792257,-0.0164875756110956,0.0940196171008992
peanut,2007,0.173978768713444,5.76981175513718,-0.0159311138372069,0.0918747932425034
peanut,2008,0.187337846038019,5.41333510784047,-0.0154836171142044,0.0837489400880571
peanut,2009,0.166522891580075,6.08937921652752,-0.0147520208101785,0.0896993448353113
peanut,2010,0.133146453408842,7.61902423551227,-0.0139497601692148,0.106151664684938
peanut,2011,0.122498756153147,8.28382323771557,-0.0132046816334946,0.10922103963554
peanut,2012,0.0878743302199022,11.6614578001746,-0.0123530319816855,0.143822053352283
peanut,2013,0.0638673314052531,16.1543244885746,-0.0115937381783433,0.186969322583243
peanut,2014,0.0450845681428171,25.673181431742,-0.0109379121700048,0.279656551068765
peanut,2015,0.0399280618148772,42.655399166776,-0.0103386419982231,0.436583330440359
peanut,2016,0.0380763137428143,29.3487236783564,-0.009757358646581,0.285080972225739
peanut,2017,0.0352336537921292,34.0535217781768,-0.0091932596978324,0.311419221653398
peanut,2018,0.0360461542924075,33.4558516393804,-0.00865822178528884,0.288125824533112
peanut,2019,0.0415654603607964,31.0351803317005,-0.00813783004955376,0.250416764502226
peanut,2020,0.0361865283139027,41.3055514973069,-0.00753194527743604,0.307626742912942
peanut,2021,0.0371789160375363,33.2497322192171,-0.00699494503049767,0.230514506471049
peanut,2022,0.0468000598735613,25.4537542876425,-0.00649566819820461,0.163879607373093
peanut,2023,0.047333925319104,24.8950276056228,-0.00592914538017732,0.14635154983534
peanut,2024,0.0386772591210373,32.1774582039794,-0.00530710041467474,0.168504572702539
