param,est,se_delta
alpha_1,0.262611506870639,
alpha_2,0.196717041415299,
alpha_3,0.23130463118615,
alpha_4,0.214356665039532,
gamma_1_1,0.0912724466720896,
gamma_1_2,0.00677286010786288,
gamma_1_3,-0.027454623126637,
gamma_1_4,-0.0587695785651819,
gamma_2_2,0.00388982366447921,
gamma_2_3,-0.00278399856014622,
gamma_2_4,-0.0122890583678834,
gamma_3_3,0.020959079471855,
gamma_3_4,-0.00192685488038691,
gamma_4_4,0.0729053949864832,
gamma_1y,-0.152878323734173,
gamma_2y,0.0386818184982467,
gamma_3y,0.0550690861671979,
gamma_4y,0.0315800153373689,
lambda_1t,0.0031522721728829,
lambda_2t,-7.6242512214391e-05,
lambda_3t,-0.00127111905496031,
lambda_4t,-0.00104644457612099,
alpha_0,-0.625620211940185,
alpha_y,0.0213166306863697,
gamma_yy,0.222150210388353,
lambda_t,-0.00276539109136796,
lambda_tt,0.000233168984689955,
lambda_yt,0.000667249457217176,
fe1_四川,0.368918447608919,
fe1_安徽,0.268789436635391,
fe1_山东,0.308425101754798,
fe1_广东,0.277902154927741,
fe1_广西,0.29507029553211,
fe1_江苏,0.265516536155794,
fe1_江西,0.231652528781163,
fe1_河北,0.298714211081952,
fe1_河南,0.275759882938558,
fe1_海南,0.339644473813919,
fe1_湖北,0.248055421784595,
fe1_湖南,0.339093363093451,
fe1_福建,0.337371795528791,
fe1_辽宁,0.141862991465707,
fe1_重庆,0.391967805448576,
fe1_陕西,0.117908555706686,
fe2_四川,-0.147181967170171,
fe2_安徽,-0.123952518336164,
fe2_山东,-0.118000947502128,
fe2_广东,-0.0910759621086714,
fe2_广西,-0.0839603549870265,
fe2_江苏,-0.123760590535228,
fe2_江西,-0.125873419100487,
fe2_河北,-0.105803589713193,
fe2_河南,-0.114015826699721,
fe2_海南,-0.111095600433277,
fe2_湖北,-0.122927195923937,
fe2_湖南,-0.0988936961181477,
fe2_福建,-0.115532366101363,
fe2_辽宁,-0.0532045296584073,
fe2_重庆,-0.159434819602599,
fe2_陕西,0.0159440009563356,
fe3_四川,-0.136149993237371,
fe3_安徽,-0.101076443483032,
fe3_山东,-0.0848282318165425,
fe3_广东,-0.086418437134429,
fe3_广西,-0.101884342546167,
fe3_江苏,-0.0967565210932697,
fe3_江西,-0.0900335338967767,
fe3_河北,-0.126441724996814,
fe3_河南,-0.0946734481130734,
fe3_海南,-0.135716304280487,
fe3_湖北,-0.0879660655040841,
fe3_湖南,-0.141761161896536,
fe3_福建,-0.130864925224275,
fe3_辽宁,-0.0551838156301952,
fe3_重庆,-0.142236141062163,
fe3_陕西,-0.024101978850458,
fe4_四川,-0.0222961761980954,
fe4_安徽,-0.00772662337788954,
fe4_山东,-0.082923073531525,
fe4_广东,-0.0764957216045499,
fe4_广西,-0.0840675125181714,
fe4_江苏,-0.0292484212956566,
fe4_江西,0.00691857764466644,
fe4_河北,-0.0297216130291692,
fe4_河南,-0.0275560630327166,
fe4_海南,-0.0538385417911027,
fe4_湖北,0.00395310851209865,
fe4_湖南,-0.05955887450678,
fe4_福建,-0.0519917049741491,
fe4_辽宁,-0.0103279610267703,
fe4_重庆,-0.0448919771384208,
fe4_陕西,-0.0415009902576179,
feC_四川,0.749013166950119,
feC_安徽,0.453902290886045,
feC_山东,0.825650615642704,
feC_广东,0.606057772663597,
feC_广西,0.611272389012513,
feC_江苏,0.710072967405496,
feC_江西,0.446373968674136,
feC_河北,0.819363753021709,
feC_河南,0.685079103395655,
feC_海南,0.572771237282664,
feC_湖北,0.41689274786153,
feC_湖南,0.532062803909088,
feC_福建,0.708442531546011,
feC_辽宁,0.395212477431029,
feC_重庆,0.581798353391013,
feC_陕西,0.609852540131765,
