crop,f_n,f_m,S_n,eps,morishima
corn,labor,labor,0.436694306285863,-0.399261784987134,0
corn,labor,mach,0.436694306285863,0.167940398548906,1.1776860243905
corn,labor,fert,0.436694306285863,0.0264434786777258,0.443863267578467
corn,labor,seed,0.436694306285863,0.016874279483026,0.406325920773331
corn,labor,land,0.436694306285863,0.158064622312936,0.835544978823269
corn,labor,other,0.436694306285863,0.0299390059645405,0.926830228025742
corn,mach,labor,0.115152121056798,0.636884628512508,1.03614641349964
corn,mach,mach,0.115152121056798,-1.00974562584159,0
corn,mach,fert,0.115152121056798,0.072673272849417,0.490093061750159
corn,mach,seed,0.115152121056798,0.0320491135793833,0.421500754869688
corn,mach,land,0.115152121056798,0.186224812236353,0.863705168746685
corn,mach,other,0.115152121056798,0.0819137986639309,0.978805020725133
corn,fert,labor,0.160240095546758,0.0720650879391472,0.471326872926281
corn,fert,mach,0.160240095546758,0.0522246413058823,1.06197026714747
corn,fert,fert,0.160240095546758,-0.417419788900742,0
corn,fert,seed,0.160240095546758,0.0437215541424405,0.433173195432745
corn,fert,land,0.160240095546758,0.145505769795792,0.822986126306125
corn,fert,other,0.160240095546758,0.10390273571748,1.00079395777868
corn,seed,labor,0.0554371417784324,0.132923551548984,0.532185336536118
corn,seed,mach,0.0554371417784324,0.0665713146144196,1.07631694045601
corn,seed,fert,0.0554371417784324,0.126376392946778,0.54379618184752
corn,seed,seed,0.0554371417784324,-0.389451641290305,0
corn,seed,land,0.0554371417784324,0.117901750332252,0.795382106842585
corn,seed,other,0.0554371417784324,-0.0543213681521288,0.842569853909073
corn,land,labor,0.185904891630326,0.371296957191116,0.77055874217825
corn,land,mach,0.185904891630326,0.115350284408125,1.12509591024972
corn,land,fert,0.185904891630326,0.125418208473212,0.542837997373954
corn,land,seed,0.185904891630326,0.0351584941728782,0.424610135463183
corn,land,land,0.185904891630326,-0.677480356510333,0
corn,land,other,0.185904891630326,0.0302564122650006,0.927147634326202
corn,other,labor,0.0465714437018229,0.280734123775115,0.679995908762249
corn,other,mach,0.0465714437018229,0.202539301129759,1.21228492697135
corn,other,fert,0.0465714437018229,0.357502000701061,0.774921789601803
corn,other,seed,0.0465714437018229,-0.0646624014305598,0.324789239859745
corn,other,land,0.0465714437018229,0.120778197885827,0.79825855439616
corn,other,other,0.0465714437018229,-0.896891222061202,0
