crop,year,eCy,RTS,tauC,TFP
rice_japonica_hw,2004,0.578894846998033,1.7603596441137,-0.0147336288639111,0.0262989471320172
rice_japonica_hw,2005,0.601263416555934,1.72603746570807,-0.0134353656178179,0.0241415240650312
rice_japonica_hw,2006,0.585090614043738,1.78410599331587,-0.0143183688141757,0.0265190558955998
rice_japonica_hw,2007,0.556468476553461,1.84656716068249,-0.0149436315236048,0.0281549921160532
rice_japonica_hw,2008,0.513672449703828,2.00256463838916,-0.014158171618411,0.0291490719490418
rice_japonica_hw,2009,0.529166764265984,1.98053496874568,-0.0137360493165999,0.0280447262489871
rice_japonica_hw,2010,0.53836682502887,1.93015998977386,-0.013629522783222,0.0268290455105384
rice_japonica_hw,2011,0.490279230134985,2.1214974835261,-0.0140607149912544,0.0304322175010945
rice_japonica_hw,2012,0.482567939334143,2.14966057262221,-0.014719071403352,0.0319599346369865
rice_japonica_hw,2013,0.481942504705637,2.18414648561555,-0.0137159064313196,0.0304770735272222
rice_japonica_hw,2014,0.447416821068381,2.35388355171671,-0.0142217777148382,0.0340080663647352
rice_japonica_hw,2015,0.396404666012306,2.66886539600744,-0.0143040591330151,0.038146217444262
rice_japonica_hw,2016,0.393632949237542,2.6903317949236,-0.0136270183238095,0.0368600913189204
rice_japonica_hw,2017,0.389515170933113,2.76449668592142,-0.0125548241764993,0.0360273838171472
rice_japonica_hw,2018,0.346577281240689,3.10193600187433,-0.0121820555202011,0.0384657471207126
rice_japonica_hw,2019,0.306266298222275,3.64906866832974,-0.0123869783222914,0.0467423697748344
rice_japonica_hw,2020,0.290460477694979,3.80188430040509,-0.0120203971583343,0.0470360704049613
rice_japonica_hw,2021,0.28361298880268,4.34624904371539,-0.0100397017496685,0.0459865452018933
rice_japonica_hw,2022,0.228308768764139,5.88517814397038,-0.00922412620749272,0.0580410220089225
rice_japonica_hw,2023,0.191190875560227,8.63815617848169,-0.00989935170700378,0.0934746092283632
rice_japonica_hw,2024,0.215753912326081,6.86723589517746,-0.00805395073511268,0.0582326041175212
