factor,spec,n_obs,sum_psi,se_dk,t_dk,se_wild,t_wild,placebo_F1_t,placebo_F2_t
labor,k1_3,136,0.223,0.094,2.38,0.085,2.6,0.35,2.17
labor,k1_5,120,0.344,0.089,3.86,0.116,2.95,0.72,0.94
mach,k1_3,136,-0.1,0.048,-2.09,0.041,-2.46,-3.17,-0.45
mach,k1_5,120,-0.136,0.06,-2.26,0.042,-3.29,-3.47,-0.28
