param,est,se_delta
alpha_1,0.738866999876205,0.034652172626494
alpha_2,0.112618696657132,0.0166869044838306
alpha_3,0.0401138312837262,0.0136817708113478
alpha_4,0.0518686036735314,0.00999973736680707
gamma_1_1,0.105206848143914,0.012802617512029
gamma_1_2,0.00548718343365666,0.00775666206470843
gamma_1_3,-0.0431907783254122,0.00627826289993287
gamma_1_4,-0.044511685799595,0.00387030428598831
gamma_2_2,0.0139713328207837,0.00783590984265873
gamma_2_3,-0.0163243034059129,0.00506066706398826
gamma_2_4,-0.0114365108321528,0.00379173257568216
gamma_3_3,0.0545907669044416,0.00651860252693056
gamma_3_4,-0.00881395161272033,0.00457288881250727
gamma_4_4,0.0540165207839258,0.00538432887465829
gamma_1y,0.0311605265515971,0.0306457732987509
gamma_2y,0.00904024466390451,0.0146073980191619
gamma_3y,-0.0102062742643916,0.0120321956066742
gamma_4y,-0.0271593744887024,0.00886538667181587
lambda_1t,-0.00082821524649957,0.00102210033342583
lambda_2t,-0.000202009946422806,0.000534490632893185
lambda_3t,-0.00027209629483151,0.000460677799356386
lambda_4t,7.16603301333016e-05,0.000303562079864882
alpha_0,0.830031536249237,0.109975417388671
alpha_y,0.271714362022897,0.0789857548377476
gamma_yy,0.563934756306241,0.201004905024101
lambda_t,-0.0032957964077258,0.00182752236529736
lambda_tt,0.00192139403510983,0.000385637649656641
lambda_yt,-0.00263403118951313,0.00517924472457877
fe1_内蒙古,-0.4033582577118,0.0385250874189332
fe1_吉林,-0.283487730729953,0.0382439367971854
fe1_四川,0.111933198339266,0.0445864322625568
fe1_安徽,-0.18310675145989,0.0368757497071144
fe1_山东,-0.098499170149611,0.0384373842698184
fe1_山西,-0.124621078534215,0.0378854705193648
fe1_江苏,-0.017046658672006,0.0427862284931448
fe1_河北,-0.182371623461958,0.037968969564946
fe1_河南,-0.106852653353944,0.0365809115394704
fe1_湖北,-0.305772472851322,0.0420899792209212
fe1_辽宁,-0.266613717539475,0.0384775764079712
fe1_重庆,0.0912777802178777,0.0450611486369899
fe1_陕西,-0.0726472320941469,0.0368533438238522
fe1_黑龙江,-0.370522241306269,0.0378986952406428
fe2_内蒙古,0.173286391328947,0.0193934427866799
fe2_吉林,0.0705243709606925,0.0185756958193877
fe2_四川,-0.106774249326386,0.0212019960305103
fe2_安徽,0.0347434799075698,0.0175151704073816
fe2_山东,-0.0108010739810294,0.0185036247240067
fe2_山西,0.0667444202688983,0.0184399402273846
fe2_江苏,-0.061761995454262,0.0202651090211818
fe2_河北,0.0541541632334378,0.0182768846377597
fe2_河南,0.0267783596602743,0.0175088627354655
fe2_湖北,0.0998940824793648,0.0201024266981618
fe2_辽宁,0.0984759097001976,0.0188887890717443
fe2_重庆,-0.113406775927914,0.0215874538406547
fe2_陕西,0.0188974166772356,0.0176006973842944
fe2_黑龙江,0.142737704882782,0.0185190339199647
fe3_内蒙古,0.119132321495829,0.0156047336982304
fe3_吉林,0.181976500488825,0.0153841400491263
fe3_四川,-0.00709902119862415,0.0174495683302153
fe3_安徽,0.0185610645761085,0.0144464491203228
fe3_山东,0.0656162972539855,0.01508332737868
fe3_山西,0.0728164255617353,0.0149687771146255
fe3_江苏,0.0364105040752506,0.0166821775354636
fe3_河北,0.104314051465328,0.0150295614379226
fe3_河南,0.00634903143980796,0.0143721624909884
fe3_湖北,0.099892481433346,0.0164703393631469
fe3_辽宁,0.122278094316681,0.0152595186659001
fe3_重庆,0.00830072935132269,0.0179628103062293
fe3_陕西,0.0640873066394445,0.0144614860651222
fe3_黑龙江,0.156685436047125,0.0152519340125258
fe4_内蒙古,0.083521738961461,0.0112965731675243
fe4_吉林,0.0356041600910078,0.0113643923093266
fe4_四川,0.0370302104091247,0.013064415164563
fe4_安徽,0.0941130834274594,0.010609995737761
fe4_山东,0.0377792192044246,0.0110512378229788
fe4_山西,0.0106542928432839,0.0109599042714902
fe4_江苏,0.0438086099007502,0.0122790800948072
fe4_河北,0.0391121979137831,0.011040044883985
fe4_河南,0.0632422861819184,0.0105646106769475
fe4_湖北,0.121749466681029,0.0120870168417746
fe4_辽宁,0.0339361771701377,0.0111896453687079
fe4_重庆,0.036420072168849,0.0132966579566781
fe4_陕西,0.0199681757342754,0.0105773155195541
fe4_黑龙江,0.0634241805779256,0.0111456629330058
feC_内蒙古,-1.16917553291796,0.113399337137
feC_吉林,-1.04098989552067,0.115437963604472
feC_四川,-0.865905543537865,0.128659485315088
feC_安徽,-1.09750779473863,0.114685595151118
feC_山东,-0.809713846467546,0.117723661078799
feC_山西,-0.384409765428869,0.115249583154659
feC_江苏,-0.627387584387425,0.127652447079745
feC_河北,-0.728863417250742,0.118271015584807
feC_河南,-0.953671572315104,0.115235039883275
feC_湖北,-1.15458220386915,0.122411930288305
feC_辽宁,-0.904003900203048,0.116392648925359
feC_重庆,-0.527233075853537,0.130120349672708
feC_陕西,-0.619370408972684,0.11396940619583
feC_黑龙江,-1.16363246884257,0.113363973251419
