group,group_name,target_village_years,direct,town_median,nearest_county_village,county_median,province_median,year_median
1,主食及加工品,361,223,90,10,20,18,0
2,豆类及加工品,361,157,90,43,17,54,0
3,畜禽肉,361,160,102,51,21,27,0
4,蛋类及制品,361,215,101,11,25,9,0
5,奶类,361,185,86,15,12,63,0
6,水产品及制品,361,42,45,68,25,135,46
7,油脂,361,163,81,30,15,72,0
8,蔬菜及制品,361,163,75,32,19,72,0
9,干果及制品,361,110,65,64,23,99,0
