specification,model,estimator,order,gmm_steps,converged,parameter,coefficient,std_error,statistic,p_value,ci_low,ci_high
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t2_8,-.035060321434326,.020149827,-1.7399813,.081862293,-.074553259,.0044326121
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t2_9,.0309315122374347,.020665621,1.4967618,.13445525,-.0095723607,.071435384
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t2_10,-.0010371777261484,.011757488,-.088214226,.92970639,-.024081431,.022007076
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t2_11,-.0084276853673489,.015224236,-.55357033,.57987297,-.03826664,.02141127
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t2_12,.0029135458082657,.011209534,.25991675,.79492801,-.019056737,.024883829
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t2_13,-.0104550661732993,.01322049,-.79082292,.42904735,-.03636675,.015456618
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t2_14,-.0056986770638468,.0074056992,-.76949888,.44159722,-.02021358,.0088162264
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t2_15,-.0248756451941438,.015883574,-1.5661238,.11731962,-.056006879,.006255589
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t2_16,-.0233938174388342,.0079653794,-2.9369371,.0033147142,-.039005674,-.007781961
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t3_1,-.0171250797517466,.0058390894,-2.9328339,.0033588349,-.028569484,-.0056806747
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t3_2,.000481079465487,.025468366,.018889295,.98492944,-.049435999,.05039816
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t3_3,-.0253066110892008,.015586508,-1.6236229,.10445631,-.055855606,.0052423826
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t3_4,.0059688956466529,.013377825,.44617835,.6554684,-.020251159,.032188948
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t3_5,-.0259856743555155,.015892617,-1.6350784,.10203262,-.057134632,.0051632826
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t3_6,-.0205729953939269,.0088023357,-2.33722,.019427747,-.037825257,-.0033207342
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t3_7,-.0068137218191009,.01109943,-.61388034,.53929442,-.028568204,.014940761
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t3_8,.0186313981190234,.03482642,.53497881,.59266448,-.049627136,.08688993
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t3_9,-.0259412680663313,.034174025,-.75909311,.44779685,-.09292113,.041038591
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t3_10,.0056260777725863,.02237951,.25139415,.80150938,-.038236953,.049489111
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t3_11,.1217500203327367,.032917902,3.6985962,.00021679522,.057232119,.18626793
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t3_12,-.0115212826586958,.023680357,-.48653331,.62658912,-.05793393,.034891363
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t3_13,.1643475946125744,.027525289,5.9707856,2.3611386e-09,.11039902,.21829617
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t3_14,.1152152436512008,.022475801,5.1261907,2.9566303e-07,.071163483,.15926701
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t3_15,.1681788790898505,.03585545,4.6904693,2.7257934e-06,.09790349,.23845427
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t3_16,.1085561460538449,.024586264,4.4153171,.000010086215,.060367953,.15674433
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t4_1,-.0007286333561567,.0014074168,-.51770973,.60466081,-.0034871197,.0020298529
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t4_2,-.0100987736653424,.0060564354,-1.6674452,.095425926,-.021969169,.0017716214
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t4_3,.0092416141239555,.0046616979,1.9824567,.047428157,.00010485391,.018378375
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t4_4,-.0020062540313626,.0027657079,-.72540343,.46820456,-.0074269418,.0034144337
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t4_5,.0076556654642633,.0050239661,1.523829,.12755144,-.0021911275,.017502459
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t4_6,.0031485960178929,.0025736841,1.2233809,.22118585,-.001895732,.0081929239
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t4_7,-.0051819593545529,.0024430715,-2.1210837,.033914752,-.0099702915,-.00039362721
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,t4_8,.0041189859847632,.0097799161,.42116782,.67363256,-.015049297,.023287268
