model,margin,elasticity_type,demand_good,shock_good,elasticity,aggregate_elasticity,trimmed_aggregate,trimmed_mean,std_dev,p10,p50,p90,negative_rate,near_zero_rate,min,max,n_valid,support_rate,min_share_floor,demand_good_name,shock_good_name
AIDS NLSUR-CF,latent,expenditure,1,0,0.8321628172227498,0.8131575,0.81774765,0.83369464,0.047067329,0.77385473,0.84163702,0.87945098,0.0,0.0,0.40614584,0.90670383,2480,0.79207921,0,主食及加工品,总支出
AIDS NLSUR-CF,latent,expenditure,2,0,0.1009968752857456,0.2250029,0.24728265,0.29082367,3.2745962,-0.32800409,0.48836568,0.68899357,0.16693549,0.026209677,-128.5641,0.81094879,2480,0.79207921,0,豆类及加工品,总支出
AIDS NLSUR-CF,latent,expenditure,3,0,1.179157189898975,1.1620097,1.1634154,1.1781276,0.043768615,1.1357298,1.1676855,1.2382859,0.0,0.0,1.1021843,1.4387791,2480,0.79207921,0,畜禽肉,总支出
AIDS NLSUR-CF,latent,expenditure,4,0,0.8191815920672164,0.84829241,0.85068882,0.82853991,0.13881762,0.74879897,0.84503186,0.88501835,0.0052419356,0.0004032258,-3.0375915,0.91377026,2480,0.79207921,0,蛋类及制品,总支出
AIDS NLSUR-CF,latent,expenditure,5,0,0.9474913595975064,0.95534128,0.95577085,0.95195103,0.062770404,0.92366379,0.95924413,0.97472954,0.0012096774,0.0,-0.27003378,0.98455513,2480,0.79207921,0,奶类,总支出
AIDS NLSUR-CF,latent,expenditure,6,0,6.068410909252858,2.0337186,2.0370121,3.5011714,48.365139,1.6634467,2.0888994,5.7248478,0.0,0.0,1.4350528,1936.5468,2480,0.79207921,0,水产品及制品,总支出
AIDS NLSUR-CF,latent,expenditure,7,0,0.4351134042398794,0.45060948,0.46732199,0.4779751,0.77232337,0.15005997,0.54817641,0.67671227,0.057258066,0.011290323,-21.10515,0.81520128,2480,0.79207921,0,油脂,总支出
AIDS NLSUR-CF,latent,expenditure,8,0,0.7305915249613341,0.78414851,0.7848103,0.74538636,0.26553237,0.62891215,0.7644918,0.83320653,0.0076612905,0.0016129032,-8.0663853,0.87370169,2480,0.79207921,0,蔬菜及制品,总支出
AIDS NLSUR-CF,latent,expenditure,9,0,1.751383134131128,1.6008298,1.597683,1.6627461,1.3405232,1.3061024,1.4520637,2.2306712,0.0,0.0,1.2241234,34.966869,2480,0.79207921,0,干果及制品,总支出
AIDS NLSUR-CF,latent,marshallian,1,1,-0.3275791145103632,-0.24732742,-0.2665998,-0.33380949,0.18324296,-0.51062924,-0.36563101,-0.098988958,0.94838709,0.032258064,-0.61595923,1.3241364,2480,0.79207921,0,主食及加工品,主食及加工品
AIDS NLSUR-CF,latent,hicksian,1,1,-0.1329429712555112,-0.074514821,-0.090809628,-0.13879389,0.13489147,-0.24525864,-0.17257291,0.026322914,0.87741935,0.11532258,-0.26774466,1.3490545,2480,0.79207921,0,主食及加工品,主食及加工品
AIDS NLSUR-CF,latent,marshallian,2,1,-0.19852811817532,-0.15051216,-0.14774288,-0.15352821,0.81782228,-0.28673336,-0.10937551,-0.060034879,1.0,0.03467742,-32.182598,-0.027800979,2480,0.79207921,0,豆类及加工品,主食及加工品
AIDS NLSUR-CF,latent,hicksian,2,1,-0.1491707601762776,-0.091551706,-0.084317937,-0.07474117,1.3096792,-0.35427517,0.0039639301,0.12101575,0.49153227,0.29112902,-50.950764,0.25467083,2480,0.79207921,0,豆类及加工品,主食及加工品
AIDS NLSUR-CF,latent,marshallian,3,1,-0.2147130889906325,-0.19773392,-0.19903277,-0.21344332,0.056209791,-0.29248023,-0.20019908,-0.15817176,1.0,0.0,-0.53332794,-0.11969113,2480,0.79207921,0,畜禽肉,主食及加工品
AIDS NLSUR-CF,latent,hicksian,3,1,0.059086944555859,0.038241044,0.040346868,0.059020609,0.048005801,0.0029028016,0.052891843,0.1303985,0.087903224,0.47419354,-0.080345206,0.20506179,2480,0.79207921,0,畜禽肉,主食及加工品
AIDS NLSUR-CF,latent,marshallian,4,1,-0.0536247240848248,-0.041136988,-0.041301057,-0.050683055,0.045179628,-0.078830533,-0.045168079,-0.029172031,1.0,0.61935484,-1.2093102,-0.015991768,2480,0.79207921,0,蛋类及制品,主食及加工品
AIDS NLSUR-CF,latent,hicksian,4,1,0.135623261181616,0.13216983,0.13308479,0.13990353,0.091513731,0.066291519,0.13835391,0.22450896,0.026209677,0.050403226,-2.0296195,0.2929084,2480,0.79207921,0,蛋类及制品,主食及加工品
AIDS NLSUR-CF,latent,marshallian,5,1,-0.1854548131750781,-0.15727435,-0.1557989,-0.16993873,0.21931304,-0.26919916,-0.14465424,-0.089640498,1.0,0.0,-4.3917985,-0.055725552,2480,0.79207921,0,奶类,主食及加工品
AIDS NLSUR-CF,latent,hicksian,5,1,0.0329937536266323,0.02862926,0.030244352,0.048647169,0.23583041,-0.06433145,0.070149347,0.15381873,0.22258064,0.28790322,-4.4966545,0.26144898,2480,0.79207921,0,奶类,主食及加工品
AIDS NLSUR-CF,latent,marshallian,6,1,-2.396067836004973,-0.47976997,-0.47906449,-1.1415467,23.167751,-2.2300181,-0.47283283,-0.2668294,1.0,0.0,-913.32599,-0.15940835,2480,0.79207921,0,水产品及制品,主食及加工品
AIDS NLSUR-CF,latent,hicksian,6,1,-0.7398452803014639,-0.079545543,-0.077278651,-0.2664856,8.1876059,-0.62767047,-0.032766499,0.10232866,0.62056452,0.3125,-303.84418,0.2496701,2480,0.79207921,0,水产品及制品,主食及加工品
AIDS NLSUR-CF,latent,marshallian,7,1,-0.3422449984699584,-0.32589388,-0.3193301,-0.31854588,0.43273106,-0.52022839,-0.28009772,-0.19609909,1.0,0.0,-12.460622,-0.10671312,2480,0.79207921,0,油脂,主食及加工品
AIDS NLSUR-CF,latent,hicksian,7,1,-0.2399585435467307,-0.23223896,-0.2221301,-0.20709965,0.59887713,-0.48650974,-0.16252241,-0.012510031,0.92741936,0.17459677,-16.7978,0.14206588,2480,0.79207921,0,油脂,主食及加工品
AIDS NLSUR-CF,latent,marshallian,8,1,-0.1231077529599933,-0.092373177,-0.092461772,-0.11593197,0.13280496,-0.17304395,-0.10328744,-0.071831271,1.0,0.0016129032,-4.5329418,-0.041930061,2480,0.79207921,0,蔬菜及制品,主食及加工品
AIDS NLSUR-CF,latent,hicksian,8,1,0.0442790739783002,0.068163872,0.067833163,0.054252479,0.19814947,-0.03530407,0.061275639,0.1432429,0.18629032,0.33629033,-6.5052142,0.21994688,2480,0.79207921,0,蔬菜及制品,主食及加工品
AIDS NLSUR-CF,latent,marshallian,9,1,-0.099306768916326,-0.097627178,-0.095716044,-0.087138638,0.18694572,-0.15482213,-0.071299858,-0.030814651,0.99717742,0.28790322,-4.6810565,0.010077015,2480,0.79207921,0,干果及制品,主食及加工品
