item_code,item_name,household_years,consumer_households,total_quantity,mean_quantity,participation
roulei_11,含淀粉的火腿肠,3565,1007,2679.36215165035,0.7515742360870546,0.28246844319775594
roulei_12,肉干/肉脯,3565,181,1268.9390330397423,0.35594362778113386,0.050771388499298735
shuiguo_1,瓜果类（西瓜/甜瓜/哈密瓜等）,3565,2930,55070.04736443222,15.44741861554901,0.8218793828892006
shuiguo_2,柑橘类（橘/柑/橙/柚等）,3565,2084,11074.505640695317,3.1064531951459515,0.5845722300140253
shuiguo_3,浆果类（葡萄/草莓等）,3565,1931,16877.32952429316,4.734173779605374,0.5416549789621319
shuiguo_7,核果类（苹果/梨/桃/鲜枣等）,3565,2796,24447.790572492784,6.857725265776377,0.7842917251051893
tiaoliao_1,盐,3565,3426,19614.826057844988,5.502054995187935,0.9610098176718093
tiaoliao_2,味精/鸡精,3565,2814,1738.633594165311,0.48769525783038176,0.7893408134642356
tiaoliao_3,酱油类（生抽/老抽/味极鲜/蚝油等）,3565,3272,5787.353637921587,1.6233811046063356,0.91781206171108
tiaoliao_4,醋,3565,2956,4881.177625759586,1.36919428492555,0.829172510518934
xiancai_3,腊肉/熏肉/精肉火腿/香肠（不含淀粉火腿肠）,3565,1357,16071.342366009603,4.5080904252481355,0.38064516129032255
yanjiu_1,烟,3565,1734,21283.78964073662,5.970207472857397,0.48639551192145863
yanjiu_2,白酒,3565,1087,9326.223140484426,2.616051371804888,0.3049088359046283
yanjiu_3,啤酒,3565,991,82472.44668309359,23.13392613831517,0.2779803646563815
yanjiu_4,葡萄酒/果酒/米酒/黄酒,3565,144,443.1494168256707,0.12430558676736907,0.04039270687237027
yanjiu_7,白糖,3565,2533,3552.1179197199285,0.9963865132454217,0.7105189340813465
yanjiu_8,红糖,3565,1202,881.2670915318073,0.24719974517021243,0.33716690042075736
yanjiu_9,茶,3565,1798,3340.245949834033,0.9369553856476951,0.5043478260869565
