sample,group,group_name,N,participation,quantity_mean_all,quantity_p50_consumers,quantity_p90_consumers,quantity_p99_consumers,price_mean,price_p50,budget_share_mean,budget_share_p50
all,1,主食及加工品,3565,0.9943899018232819,379.81288446601707,18.74970588235294,153.17146603537753,1170.4213642213547,2.8248696353436187,2.7,0.24671231258614668,0.20087003884617016
all,2,豆类及加工品,3565,0.9312762973352033,6.9809534491155985,1.6069785154855145,17.142857142857142,76.4887142857141,4.492279102384292,4.0,0.046579546274245216,0.022767833980222835
all,3,畜禽肉,3565,0.9691444600280504,20.867566148120503,5.220994475138121,41.13828571428571,173.19957142857146,13.429026367461432,12.865,0.2831836844281555,0.24705556506671716
all,4,蛋类及制品,3565,0.9610098176718093,8.520650727028576,0.9980795454545455,15.0,59.76773226773226,5.51360603085554,5.390000000000001,0.03962573409390798,0.022756696067106133
all,5,奶类,3565,0.6614305750350631,6.433735764270397,1.7736831996927065,30.0,81.42857142857143,5.5987837307152875,5.0,0.04844295299279065,0.014965130794818654
all,6,水产品及制品,3565,0.6855539971949509,4.223828968161157,1.133399209486166,17.142857142857142,63.36428571428606,11.109277699859748,11.0,0.05883540634399382,0.021467232651995467
all,7,油脂,3565,0.976437587657784,12.811548968831149,1.694915254237288,21.428571428571427,214.28571428571428,8.583916129032257,8.0,0.09550857753603097,0.05192717954192759
all,8,蔬菜及制品,3565,0.994109396914446,48.46763920192298,12.079365260882678,126.56691397000793,322.94121428571447,2.2211051893408134,2.0,0.13950952625267315,0.10884470636073865
all,9,干果及制品,3565,0.676577840112202,3.098364059007162,0.8,6.428571428571429,59.05714285714176,10.642559887798036,9.8,0.04160225949205605,0.00953682611742176
model,1,主食及加工品,3131,0.9996806132226126,43.88657082603714,14.262196909470337,123.24101512605041,278.0542162176222,2.818994969658257,2.7,0.2416492644778678,0.20064899021516508
model,2,豆类及加工品,3131,0.9348450974129671,4.3877610248525105,1.370810868635002,13.304685714285718,38.377142857142694,4.474156020440754,4.0,0.04492739070330865,0.0236809746504278
model,3,畜禽肉,3131,0.9744490578090067,12.803874390100292,4.469971671388102,35.67857142857143,95.35714285714285,13.44621734270201,12.865,0.29356096419427274,0.2596776946786386
model,4,蛋类及制品,3131,0.9664643883743212,4.159501098071741,0.742517860300619,12.857142857142858,34.285714285714285,5.517397476844459,5.380000000000001,0.03773353600568044,0.02349495968935664
model,5,奶类,3131,0.6751836473969978,5.7340489860949,1.5,26.52587789305667,69.14505494505488,5.613356595336953,5.0,0.05052980528184185,0.017733366912002346
model,6,水产品及制品,3131,0.6921111465985308,3.5721550114160165,1.0,15.0,43.683942857143,11.21744969658256,11.0,0.062115923468134375,0.025707602213263257
model,7,油脂,3131,0.9814755669115298,4.900572942229748,1.2487512487512489,13.891197765659648,42.857142857142854,8.493060523794314,7.99,0.08434169324811606,0.05024692482692386
model,8,蔬菜及制品,3131,0.9993612264452252,37.856565120367705,9.06561403508772,112.2937142857143,248.38614857142844,2.2167350686681573,2.0,0.1428622030369985,0.11297088400757115
model,9,干果及制品,3131,0.6834877036090706,1.6833903417188072,0.75,5.0,29.3577142857144,10.646456259980837,9.8,0.04227921958377953,0.01089192002546619
