group,group_name,physical_cap_jin_pc_month,physical_flagged,total_five_mad_flagged,own_five_mad_flagged,max_total_jin_pc_month,max_total_z,max_own_z
1,主食及加工品,120.0,128,9,14,285858.20952380955,8.004535276298812,11.751932963031711
2,豆类及加工品,30.0,37,46,33,909.4285714285714,16.475755654828493,36.085939229116626
3,畜禽肉,60.0,36,8,15,2088.754857142857,7.902171604530091,18.108796217549433
4,蛋类及制品,30.0,32,42,12,3000.0,49.32272762356695,81.43580858421528
5,奶类,120.0,1,0,0,231.42857142857142,10.655793949842996,26.51028834001839
6,水产品及制品,60.0,5,6,0,232.5,24.468613557851267,20.885704555718544
7,油脂,21.0,135,112,37,1317.857142857143,29.782012354428264,46.44643371570071
8,蔬菜及制品,180.0,22,2,16,832.6129052969502,6.995574946406757,14.2339251825038
9,干果及制品,60.0,7,15,5,1000.0833,46.20107787833507,25.94115978128302
