model,evaluation,elasticity_type,demand_good,shock_good,elasticity,support_rate,reference_share,std_error,z_value,p_value,ci_low,ci_high,demand_good_name,shock_good_name
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,expenditure,1,0,0.81774765,0.79207921,,,,,,,主食及加工品,总支出
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,expenditure,2,0,0.24728265,0.79207921,,,,,,,豆类及加工品,总支出
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,expenditure,3,0,1.1634154,0.79207921,,,,,,,畜禽肉,总支出
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,expenditure,4,0,0.85068882,0.79207921,,,,,,,蛋类及制品,总支出
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,expenditure,5,0,0.95577085,0.79207921,,,,,,,奶类,总支出
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,expenditure,6,0,2.0370121,0.79207921,,,,,,,水产品及制品,总支出
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,expenditure,7,0,0.46732199,0.79207921,,,,,,,油脂,总支出
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,expenditure,8,0,0.7848103,0.79207921,,,,,,,蔬菜及制品,总支出
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,expenditure,9,0,1.597683,0.79207921,,,,,,,干果及制品,总支出
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,marshallian,1,1,-0.2665998,0.79207921,,,,,,,主食及加工品,主食及加工品
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,hicksian,1,1,-0.090809628,0.79207921,,,,,,,主食及加工品,主食及加工品
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,marshallian,2,1,-0.14774288,0.79207921,,,,,,,豆类及加工品,主食及加工品
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,hicksian,2,1,-0.084317937,0.79207921,,,,,,,豆类及加工品,主食及加工品
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,marshallian,3,1,-0.19903277,0.79207921,,,,,,,畜禽肉,主食及加工品
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,hicksian,3,1,0.040346868,0.79207921,,,,,,,畜禽肉,主食及加工品
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,marshallian,4,1,-0.041301057,0.79207921,,,,,,,蛋类及制品,主食及加工品
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,hicksian,4,1,0.13308479,0.79207921,,,,,,,蛋类及制品,主食及加工品
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,marshallian,5,1,-0.1557989,0.79207921,,,,,,,奶类,主食及加工品
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,hicksian,5,1,0.030244352,0.79207921,,,,,,,奶类,主食及加工品
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,marshallian,6,1,-0.47906449,0.79207921,,,,,,,水产品及制品,主食及加工品
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,hicksian,6,1,-0.077278651,0.79207921,,,,,,,水产品及制品,主食及加工品
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,marshallian,7,1,-0.3193301,0.79207921,,,,,,,油脂,主食及加工品
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,hicksian,7,1,-0.2221301,0.79207921,,,,,,,油脂,主食及加工品
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,marshallian,8,1,-0.092461772,0.79207921,,,,,,,蔬菜及制品,主食及加工品
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,hicksian,8,1,0.067833163,0.79207921,,,,,,,蔬菜及制品,主食及加工品
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,marshallian,9,1,-0.095716044,0.79207921,,,,,,,干果及制品,主食及加工品
AIDS NLSUR-CF,trimmed_quantity_weighted_aggregate_1_99,hicksian,9,1,0.24759918,0.79207921,,,,,,,干果及制品,主食及加工品
