metric,group_or_item,year,ci_2_5,median,ci_97_5,n_success_draws,target_reps
daily_kcal_per_cap_weighted,dairyegg,2030.0,61.81703430203944,71.10075041177653,83.2035250010332,998,1000
daily_kcal_per_cap_weighted,dairyegg,2050.0,62.565966361972635,73.2675879337449,103.9478352011407,998,1000
daily_kcal_per_cap_weighted,grain,2030.0,651.2122285580786,751.0627173162222,845.8188950723836,998,1000
daily_kcal_per_cap_weighted,grain,2050.0,560.2725470717842,724.4813258744807,851.6450866710394,998,1000
daily_kcal_per_cap_weighted,meatsea,2030.0,316.67025142831056,368.7100617660156,487.8103908474067,998,1000
daily_kcal_per_cap_weighted,meatsea,2050.0,322.9395106414401,379.43944312763847,615.095766527525,998,1000
daily_kcal_per_cap_weighted,oil,2030.0,209.5634717000325,241.5242458361123,284.63195177983937,998,1000
daily_kcal_per_cap_weighted,oil,2050.0,191.3737723733123,238.74401754266978,293.0473923997348,998,1000
daily_kcal_per_cap_weighted,vegfruit,2030.0,104.42106469582845,117.07800894533301,130.35340937028107,998,1000
daily_kcal_per_cap_weighted,vegfruit,2050.0,104.573275421019,120.93656906790147,149.16605223998192,998,1000
feed_grain_million_ton,aquatic,2030.0,21.97004784688768,25.566585624236772,34.35406247833225,998,1000
feed_grain_million_ton,aquatic,2050.0,21.07294672730438,24.75569458529079,40.33534498997714,998,1000
feed_grain_million_ton,beef,2030.0,35.90154147140739,41.52027798347177,54.05791592660165,998,1000
feed_grain_million_ton,beef,2050.0,35.0448104436394,40.79114379137437,65.26599558133822,998,1000
feed_grain_million_ton,egg,2030.0,43.892260894973475,50.45656330176055,59.13449104439199,998,1000
feed_grain_million_ton,egg,2050.0,42.41206955362063,49.589179827416416,70.47450431982209,998,1000
feed_grain_million_ton,milk,2030.0,10.103963171609314,11.640591877423592,13.600533592826546,998,1000
feed_grain_million_ton,milk,2050.0,9.786877156824247,11.48817714164209,16.23547689731497,998,1000
feed_grain_million_ton,mutton,2030.0,23.56691551532081,26.961695670069567,33.68840216623047,998,1000
feed_grain_million_ton,mutton,2050.0,23.316915713396735,27.246924581620583,42.58447709056641,998,1000
feed_grain_million_ton,pork,2030.0,136.03910285560764,158.7930349893702,210.10192059858346,998,1000
feed_grain_million_ton,pork,2050.0,132.79665407654886,155.95028389494465,253.2767731452049,998,1000
feed_grain_million_ton,poultry,2030.0,42.23238657972252,49.10648027263093,65.11940175513996,998,1000
feed_grain_million_ton,poultry,2050.0,41.373494646327295,48.61859495340076,78.7976536256943,998,1000
income_elasticity_median_income,dairyegg,,0.1682922454198949,0.457947887584484,0.8612162102226252,998,1000
income_elasticity_median_income,grain,,-0.7609727060717878,-0.3918651336975745,-0.04036233464588029,998,1000
income_elasticity_median_income,meatsea,,0.0013476572410352039,0.1162351787171039,1.0186554133602386,998,1000
income_elasticity_median_income,nonfood,,1.075583716654956,1.1454634072683039,1.1652136480124808,998,1000
income_elasticity_median_income,oil,,-0.5914362306775143,-0.25415662046508875,0.5684121384866363,998,1000
income_elasticity_median_income,vegfruit,,0.14884104765432365,0.4961545109878096,0.7845126012342539,998,1000
