variant,model,split,train_years,test_years,group,rmse_x,mae_x,mean_x,relative_rmse,n_test
baseline_real_national_nonfood,AIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,dairyegg,0.0124983045868728,0.0102273884551811,0.0336587895284949,0.3713236501357833,93
baseline_real_national_nonfood,AIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,grain,0.0672100619171012,0.054691105794896,0.4202893830904221,0.1599137751777125,93
baseline_real_national_nonfood,AIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,meatsea,0.0746098957515153,0.0601146655848653,0.170545363410406,0.4374783005502858,93
baseline_real_national_nonfood,AIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,nonfood,4.650638675130899,3.707764646149544,198.05133191217897,0.0234819863629753,93
baseline_real_national_nonfood,AIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,oil,0.0313008035314464,0.0249080121138769,0.1288846674059655,0.2428590162152805,93
baseline_real_national_nonfood,AIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,vegfruit,0.011851791960178,0.0097387174907265,0.0550383622979653,0.2153369298311445,93
baseline_real_national_nonfood,MAIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,dairyegg,0.0116176031716965,0.0095441080024583,0.0336587895284949,0.3451580800866694,93
baseline_real_national_nonfood,MAIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,grain,0.0645553927283672,0.0532939970983977,0.4202893830904221,0.1535974862217222,93
baseline_real_national_nonfood,MAIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,meatsea,0.0725172244053819,0.0578002224923679,0.170545363410406,0.4252078330084768,93
baseline_real_national_nonfood,MAIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,nonfood,4.405260866451575,3.508719457214119,198.05133191217897,0.0222430257040885,93
baseline_real_national_nonfood,MAIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,oil,0.0323144322458076,0.0252465818748626,0.1288846674059655,0.2507236345190891,93
baseline_real_national_nonfood,MAIDADS_sat,2015-2020 -> 2021-2023,2015-2020,2021-2023,vegfruit,0.0096842670282749,0.0078393718381404,0.0550383622979653,0.1759548544676248,93
baseline_real_national_nonfood,AIDADS_sat,2015-2022 -> 2023,2015-2022,2023,dairyegg,0.0130002745836312,0.01063842953609,0.0348762336824498,0.3727545440255825,31
baseline_real_national_nonfood,AIDADS_sat,2015-2022 -> 2023,2015-2022,2023,grain,0.0677645453222406,0.0549444244889273,0.4046680667811247,0.1674571108643789,31
baseline_real_national_nonfood,AIDADS_sat,2015-2022 -> 2023,2015-2022,2023,meatsea,0.0729113749755596,0.0568669698907507,0.183649871934673,0.3970129366683974,31
baseline_real_national_nonfood,AIDADS_sat,2015-2022 -> 2023,2015-2022,2023,nonfood,4.193045507890552,3.5053284796064195,205.93108133751335,0.0203614018858003,31
