"term","estimate","std_error_cluster","t_stat","p_value","analysis","outcome"
"household_size_reconstructed",-0.00246846338774664,0.00260409355431872,-0.947916553786193,0.343171936966118,"A1_Mundlak","production_participation"
"child_share",0.0503281248775908,0.0156811117136605,3.20947428961608,0.00132977938680485,"A1_Mundlak","production_participation"
"elderly_share",0.0291428946755513,0.0113931226753935,2.55793740714239,0.0105295043000867,"A1_Mundlak","production_participation"
"female_share",0.000841501701102117,0.0116642032891877,0.0721439501900794,0.942487350132917,"A1_Mundlak","production_participation"
"household_size_reconstructed_vm",-0.031394746795675,0.0156086625457819,-2.01136687423352,0.0442867195957707,"A1_Mundlak","production_participation"
"child_share_vm",-0.0200789740842364,0.124745031299352,-0.160960110996747,0.872124817731602,"A1_Mundlak","production_participation"
"elderly_share_vm",0.0778345650752606,0.0571940427862908,1.36088587698013,0.173549757337074,"A1_Mundlak","production_participation"
"female_share_vm",0.0561614956900847,0.0880014713105958,0.638188144512564,0.523351213656052,"A1_Mundlak","production_participation"
"household_size_reconstructed",0.0017929921557043,0.00219463519498108,0.816988700356533,0.413934885531901,"A1_Mundlak","self_suff_rate"
"child_share",0.00448253386621141,0.0140156523560973,0.319823419725544,0.749102192963293,"A1_Mundlak","self_suff_rate"
"elderly_share",0.0229873251234382,0.0092552754247018,2.48369973540564,0.0130025393262413,"A1_Mundlak","self_suff_rate"
"female_share",0.00411821780362241,0.0116073090421077,0.354795223309968,0.722743007136121,"A1_Mundlak","self_suff_rate"
"household_size_reconstructed_vm",-0.0293659812816495,0.00961760324855138,-3.05335752814223,0.00226296148649563,"A1_Mundlak","self_suff_rate"
"child_share_vm",0.0169904243577168,0.0878147181858336,0.193480372182732,0.846582776357544,"A1_Mundlak","self_suff_rate"
"elderly_share_vm",0.0384004027695601,0.0352935647869974,1.08802845508276,0.276582545890997,"A1_Mundlak","self_suff_rate"
"female_share_vm",0.0122206391928372,0.0622142423339179,0.1964283214645,0.844274930707745,"A1_Mundlak","self_suff_rate"
"household_size_reconstructed",0.0193568325212687,0.00833638604107288,2.3219693073112,0.0202345883568971,"A1_Mundlak","ihs_selfprod_amount"
"child_share",0.0120509169750318,0.0516726432469803,0.23321657685348,0.815593234254424,"A1_Mundlak","ihs_selfprod_amount"
"elderly_share",0.0431805197130493,0.0313618552199761,1.37684838508996,0.16855912789639,"A1_Mundlak","ihs_selfprod_amount"
"female_share",0.00464731710450486,0.0388928648411819,0.11949022329628,0.904886985222779,"A1_Mundlak","ihs_selfprod_amount"
"household_size_reconstructed_vm",-0.0554560115858008,0.0404627114725619,-1.37054610448946,0.170516493761884,"A1_Mundlak","ihs_selfprod_amount"
"child_share_vm",-0.372208758957275,0.351751572998463,-1.05815805110529,0.289983392320776,"A1_Mundlak","ihs_selfprod_amount"
"elderly_share_vm",0.0140270487545409,0.127110924488033,0.110352818304468,0.91212957005642,"A1_Mundlak","ihs_selfprod_amount"
"female_share_vm",0.147997883773378,0.233472237615216,0.633899281923584,0.526146554244278,"A1_Mundlak","ihs_selfprod_amount"
