"analysis","outcome","block","n","n_clusters","r_squared","wald_chisq","wald_df","wald_p"
"A5_wave_split","production_participation","wave_2023",13304,174,0.46389603066718,3.78665857772149,4,0.435647675198349
"A5_wave_split","production_participation","wave_2024",13622,176,0.395818742197912,17.2251182312111,4,0.00174764059715349
"A5_leave_one_province_out","production_participation","exclude_云南省",23371,305,0.397085076241315,12.9172105961312,4,0.0116874827688375
"A5_leave_one_province_out","ihs_selfprod_amount","exclude_云南省",23371,305,0.485730855353813,16.7540269487987,4,0.00215761430739203
"A5_leave_one_province_out","production_participation","exclude_吉林省",23883,310,0.377924097495237,18.9735248740715,4,0.000795413306882597
"A5_leave_one_province_out","ihs_selfprod_amount","exclude_吉林省",23883,310,0.481576215109547,12.1668565977003,4,0.0161526640648564
"A5_leave_one_province_out","production_participation","exclude_四川省",23504,306,0.389276502901814,13.9832740632732,4,0.00734862977884465
"A5_leave_one_province_out","ihs_selfprod_amount","exclude_四川省",23504,306,0.504255444894349,29.11523777626,4,7.40712332825133e-06
"A5_leave_one_province_out","production_participation","exclude_山东省",23515,305,0.391390884182942,13.3956612461449,4,0.00949592925984222
"A5_leave_one_province_out","ihs_selfprod_amount","exclude_山东省",23515,305,0.514131054966577,19.3265377863481,4,0.000677931795933451
"A5_leave_one_province_out","production_participation","exclude_湖北省",23440,305,0.388723867132766,12.0325563743901,4,0.0171108026243751
"A5_leave_one_province_out","ihs_selfprod_amount","exclude_湖北省",23440,305,0.461578950901432,11.0856873076461,4,0.0256176996606859
"A5_leave_one_province_out","production_participation","exclude_甘肃省",23629,306,0.378876800509316,13.4825500210707,4,0.00914353134573387
"A5_leave_one_province_out","ihs_selfprod_amount","exclude_甘肃省",23629,306,0.481790045716412,15.0000531289596,4,0.00470110695453574
"A5_leave_one_province_out","production_participation","exclude_福建省",23767,308,0.408525563552188,9.13136855635719,4,0.0578984688218241
"A5_leave_one_province_out","ihs_selfprod_amount","exclude_福建省",23767,308,0.501645857628769,14.9656452716218,4,0.00477300409314974
"A5_leave_one_province_out","production_participation","exclude_陕西省",23373,305,0.402467438251896,14.3064940688607,4,0.00637844604830506
"A5_leave_one_province_out","ihs_selfprod_amount","exclude_陕西省",23373,305,0.497648100640863,17.2611743458823,4,0.00171963542009868
