food_group10,priced_share_2021,priced_share_all
G01_主食,0.900602279228235,0.897511012563482
G02_食用油,1,1
G03_蔬菜,1,1
G04_水果,1,1
G05_猪肉,1,1
G06_禽类及其他肉类,1,1
G07_牛羊肉,1,1
G08_海鲜,1,1
G09_乳制品,0.622317607760568,0.620024937232236
