indicator,value,unit,year,source
production,2065.24,wan_ton,2024,NBS
production,2090.5,wan_ton,2025,NBS
area,15487.5,wan_mu,2024,NBS
yield,133.35,kg_per_mu,2024,NBS
yield,135.9,kg_per_mu,2025,NBS
imports,10503.3,wan_ton,2024,GACC
imports,9941,wan_ton,2023,GACC
share_brazil,0.7107,ratio,2024,GACC
share_usa,0.2107,ratio,2024,GACC
share_argentina,0.0391,ratio,2024,GACC
consumption,11500,wan_ton,2024,industry
soymeal_share_feed,0.130,ratio,2023,MARA
soymeal_share_feed,0.129,ratio,2024,MARA
spread_dom_import,627,cny_per_ton,2024,ZCZX
total_cost_per_mu,944.28,cny_per_mu,2023,NDRC_compilation
net_profit_per_mu,-182.42,cny_per_mu,2023,NDRC_compilation
subsidy_hlj,350.73,cny_per_mu,2025,provincial_gov
auction_price_cgr,4298,cny_per_ton,2026-02,Sinograin
