sector,s1_soybean,s2_crush,s3_feed,s4_livestock,s5_poultry,s6_meat_dairy,s7_foodmfg,s8_agri_other,s9_rest
s1_soybean,0.000865,0.473334,0.007907,0.0,0.0,0.0,0.007472,0.000494,0.0
s2_crush,4e-06,0.155868,0.039822,0.006288,0.009064,0.001311,0.013277,8.6e-05,0.000972
s3_feed,0.000765,0.0,0.073299,0.267884,0.345234,0.00225,0.000284,0.027713,1.2e-05
s4_livestock,3.8e-05,0.0,0.005066,0.069871,0.0,0.348111,0.007884,0.001069,0.001139
s5_poultry,0.0,0.0,0.0,0.0,0.064434,0.167004,0.001147,0.00054,0.000348
s6_meat_dairy,0.0,0.0,0.008745,2.7e-05,2.3e-05,0.103958,0.014191,0.0,0.00138
s7_foodmfg,0.001981,0.009593,0.060228,0.005639,0.025479,0.01868,0.139501,0.00311,0.006484
s8_agri_other,0.156889,0.041426,0.528956,0.068841,0.025404,0.0186,0.304778,0.144103,0.010672
s9_rest,0.193591,0.124828,0.120918,0.079376,0.107383,0.14335,0.2183,0.18889,0.600647
