province,data_year,crop,cash_income,labor_cost,land_cost,main_revenue,material_cost,net_profit,price_yuan_50kg,prod_cost,revenue,total_cost,yield_kg_mu
云南,2006,大豆,311.94,198.24,51.3,428.0,119.35,63.86,176.42,317.59,432.75,368.89,121.3
云南,2007,大豆,344.42,212.25,60.33,452.48,114.24,71.99,235.67,326.49,458.81,386.82,96.0
全国平均,2006,大豆,207.4,81.87,75.95,322.95,109.71,67.84,125.76,191.58,335.37,267.53,128.4
全国平均,2007,大豆,333.57,87.7,87.31,455.92,116.74,175.21,207.05,204.44,466.96,291.75,110.1
全国平均,2008,大豆,350.35,88.32,105.96,514.83,153.71,178.45,184.26,242.03,526.44,347.99,139.7
全国平均,2009,大豆,312.43,103.53,129.84,474.39,144.82,107.52,184.17,248.35,485.71,378.19,128.79
全国平均,2010,大豆,378.42,115.31,150.81,573.19,165.08,155.15,193.61,280.39,586.35,431.2,148.03
全国平均,2011,大豆,372.54,136.38,172.98,597.48,179.41,121.95,204.17,315.79,610.72,488.77,146.32
全国平均,2012,大豆,435.44,177.5,195.97,693.46,204.73,128.63,236.39,382.23,706.83,578.2,146.68
全国平均,2013,大豆,383.92,200.95,220.68,647.03,204.27,33.68,234.36,405.22,659.58,625.9,138.04
全国平均,2014,大豆,353.99,216.73,247.7,630.14,202.91,-25.73,219.41,419.64,641.61,667.34,143.6
全国平均,2015,大豆,265.07,215.16,257.74,548.21,201.81,-115.09,198.12,416.97,559.62,674.71,138.35
全国平均,2016,大豆,163.77,218.1146,259.0,457.24,201.33,-209.8146,190.2,419.4446,468.63,678.4446,120.2
全国平均,2017,大豆,237.27,215.8506,251.29,527.23,201.66,-130.8906,188.26,417.5106,537.91,668.8006,140.03
全国平均,2018,大豆,157.46,204.27027,258.05,463.08,204.01,-192.04027,183.09,408.28027,474.29,666.33027,126.46
全国平均,2024,大豆,167.27,221.61,489.96,599.81,252.11,-350.8,197.1,473.72,612.88,963.68,152.16
内蒙古,2006,大豆,42.83,82.09,66.22,165.8,131.6,-99.92,116.93,213.69,179.99,279.91,70.9
内蒙古,2007,大豆,207.38,105.14,75.72,313.82,107.3,39.38,204.84,212.44,327.54,288.16,76.6
内蒙古,2008,大豆,297.72,105.04,76.17,431.47,134.38,129.66,189.24,239.42,445.25,315.59,114.0
内蒙古,2009,大豆,243.7,129.43,130.65,388.71,143.19,0.97,196.95,272.62,404.24,403.27,98.68
内蒙古,2010,大豆,429.3,107.44,134.17,613.37,188.83,200.36,187.68,296.27,630.8,430.44,163.41
内蒙古,2011,大豆,299.87,151.24,113.94,535.21,198.12,93.88,205.33,349.36,557.18,463.3,130.33
内蒙古,2012,大豆,458.72,144.94,113.62,686.37,231.64,218.66,227.06,376.58,708.86,490.2,151.14
内蒙古,2013,大豆,481.91,110.39,149.62,693.33,224.9,235.9,227.83,335.29,720.81,484.91,152.16
内蒙古,2014,大豆,283.17,74.3,216.1,540.63,209.17,62.63,206.54,283.47,562.2,499.57,130.88
内蒙古,2015,大豆,95.6,63.61,193.46,359.87,220.26,-95.93,187.65,283.87,381.4,477.33,95.89
内蒙古,2016,大豆,-27.29,59.349,193.7,222.67,206.37,-217.009,182.37,265.719,242.41,459.419,61.05
内蒙古,2017,大豆,161.65,57.2201,191.89,398.48,206.23,-38.2501,176.52,263.4501,417.09,455.3401,112.87
内蒙古,2018,大豆,99.96,57.02306,200.01,340.09,208.74,-106.84306,175.98,265.76306,358.93,465.77306,96.63
内蒙古,2024,大豆,171.84,80.83,268.97,505.89,278.02,-101.47,178.87,358.85,526.35,627.82,141.41
内蒙古自治区,2019,大豆,90.44,61.81,204.7,328.84,208.24,-129.21,171.57,270.05,345.54,474.75,95.83
内蒙古自治区,2020,大豆,292.7,70.73,208.69,542.23,212.87,67.45,247.55,283.6,559.74,492.29,109.52
内蒙古自治区,2021,大豆,432.72,76.61,226.23,695.56,224.41,186.35,296.82,301.02,713.6,527.25,117.17
内蒙古自治区,2022,大豆,400.96,81.71,238.88,706.61,257.15,147.36,276.58,338.86,725.1,577.74,127.74
内蒙古自治区,2023,大豆,234.72,81.6,258.86,566.36,273.22,-27.14,233.49,354.82,586.54,613.68,121.28
吉林,2006,大豆,248.21,89.15,120.8,400.45,127.54,73.54,120.91,216.69,411.03,337.49,165.6
吉林,2007,大豆,445.86,82.33,144.86,609.46,147.42,246.99,219.39,229.75,621.6,374.61,138.9
吉林,2008,大豆,441.11,86.76,169.31,667.94,199.37,225.96,179.46,286.13,681.4,455.44,186.1
吉林,2009,大豆,351.91,99.52,172.86,564.58,181.48,123.45,184.83,281.0,577.31,453.86,152.73
吉林,2010,大豆,470.21,105.06,186.69,685.53,197.05,210.29,197.13,302.11,699.09,488.8,173.88
吉林,2011,大豆,475.94,139.01,213.97,726.04,227.32,158.49,213.75,366.33,738.79,580.3,169.83
吉林,2012,大豆,576.77,192.72,255.38,862.83,252.45,176.03,237.84,445.17,876.58,700.55,181.39
吉林,2013,大豆,495.11,255.78,275.25,804.29,271.97,15.03,228.54,527.75,818.03,803.0,175.96
吉林,2014,大豆,341.97,272.61,288.93,688.13,263.48,-122.63,210.06,536.09,702.39,825.02,163.79
吉林,2015,大豆,266.07,286.56,308.54,598.58,231.07,-216.06,200.74,517.63,610.11,826.17,149.09
吉林,2016,大豆,212.18,285.5642,271.59,525.5,222.83,-243.1942,179.03,508.3942,536.79,779.9842,146.76
吉林,2017,大豆,167.6,260.4954,237.78,503.23,229.9,-214.4054,175.71,490.3954,513.77,728.1754,143.2
吉林,2018,大豆,134.5,277.88981,278.9,481.72,232.35,-294.90981,167.95,510.23981,494.23,789.13981,143.41
吉林,2024,大豆,166.46,261.83,549.54,598.05,285.9,-484.46,200.3,547.73,612.81,1097.27,149.29
吉林省,2019,大豆,202.8,259.06,268.26,538.69,226.43,-202.0,170.48,485.49,551.75,753.75,157.99
吉林省,2020,大豆,351.55,299.5,289.86,739.67,232.33,-68.72,268.91,531.83,752.97,821.69,137.53
