sector,label,GO_yi_yuan,IM_yi_yuan,HH_cons_yi_yuan,b_weight
s1_soybean,大豆,971.5,3877.0,300.0,0.000583
s2_crush,植物油压榨,7646.2,1184.5,2558.8,0.004976
s3_feed,饲料加工,15935.0,319.2,87.1,0.000169
s4_livestock,牲畜养殖,27938.4,258.8,10587.7,0.02059
s5_poultry,家禽养殖,11053.3,1.6,5259.6,0.010229
s6_meat_dairy,肉乳加工,16997.0,3639.2,13183.6,0.025639
s7_foodmfg,其他食品制造,60227.0,4183.9,27945.5,0.054347
s8_agri_other,其他农林牧渔,119817.8,5479.9,34434.5,0.066967
s9_rest,其余经济,3120876.0,202586.8,419847.8,0.8165
