source,model,metric,demand_good,shock_good,value
R_2026_06_14,AIDS,expenditure,corn,,0.9668
R_2026_06_14,AIDS,expenditure,sorghum,,0.9318
R_2026_06_14,AIDS,expenditure,cassava,,0.9521
R_2026_06_14,AIDS,expenditure,oats,,0.6809
R_2026_06_14,AIDS,expenditure,barley,,1.1550
R_2026_06_14,QUAIDS,expenditure,corn,,0.9767
R_2026_06_14,QUAIDS,expenditure,sorghum,,0.8218
R_2026_06_14,QUAIDS,expenditure,cassava,,0.8038
R_2026_06_14,QUAIDS,expenditure,oats,,0.5553
R_2026_06_14,QUAIDS,expenditure,barley,,1.3080
R_2026_06_14,QUAIDS,marshallian,corn,corn,-0.9798
R_2026_06_14,QUAIDS,marshallian,sorghum,sorghum,-0.9460
R_2026_06_14,QUAIDS,marshallian,cassava,cassava,-0.9633
R_2026_06_14,QUAIDS,marshallian,oats,oats,-0.9515
R_2026_06_14,QUAIDS,marshallian,barley,barley,-1.1160
R_2026_06_14,QUAIDS,hicksian,corn,corn,-0.7352
R_2026_06_14,QUAIDS,hicksian,sorghum,sorghum,-0.8029
R_2026_06_14,QUAIDS,hicksian,cassava,cassava,-0.8265
R_2026_06_14,QUAIDS,hicksian,oats,oats,-0.9111
R_2026_06_14,QUAIDS,hicksian,barley,barley,-0.6806
