进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,贸易伙伴名称,贸易方式,货币,地址,第二数量,第二计量单位,商品1996编码
进口,2019-09,07141020,木薯干,714991.0,2817600.0,千克,泰国,一般贸易,usd,江苏省,0.0,—,hs071410
进口,2019-09,07141020,木薯干,9343820.0,39405700.0,千克,泰国,一般贸易,usd,山东省,0.0,—,hs071410
进口,2019-09,07141020,木薯干,91724.0,369710.0,千克,越南,一般贸易,usd,山东省,0.0,—,hs071410
进口,2019-09,07141020,木薯干,677499.0,2850800.0,千克,越南,一般贸易,usd,广西壮族自治区,0.0,—,hs071410
进口,2019-09,07141020,木薯干,5220.0,25000.0,千克,越南,边境小额贸易,usd,云南省,0.0,—,hs071410
进口,2019-09,10079000,其他食用高梁,60145.0,406000.0,千克,缅甸,边境小额贸易,usd,云南省,0.0,—,hs100700
进口,2019-09,10079000,其他食用高梁,4078300.0,18000000.0,千克,阿根廷,一般贸易,usd,福建省,0.0,—,hs100700
进口,2019-09,10079000,其他食用高梁,8422100.0,33000000.0,千克,阿根廷,一般贸易,usd,广东省,0.0,—,hs100700
进口,2019-09,10079000,其他食用高梁,12516400.0,53788100.0,千克,美国,一般贸易,usd,北京市,0.0,—,hs100700
进口,2019-09,10079000,其他食用高梁,862785.0,2997160.0,千克,澳大利亚,一般贸易,usd,北京市,0.0,—,hs100700
进口,2019-09,10079000,其他食用高梁,685815.0,2470360.0,千克,澳大利亚,一般贸易,usd,辽宁省,0.0,—,hs100700
进口,2019-09,10079000,其他食用高梁,136439.0,492560.0,千克,澳大利亚,一般贸易,usd,江苏省,0.0,—,hs100700
进口,2019-09,10079000,其他食用高梁,555127.0,1978230.0,千克,澳大利亚,一般贸易,usd,安徽省,0.0,—,hs100700
进口,2019-09,10079000,其他食用高梁,982085.0,3493770.0,千克,澳大利亚,一般贸易,usd,福建省,0.0,—,hs100700
进口,2019-09,10079000,其他食用高梁,1878950.0,5635470.0,千克,澳大利亚,一般贸易,usd,湖北省,0.0,—,hs100700
进口,2019-09,10079000,其他食用高梁,296602.0,995920.0,千克,澳大利亚,一般贸易,usd,广东省,0.0,—,hs100700
进口,2019-09,10079000,其他食用高梁,278032.0,998300.0,千克,澳大利亚,一般贸易,usd,甘肃省,0.0,—,hs100700
进口,2019-09,10039000,其他大麦,346800.0,1680000.0,千克,哈萨克斯坦,一般贸易,usd,甘肃省,0.0,—,hs100300
进口,2019-09,10039000,其他大麦,454981.0,2443050.0,千克,哈萨克斯坦,一般贸易,usd,新疆维吾尔自治区,0.0,—,hs100300
进口,2019-09,10039000,其他大麦,10398000.0,41818600.0,千克,法国,一般贸易,usd,辽宁省,0.0,—,hs100300
进口,2019-09,10039000,其他大麦,14766200.0,68553000.0,千克,法国,一般贸易,usd,上海市,0.0,—,hs100300
进口,2019-09,10039000,其他大麦,665578.0,2645400.0,千克,法国,一般贸易,usd,江苏省,0.0,—,hs100300
进口,2019-09,10039000,其他大麦,12021100.0,55366400.0,千克,法国,一般贸易,usd,福建省,0.0,—,hs100300
进口,2019-09,10039000,其他大麦,13327300.0,60500000.0,千克,乌克兰,一般贸易,usd,北京市,0.0,—,hs100300
进口,2019-09,10039000,其他大麦,4581050.0,21000000.0,千克,乌克兰,一般贸易,usd,辽宁省,0.0,—,hs100300
进口,2019-09,10039000,其他大麦,85901800.0,392706000.0,千克,乌克兰,一般贸易,usd,福建省,0.0,—,hs100300
进口,2019-09,10039000,其他大麦,13575500.0,64728700.0,千克,乌克兰,一般贸易,usd,广东省,0.0,—,hs100300
进口,2019-09,10039000,其他大麦,2925550.0,10331300.0,千克,加拿大,一般贸易,usd,江苏省,0.0,—,hs100300
进口,2019-09,10039000,其他大麦,8269510.0,30282300.0,千克,加拿大,一般贸易,usd,山东省,0.0,—,hs100300
进口,2019-09,10039000,其他大麦,4199810.0,15017100.0,千克,澳大利亚,一般贸易,usd,江苏省,0.0,—,hs100300
进口,2019-09,10039000,其他大麦,8460440.0,31800000.0,千克,澳大利亚,一般贸易,usd,浙江省,0.0,—,hs100300
进口,2019-09,10039000,其他大麦,5219750.0,20200000.0,千克,澳大利亚,一般贸易,usd,山东省,0.0,—,hs100300
进口,2019-09,10039000,其他大麦,10102100.0,35000000.0,千克,澳大利亚,一般贸易,usd,广东省,0.0,—,hs100300
进口,2019-09,10039000,其他大麦,303232.0,1100000.0,千克,澳大利亚,进料加工贸易,usd,辽宁省,0.0,—,hs100300
进口,2019-09,10049000,其他燕麦,10.0,1.0,千克,台澎金马关税区,一般贸易,usd,北京市,0.0,—,hs100400
进口,2019-09,10049000,其他燕麦,74.0,10.0,千克,德国,一般贸易,usd,广东省,0.0,—,hs100400
进口,2019-09,10049000,其他燕麦,45380.0,194940.0,千克,俄罗斯联邦,一般贸易,usd,北京市,0.0,—,hs100400
进口,2019-09,10049000,其他燕麦,96991.0,505430.0,千克,俄罗斯联邦,一般贸易,usd,内蒙古自治区,0.0,—,hs100400
进口,2019-09,10049000,其他燕麦,295700.0,1545710.0,千克,俄罗斯联邦,边境小额贸易,usd,内蒙古自治区,0.0,—,hs100400
进口,2019-09,10049000,其他燕麦,74.0,3.0,千克,加拿大,一般贸易,usd,上海市,0.0,—,hs100400
进口,2019-09,10049000,其他燕麦,26.0,1.0,千克,加拿大,一般贸易,usd,福建省,0.0,—,hs100400
进口,2019-09,10049000,其他燕麦,13.0,5.0,千克,美国,一般贸易,usd,北京市,0.0,—,hs100400
进口,2019-09,10049000,其他燕麦,12.0,0.0,千克,美国,一般贸易,usd,广东省,0.0,—,hs100400
进口,2019-09,10049000,其他燕麦,74215.0,204400.0,千克,澳大利亚,一般贸易,usd,北京市,0.0,—,hs100400
进口,2019-09,10049000,其他燕麦,1281250.0,3694340.0,千克,澳大利亚,一般贸易,usd,河北省,0.0,—,hs100400
进口,2019-09,10049000,其他燕麦,456454.0,1584910.0,千克,澳大利亚,一般贸易,usd,上海市,0.0,—,hs100400
进口,2019-09,10049000,其他燕麦,3430940.0,10369900.0,千克,澳大利亚,一般贸易,usd,广东省,0.0,—,hs100400
进口,2019-09,10049000,其他燕麦,884690.0,2583880.0,千克,澳大利亚,一般贸易,usd,广西壮族自治区,0.0,—,hs100400
进口,2019-09,10051000,种用玉米,112.0,9.0,千克,菲律宾,其他,usd,北京市,0.0,—,hs100510
进口,2019-09,10051000,种用玉米,1292.0,199.0,千克,智利,一般贸易,usd,上海市,0.0,—,hs100510
进口,2019-09,10059000,玉米，种用除外,10009800.0,38728700.0,千克,缅甸,一般贸易,usd,云南省,0.0,—,hs100590
进口,2019-09,10059000,玉米，种用除外,1625960.0,5762300.0,千克,老挝,一般贸易,usd,云南省,0.0,—,hs100590
进口,2019-09,10059000,玉米，种用除外,2970.0,27000.0,千克,俄罗斯联邦,海关特殊监管区域物流货物,usd,黑龙江省,0.0,—,hs100590
进口,2019-09,10059000,玉米，种用除外,2181510.0,10431000.0,千克,乌克兰,一般贸易,usd,福建省,0.0,—,hs100590
进口,2019-09,10059000,玉米，种用除外,4704510.0,21555600.0,千克,乌克兰,保税监管场所进出境货物,usd,湖南省,0.0,—,hs100590
进口,2019-09,10059000,玉米，种用除外,140822.0,72000.0,千克,秘鲁,来料加工贸易,usd,辽宁省,0.0,—,hs100590
进口,2019-09,10059000,玉米，种用除外,14496100.0,62999000.0,千克,美国,一般贸易,usd,北京市,0.0,—,hs100590
进口,2019-09,23033000,酿造及蒸馏过程中的糟粕及残渣,3107560.0,14415500.0,千克,美国,进料加工贸易,usd,浙江省,0.0,—,hs230330
进口,2019-09,23033000,酿造及蒸馏过程中的糟粕及残渣,623427.0,2994370.0,千克,美国,进料加工贸易,usd,山东省,0.0,—,hs230330
进口,2019-09,23033000,酿造及蒸馏过程中的糟粕及残渣,1776020.0,7440860.0,千克,美国,海关特殊监管区域物流货物,usd,湖南省,0.0,—,hs230330
进口,2019-08,07141020,木薯干,10693900.0,43349900.0,千克,泰国,一般贸易,usd,江苏省,0.0,—,hs071410
进口,2019-08,07141020,木薯干,33040700.0,135846000.0,千克,泰国,一般贸易,usd,山东省,0.0,—,hs071410
进口,2019-08,07141020,木薯干,8023.0,39190.0,千克,越南,边境小额贸易,usd,云南省,0.0,—,hs071410
进口,2019-08,10079000,其他食用高梁,21468.0,140750.0,千克,缅甸,边境小额贸易,usd,云南省,0.0,—,hs100700
进口,2019-08,10079000,其他食用高梁,3209620.0,14166000.0,千克,阿根廷,保税监管场所进出境货物,usd,福建省,0.0,—,hs100700
进口,2019-08,10079000,其他食用高梁,29769100.0,138165000.0,千克,美国,一般贸易,usd,上海市,0.0,—,hs100700
进口,2019-08,10079000,其他食用高梁,4309130.0,20000000.0,千克,美国,一般贸易,usd,广东省,0.0,—,hs100700
