进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,贸易伙伴名称,贸易方式,货币,地址,第二数量,第二计量单位,商品1996编码
进口,2017-09,07141020,木薯干,1668620.0,9617630.0,千克,泰国,一般贸易,usd,北京市,0.0,—,hs071410
进口,2017-09,07141020,木薯干,50209800.0,284569000.0,千克,泰国,一般贸易,usd,江苏省,0.0,—,hs071410
进口,2017-09,07141020,木薯干,4463500.0,24949900.0,千克,泰国,一般贸易,usd,安徽省,0.0,—,hs071410
进口,2017-09,07141020,木薯干,53407600.0,297833000.0,千克,泰国,一般贸易,usd,山东省,0.0,—,hs071410
进口,2017-09,07141020,木薯干,7298040.0,42192200.0,千克,泰国,一般贸易,usd,湖北省,0.0,—,hs071410
进口,2017-09,07141020,木薯干,6330220.0,36698500.0,千克,泰国,一般贸易,usd,广东省,0.0,—,hs071410
进口,2017-09,07141020,木薯干,2858880.0,15081100.0,千克,泰国,一般贸易,usd,广西壮族自治区,0.0,—,hs071410
进口,2017-09,07141020,木薯干,44553.0,261290.0,千克,越南,一般贸易,usd,江苏省,0.0,—,hs071410
进口,2017-09,07141020,木薯干,4205280.0,23855400.0,千克,越南,一般贸易,usd,山东省,0.0,—,hs071410
进口,2017-09,07141020,木薯干,13194000.0,74595200.0,千克,越南,一般贸易,usd,广西壮族自治区,0.0,—,hs071410
进口,2017-09,07141020,木薯干,973808.0,6122030.0,千克,越南,一般贸易,usd,云南省,0.0,—,hs071410
进口,2017-09,07141020,木薯干,722250.0,4392350.0,千克,越南,边境小额贸易,usd,云南省,0.0,—,hs071410
进口,2017-09,10021000,种用黑麦,403.0,152.0,千克,德国,一般贸易,usd,北京市,0.0,—,hs100200
进口,2017-09,10039000,其他大麦,980614.0,3957170.0,千克,丹麦,一般贸易,usd,广东省,0.0,—,hs100300
进口,2017-09,10039000,其他大麦,2791380.0,15000000.0,千克,乌克兰,一般贸易,usd,上海市,0.0,—,hs100300
进口,2017-09,10039000,其他大麦,6592440.0,35425600.0,千克,乌克兰,一般贸易,usd,江苏省,0.0,—,hs100300
进口,2017-09,10039000,其他大麦,41252200.0,227054000.0,千克,乌克兰,一般贸易,usd,福建省,0.0,—,hs100300
