进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,贸易伙伴名称,贸易方式,货币,地址,第二数量,第二计量单位,商品1996编码
进口,2018-01,07141010,鲜木薯,904030.0,14767700.0,千克,越南,一般贸易,usd,云南省,0.0,—,hs071410
进口,2018-01,07141010,鲜木薯,665042.0,10938700.0,千克,越南,边境小额贸易,usd,云南省,0.0,—,hs071410
进口,2018-01,07141020,木薯干,39368900.0,179179000.0,千克,泰国,一般贸易,usd,江苏省,0.0,—,hs071410
进口,2018-01,07141020,木薯干,18040400.0,80962900.0,千克,泰国,一般贸易,usd,浙江省,0.0,—,hs071410
进口,2018-01,07141020,木薯干,4855330.0,21937900.0,千克,泰国,一般贸易,usd,安徽省,0.0,—,hs071410
进口,2018-01,07141020,木薯干,57226300.0,263628000.0,千克,泰国,一般贸易,usd,山东省,0.0,—,hs071410
进口,2018-01,07141020,木薯干,8558070.0,38415900.0,千克,泰国,一般贸易,usd,广西壮族自治区,0.0,—,hs071410
进口,2018-01,07141020,木薯干,5619560.0,25801500.0,千克,泰国,保税监管场所进出境货物,usd,安徽省,0.0,—,hs071410
进口,2018-01,07141020,木薯干,826703.0,3962650.0,千克,越南,一般贸易,usd,江苏省,0.0,—,hs071410
进口,2018-01,07141020,木薯干,582756.0,2820740.0,千克,越南,一般贸易,usd,浙江省,0.0,—,hs071410
进口,2018-01,07141020,木薯干,2745760.0,12952700.0,千克,越南,一般贸易,usd,安徽省,0.0,—,hs071410
进口,2018-01,07141020,木薯干,5394370.0,24310400.0,千克,越南,一般贸易,usd,山东省,0.0,—,hs071410
进口,2018-01,07141020,木薯干,974451.0,4242250.0,千克,越南,一般贸易,usd,广东省,0.0,—,hs071410
进口,2018-01,07141020,木薯干,10127600.0,48431100.0,千克,越南,一般贸易,usd,广西壮族自治区,0.0,—,hs071410
进口,2018-01,07141020,木薯干,1072190.0,6547740.0,千克,越南,一般贸易,usd,云南省,0.0,—,hs071410
进口,2018-01,07141020,木薯干,1719390.0,9999170.0,千克,越南,边境小额贸易,usd,云南省,0.0,—,hs071410
进口,2018-01,10039000,其他大麦,15226400.0,57750000.0,千克,加拿大,一般贸易,usd,辽宁省,0.0,—,hs100300
进口,2018-01,10039000,其他大麦,5554770.0,20922800.0,千克,加拿大,一般贸易,usd,江苏省,0.0,—,hs100300
进口,2018-01,10039000,其他大麦,22096000.0,97327000.0,千克,加拿大,一般贸易,usd,福建省,0.0,—,hs100300
进口,2018-01,10039000,其他大麦,8224940.0,30285000.0,千克,加拿大,一般贸易,usd,广东省,0.0,—,hs100300
进口,2018-01,10039000,其他大麦,4921320.0,22000000.0,千克,澳大利亚,一般贸易,usd,天津市,0.0,—,hs100300
进口,2018-01,10039000,其他大麦,8585050.0,35020000.0,千克,澳大利亚,一般贸易,usd,河北省,0.0,—,hs100300
进口,2018-01,10039000,其他大麦,892078.0,4011420.0,千克,澳大利亚,一般贸易,usd,上海市,0.0,—,hs100300
进口,2018-01,10039000,其他大麦,559971.0,2506170.0,千克,澳大利亚,一般贸易,usd,江苏省,0.0,—,hs100300
进口,2018-01,10039000,其他大麦,7010240.0,29027200.0,千克,澳大利亚,一般贸易,usd,浙江省,0.0,—,hs100300
进口,2018-01,10039000,其他大麦,12635600.0,55274100.0,千克,澳大利亚,一般贸易,usd,安徽省,0.0,—,hs100300
进口,2018-01,10039000,其他大麦,14898200.0,65607900.0,千克,澳大利亚,一般贸易,usd,福建省,0.0,—,hs100300
