进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,贸易伙伴名称,贸易方式,货币,地址,第二数量,第二计量单位
进口,2023-10,10039000,其他大麦,4531542.0,16492500.0,千克,乌克兰,一般贸易,usd,福建省,0.0,—
进口,2023-10,10039000,其他大麦,9986701.0,33000000.0,千克,阿根廷,一般贸易,usd,浙江省,0.0,—
进口,2023-10,10039000,其他大麦,3035309.0,10180000.0,千克,阿根廷,一般贸易,usd,安徽省,0.0,—
进口,2023-10,10039000,其他大麦,9987053.0,33000000.0,千克,阿根廷,一般贸易,usd,广东省,0.0,—
进口,2023-10,10039000,其他大麦,812855.0,2500000.0,千克,加拿大,一般贸易,usd,山东省,0.0,—
进口,2023-10,10039000,其他大麦,35997042.0,125877000.0,千克,澳大利亚,一般贸易,usd,北京市,0.0,—
进口,2023-10,10039000,其他大麦,148384.0,520360.0,千克,澳大利亚,一般贸易,usd,江苏省,0.0,—
进口,2023-10,10039000,其他大麦,39541568.0,143128000.0,千克,澳大利亚,一般贸易,usd,福建省,0.0,—
进口,2023-10,10039000,其他大麦,8670471.0,29779000.0,千克,澳大利亚,一般贸易,usd,江西省,0.0,—
进口,2023-10,10039000,其他大麦,1726913.0,6138290.0,千克,澳大利亚,一般贸易,usd,山东省,0.0,—
进口,2023-10,10039000,其他大麦,2297095.0,8300050.0,千克,澳大利亚,一般贸易,usd,广东省,0.0,—
进口,2023-10,10041000,种用燕麦,422.0,9.0,千克,美国,一般贸易,usd,北京市,0.0,—
进口,2023-10,10049000,其他燕麦,201544.0,904400.0,千克,俄罗斯,一般贸易,usd,北京市,0.0,—
进口,2023-10,10049000,其他燕麦,272261.0,1320000.0,千克,俄罗斯,一般贸易,usd,天津市,0.0,—
进口,2023-10,10049000,其他燕麦,308777.0,1026840.0,千克,俄罗斯,一般贸易,usd,河北省,0.0,—
进口,2023-10,10049000,其他燕麦,315542.0,1560720.0,千克,俄罗斯,一般贸易,usd,内蒙古自治区,0.0,—
进口,2023-10,10049000,其他燕麦,259601.0,1612000.0,千克,俄罗斯,一般贸易,usd,辽宁省,0.0,—
进口,2023-10,10049000,其他燕麦,543251.0,3083210.0,千克,俄罗斯,一般贸易,usd,黑龙江省,0.0,—
进口,2023-10,10049000,其他燕麦,223154.0,980000.0,千克,俄罗斯,一般贸易,usd,江苏省,0.0,—
进口,2023-10,10049000,其他燕麦,395969.0,2119000.0,千克,俄罗斯,一般贸易,usd,山东省,0.0,—
进口,2023-10,10049000,其他燕麦,327206.0,1381920.0,千克,俄罗斯,一般贸易,usd,广东省,0.0,—
进口,2023-10,10049000,其他燕麦,955078.0,4638780.0,千克,俄罗斯,边境小额贸易,usd,内蒙古自治区,0.0,—
进口,2023-10,10049000,其他燕麦,1357500.0,3625630.0,千克,澳大利亚,一般贸易,usd,河北省,0.0,—
进口,2023-10,10049000,其他燕麦,399957.0,1066550.0,千克,澳大利亚,一般贸易,usd,上海市,0.0,—
进口,2023-10,10049000,其他燕麦,2940178.0,8134320.0,千克,澳大利亚,一般贸易,usd,江苏省,0.0,—
进口,2023-10,10049000,其他燕麦,1923982.0,5491780.0,千克,澳大利亚,一般贸易,usd,广东省,0.0,—
进口,2023-10,10049000,其他燕麦,688061.0,1898660.0,千克,澳大利亚,一般贸易,usd,广西壮族自治区,0.0,—
进口,2023-10,10049000,其他燕麦,525152.0,1591370.0,千克,澳大利亚,一般贸易,usd,甘肃省,0.0,—
进口,2023-10,10051000,种用玉米,154.0,1.0,千克,法国,其他,usd,陕西省,0.0,—
进口,2023-10,10059000,玉米，种用除外,21391702.0,60353300.0,千克,缅甸,一般贸易,usd,云南省,0.0,—
进口,2023-10,10059000,玉米，种用除外,5445887.0,15183000.0,千克,老挝,一般贸易,usd,云南省,0.0,—
进口,2023-10,10059000,玉米，种用除外,58568.0,209920.0,千克,老挝,进料加工贸易,usd,云南省,0.0,—
进口,2023-10,10059000,玉米，种用除外,240630.0,835518.0,千克,老挝,海关特殊监管区域物流货物,usd,海南省,0.0,—
进口,2023-10,10059000,玉米，种用除外,300124.0,872000.0,千克,保加利亚,一般贸易,usd,北京市,0.0,—
进口,2023-10,10059000,玉米，种用除外,5947859.0,18997900.0,千克,俄罗斯,一般贸易,usd,北京市,0.0,—
进口,2023-10,10059000,玉米，种用除外,3802.0,26000.0,千克,俄罗斯,进料加工贸易,usd,黑龙江省,0.0,—
进口,2023-10,10059000,玉米，种用除外,186786.0,638610.0,千克,俄罗斯,进料加工贸易,usd,山东省,0.0,—
进口,2023-10,10059000,玉米，种用除外,554366.0,1676850.0,千克,乌克兰,一般贸易,usd,黑龙江省,0.0,—
进口,2023-10,10059000,玉米，种用除外,1032364.0,3122700.0,千克,乌克兰,一般贸易,usd,福建省,0.0,—
进口,2023-10,10059000,玉米，种用除外,200496.0,715700.0,千克,乌克兰,一般贸易,usd,河南省,0.0,—
进口,2023-10,10059000,玉米，种用除外,143121.0,443100.0,千克,乌克兰,进料加工贸易,usd,浙江省,0.0,—
进口,2023-10,10059000,玉米，种用除外,241084.0,858440.0,千克,乌克兰,进料加工贸易,usd,山东省,0.0,—
进口,2023-10,10059000,玉米，种用除外,419179249.0,1269990000.0,千克,巴西,一般贸易,usd,北京市,0.0,—
进口,2023-10,10059000,玉米，种用除外,964700.0,3662400.0,千克,巴西,一般贸易,usd,黑龙江省,0.0,—
进口,2023-10,10059000,玉米，种用除外,50197071.0,166474000.0,千克,巴西,一般贸易,usd,福建省,0.0,—
进口,2023-10,10059000,玉米，种用除外,21202340.0,66195000.0,千克,巴西,一般贸易,usd,广东省,0.0,—
进口,2023-10,10059000,玉米，种用除外,138150.0,500000.0,千克,巴西,进料加工贸易,usd,浙江省,0.0,—
进口,2023-10,10059000,玉米，种用除外,19900077.0,72847300.0,千克,巴西,进料加工贸易,usd,山东省,0.0,—
进口,2023-10,10059000,玉米，种用除外,19572020.0,72551700.0,千克,巴西,进料加工贸易,usd,广西壮族自治区,0.0,—
进口,2023-10,10059000,玉米，种用除外,5362280.0,20000000.0,千克,巴西,进料加工贸易,usd,贵州省,0.0,—
进口,2023-10,10059000,玉米，种用除外,2999474.0,9410670.0,千克,巴西,保税监管场所进出境货物,usd,福建省,0.0,—
进口,2023-10,10059000,玉米，种用除外,17411850.0,63000000.0,千克,巴西,海关特殊监管区域物流货物,usd,福建省,0.0,—
进口,2023-10,10059000,玉米，种用除外,15590543.0,56051000.0,千克,巴西,海关特殊监管区域物流货物,usd,广东省,0.0,—
进口,2023-10,10059000,玉米，种用除外,49475544.0,139645000.0,千克,美国,一般贸易,usd,北京市,0.0,—
进口,2023-10,10079000,其他食用高粱,23506893.0,76485000.0,千克,阿根廷,一般贸易,usd,北京市,0.0,—
