进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,公司,贸易方式,运输方式,贸易伙伴名称,商品1996编码,货币
进口,2015.0,07141020,木薯干,2937848.0,12620090.0,千克,中化(青岛)实业有限公司,一般贸易,其它运输代码修正,柬埔寨,hs071410,usd
进口,2015.0,10059000,玉米，种用除外,678528.0,3100000.0,千克,云南金瑞种业有限公司,一般贸易,其它运输代码修正,缅甸,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,426202.0,1887500.0,千克,德宏天瑞商贸有限责任公司,一般贸易,其它运输代码修正,缅甸,hs100590,usd
进口,2015.0,10051000,种用玉米,843.0,210.0,千克,上海惠和种业有限公司,一般贸易,其它运输代码修正,印度,hs100510,usd
进口,2015.0,10059000,玉米，种用除外,37609.0,105000.0,千克,保山市隆阳区粮食收储有限责任公,一般贸易,其它运输代码修正,缅甸,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,2290913.0,9263000.0,千克,瑞丽市畹町经济开发区盈益商号,一般贸易,其它运输代码修正,缅甸,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,1059442.0,4759000.0,千克,畹町源洋生物科技有限公司,一般贸易,其它运输代码修正,缅甸,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,354560.0,1237450.0,千克,云南博奥商贸有限公司,一般贸易,其它运输代码修正,缅甸,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,358807.0,1500000.0,千克,普洱市兴银商贸有限公司,一般贸易,其它运输代码修正,缅甸,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,391223.0,1698140.0,千克,云南金晨投资有限公司,一般贸易,其它运输代码修正,缅甸,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,925202.0,3700000.0,千克,云南森禾蜜湾商贸有限公司,一般贸易,其它运输代码修正,缅甸,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,311660.0,989000.0,千克,瑞丽市鑫和源工贸有限公司,一般贸易,其它运输代码修正,缅甸,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,8721.0,30990.0,千克,云南思豪经贸有限公司,一般贸易,其它运输代码修正,缅甸,hs100590,usd
进口,2015.0,07141020,木薯干,4396313.0,18116016.0,千克,中国航空技术国际控股有限公司,一般贸易,其它运输代码修正,柬埔寨,hs071410,usd
进口,2015.0,07141020,木薯干,2785974.0,11352000.0,千克,河南天冠企业集团有限公司,一般贸易,其它运输代码修正,柬埔寨,hs071410,usd
进口,2015.0,07141020,木薯干,777997.0,3448500.0,千克,广西中粮生物质能源有限公司,一般贸易,其它运输代码修正,柬埔寨,hs071410,usd
进口,2015.0,07141020,木薯干,5213632.0,20996815.0,千克,日照昌久国际贸易有限公司,一般贸易,其它运输代码修正,印度尼西亚,hs071410,usd
进口,2015.0,10051000,种用玉米,1043.0,74.0,千克,山东天泰种业有限公司,一般贸易,航空运输,以色列,hs100510,usd
进口,2015.0,10051000,种用玉米,3518.0,251.0,千克,山东金种子农业发展有限公司,一般贸易,航空运输,印度,hs100510,usd
