进出口类型,日期,商品编码,商品名称,金额,贸易伙伴名称,贸易方式,公司,商品1996编码,货币
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,511322.0,美国,一般贸易,厦门象屿物流集团有限责任公司,hs230330,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,23587336.0,美国,一般贸易,恒天创业投资有限公司,hs230330,usd
进口,2016.0,10079000,其他食用高梁,666529.0,美国,一般贸易,厦门象屿速传供应链发展股份有限公司,hs100700,usd
进口,2016.0,10059000,玉米，种用除外,5475429.0,老挝,一般贸易,云南强胜农业技术开发有限公司,hs100590,usd
进口,2016.0,10051000,种用玉米,19858.0,法国,除一般贸易及加工贸易外合计（代码修正）,北京奥立沃种业科技有限公司,hs100510,usd
进口,2016.0,10059000,玉米，种用除外,395045.0,老挝,一般贸易,云南凌宇商贸有限公司,hs100590,usd
进口,2016.0,07141020,木薯干,16939802.0,泰国,一般贸易,安徽国星生物化学有限公司,hs071410,usd
进口,2016.0,10041000,种用燕麦,12.0,美国,一般贸易,北京克劳沃草业技术开发中心,hs100400,usd
进口,2016.0,10079000,其他食用高梁,7444278.0,澳大利亚,一般贸易,厦门建发原材料贸易有限公司,hs100700,usd
进口,2016.0,10059000,玉米，种用除外,204347.0,老挝,一般贸易,云南德殷集团有限公司,hs100590,usd
进口,2016.0,07141020,木薯干,1785317.0,越南,一般贸易,镇江长兴酒精有限公司,hs071410,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,545.0,美国,除一般贸易及加工贸易外合计（代码修正）,北京可太兴业经贸有限公司,hs230330,usd
进口,2016.0,10041000,种用燕麦,208391.0,美国,一般贸易,北京正道生态科技有限公司,hs100400,usd
进口,2016.0,10059000,玉米，种用除外,348509.0,老挝,一般贸易,玉溪德商农业投资有限公司,hs100590,usd
进口,2016.0,10079000,其他食用高梁,227804.0,澳大利亚,一般贸易,沧州市九成贸易有限公司,hs100700,usd
进口,2016.0,10039000,其他大麦,1239938.0,澳大利亚,一般贸易,浙江祥云科技股份有限公司,hs100300,usd
进口,2016.0,10079000,其他食用高梁,209775.0,澳大利亚,一般贸易,建发物流集团有限公司,hs100700,usd
