进出口类型,日期,商品编码,商品名称,金额,贸易伙伴名称,贸易方式,公司,商品1996编码,货币
进口,2016.0,10079000,其他食用高梁,2407376.0,澳大利亚,一般贸易,厦门建发股份有限公司,hs100700,usd
进口,2016.0,07141020,木薯干,15808284.0,越南,一般贸易,日照昆达进出口有限公司,hs071410,usd
进口,2016.0,10059000,玉米，种用除外,9738750.0,乌克兰,一般贸易,中国成套工程有限公司,hs100590,usd
进口,2016.0,10059000,玉米，种用除外,30087082.0,乌克兰,加工贸易（代码修正）,通辽梅花生物科技有限公司,hs100590,usd
进口,2016.0,10059000,玉米，种用除外,1170276.0,老挝,一般贸易,普洱景美经贸有限公司,hs100590,usd
进口,2016.0,10079000,其他食用高梁,8142747.0,澳大利亚,一般贸易,中粮贸易有限公司,hs100700,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,240023.0,美国,一般贸易,广东顺德广顺饲料有限公司,hs230330,usd
进口,2016.0,10079000,其他食用高梁,216085.0,澳大利亚,一般贸易,五寨县汇丰贸易有限公司,hs100700,usd
进口,2016.0,10059000,玉米，种用除外,290425.0,老挝,除一般贸易及加工贸易外合计（代码修正）,勐腊县金江经济作物开发有限公司,hs100590,usd
进口,2016.0,10059000,玉米，种用除外,910826.0,老挝,一般贸易,昆明永兴行商贸有限公司,hs100590,usd
进口,2016.0,10039000,其他大麦,28371335.0,加拿大,加工贸易（代码修正）,宁波麦芽有限公司,hs100300,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,220954.0,美国,一般贸易,日照紫曦贸易有限公司,hs230330,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,847388.0,美国,一般贸易,青岛大度谷物有限公司,hs230330,usd
进口,2016.0,10039000,其他大麦,37840497.0,澳大利亚,一般贸易,厦门市明穗粮油贸易有限公司,hs100300,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,166955.0,美国,一般贸易,海南伟兴贸易有限公司,hs230330,usd
进口,2016.0,10079000,其他食用高梁,9873828.0,美国,一般贸易,深圳市华联粮油贸易有限公司,hs100700,usd
进口,2016.0,10041000,种用燕麦,823500.0,加拿大,一般贸易,北京克劳沃草业技术开发中心,hs100400,usd
进口,2016.0,10029000,其他黑麦,5100.0,澳大利亚,一般贸易,钰嘉(上海)食品有限公司,hs100200,usd
进口,2016.0,10079000,其他食用高梁,438719.0,澳大利亚,一般贸易,中国化纤总公司,hs100700,usd
进口,2016.0,10079000,其他食用高梁,5493076.0,美国,一般贸易,广东新粮实业有限公司,hs100700,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,116608.0,美国,一般贸易,山东天谷国际贸易有限公司,hs230330,usd
进口,2016.0,10051000,种用玉米,822.0,阿根廷,除一般贸易及加工贸易外合计（代码修正）,河南秋乐种业科技股份有限公司,hs100510,usd
进口,2016.0,07141020,木薯干,15578366.0,泰国,一般贸易,山东浩宇国际贸易有限公司,hs071410,usd
进口,2016.0,10059000,玉米，种用除外,1276447.0,乌克兰,一般贸易,天津建源供应链管理有限公司,hs100590,usd
进口,2016.0,10079000,其他食用高梁,1140185.0,美国,一般贸易,湛江嘉冠禾贸易有限公司,hs100700,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,20394964.0,美国,一般贸易,广州东凌贸易有限公司,hs230330,usd
进口,2016.0,10059000,玉米，种用除外,26980.0,老挝,除一般贸易及加工贸易外合计（代码修正）,云南绿航生物科技发展有限公司,hs100590,usd
进口,2016.0,10049000,其他燕麦,483732.0,澳大利亚,一般贸易,苏州望亭远方物流有限公司,hs100400,usd
进口,2016.0,10051000,种用玉米,125.0,智利,一般贸易,上海种业(集团)有限公司,hs100510,usd
进口,2016.0,10079000,其他食用高梁,815102.0,澳大利亚,一般贸易,天津纺织集团进出口股份有限公司,hs100700,usd
进口,2016.0,07141020,木薯干,1474927.0,越南,一般贸易,太仓新太酒精有限公司,hs071410,usd
进口,2016.0,10049000,其他燕麦,61474.0,澳大利亚,一般贸易,上海嘉旺食品有限公司,hs100400,usd
进口,2016.0,10059000,玉米，种用除外,5733828.0,乌克兰,加工贸易（代码修正）,日照金禾博源生化有限公司,hs100590,usd
进口,2016.0,10039000,其他大麦,43390575.0,澳大利亚,一般贸易,新谷(上海)贸易有限公司,hs100300,usd
进口,2016.0,10059000,玉米，种用除外,2347348.0,乌克兰,一般贸易,青岛天普阳光商贸有限公司,hs100590,usd
进口,2016.0,10049000,其他燕麦,8800534.0,澳大利亚,一般贸易,河北西麦食品有限公司,hs100400,usd
进口,2016.0,07141020,木薯干,2971884.0,越南,一般贸易,河南天冠企业集团有限公司,hs071410,usd
进口,2016.0,10039000,其他大麦,3418627.0,阿根廷,加工贸易（代码修正）,广州麦芽有限公司,hs100300,usd
进口,2016.0,10039000,其他大麦,16361645.0,法国,一般贸易,中粮麦芽(江阴)有限公司,hs100300,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,4162845.0,美国,一般贸易,中国乡镇企业总公司,hs230330,usd
进口,2016.0,10051000,种用玉米,210.0,法国,除一般贸易及加工贸易外合计（代码修正）,赤峰市丰田科技种业有限责任公司,hs100510,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,495048.0,法国,一般贸易,杭州天草科技有限公司,hs230330,usd
进口,2016.0,10079000,其他食用高梁,5423606.0,澳大利亚,一般贸易,恒天创业投资有限公司,hs100700,usd
进口,2016.0,07141020,木薯干,54687039.0,泰国,一般贸易,山东泓达生物科技有限公司,hs071410,usd
进口,2016.0,10049000,其他燕麦,1069870.0,芬兰,一般贸易,深圳市粤茂进出口贸易有限公司,hs100400,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,6565301.0,美国,一般贸易,广州市海大饲料有限公司,hs230330,usd
进口,2016.0,10079000,其他食用高梁,14902910.0,澳大利亚,一般贸易,安徽安粮国际发展有限公司,hs100700,usd
进口,2016.0,10059000,玉米，种用除外,401178.0,乌克兰,一般贸易,厦门建发股份有限公司,hs100590,usd
进口,2016.0,10051000,种用玉米,154121.0,法国,一般贸易,哈尔滨市益农种业有限公司,hs100510,usd
进口,2016.0,10079000,其他食用高梁,289357813.0,美国,一般贸易,广东俊杰农产品有限公司,hs100700,usd
进口,2016.0,07141020,木薯干,224719.0,柬埔寨,一般贸易,中国航空技术国际控股有限公司,hs071410,usd
进口,2016.0,10051000,种用玉米,103.0,德国,一般贸易,河南金苑种业股份有限公司,hs100510,usd
进口,2016.0,07141020,木薯干,7517530.0,泰国,一般贸易,上海开伦造纸印刷集团有限公司,hs071410,usd
进口,2016.0,07141020,木薯干,8591165.0,柬埔寨,一般贸易,群星集团公司,hs071410,usd
进口,2016.0,10071000,种用食用高梁,94.0,德国,一般贸易,北京金色谷雨种业科技有限公司,hs100700,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,227865.0,美国,一般贸易,艾地盟(上海)管理有限公司,hs230330,usd
进口,2016.0,10051000,种用玉米,1098.0,以色列,除一般贸易及加工贸易外合计（代码修正）,北京奥立沃种业科技有限公司,hs100510,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,2248944.0,美国,一般贸易,建发(广州)有限公司,hs230330,usd
进口,2016.0,10079000,其他食用高梁,975242.0,澳大利亚,一般贸易,日照山外山进出口有限公司,hs100700,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,2065239.0,美国,一般贸易,天津建源供应链管理有限公司,hs230330,usd
进口,2016.0,07141020,木薯干,5820925.0,泰国,一般贸易,山东大丰商贸有限公司,hs071410,usd
进口,2016.0,10059000,玉米，种用除外,747186.0,秘鲁,加工贸易（代码修正）,大连平和食品有限公司,hs100590,usd
进口,2016.0,10059000,玉米，种用除外,295905.0,俄罗斯联邦,一般贸易,吉林省金达海外农业开发投资有限公司,hs100590,usd
进口,2016.0,10059000,玉米，种用除外,1198502.0,俄罗斯联邦,除一般贸易及加工贸易外合计（代码修正）,绥芬河综合保税区宝福农产品发展有限公司,hs100590,usd
进口,2016.0,07141010,鲜木薯,403162.0,越南,除一般贸易及加工贸易外合计（代码修正）,河口昊龙进出口有限公司,hs071410,usd
进口,2016.0,10059000,玉米，种用除外,484006.0,俄罗斯联邦,一般贸易,黑河宇鑫贸易有限责任公司,hs100590,usd
进口,2016.0,10039000,其他大麦,16092708.0,法国,一般贸易,新谷(上海)贸易有限公司,hs100300,usd
进口,2016.0,10079000,其他食用高梁,2318985.0,澳大利亚,一般贸易,安徽安粮实业发展有限公司,hs100700,usd
进口,2016.0,10039000,其他大麦,93378030.0,澳大利亚,一般贸易,广东俊杰农产品有限公司,hs100300,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,3922352.0,美国,一般贸易,上海鑫粮农产品有限公司,hs230330,usd
进口,2016.0,07141020,木薯干,943127.0,泰国,一般贸易,厦门建发农产品有限公司,hs071410,usd
进口,2016.0,10031000,种用大麦,36.0,瑞典,除一般贸易及加工贸易外合计（代码修正）,甘肃倚隆工贸有限公司,hs100300,usd
