进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,贸易伙伴名称,贸易方式,货币,地址,第二数量,第二计量单位,商品1996编码
进口,2021-01,07141010,鲜木薯,85172.0,1122710.0,千克,越南,一般贸易,usd,云南省,0.0,—,hs071410
进口,2021-01,07141010,鲜木薯,656098.0,8155530.0,千克,越南,边境小额贸易,usd,云南省,0.0,—,hs071410
进口,2021-01,07141020,木薯干,5809975.0,19651600.0,千克,柬埔寨,一般贸易,usd,北京市,0.0,—,hs071410
进口,2021-01,07141020,木薯干,951466.0,3657860.0,千克,印度尼西亚,一般贸易,usd,安徽省,0.0,—,hs071410
进口,2021-01,07141020,木薯干,248094.0,985840.0,千克,印度尼西亚,一般贸易,usd,山东省,0.0,—,hs071410
进口,2021-01,07141020,木薯干,28749179.0,103106000.0,千克,泰国,一般贸易,usd,江苏省,0.0,—,hs071410
进口,2021-01,07141020,木薯干,7356714.0,26087600.0,千克,泰国,一般贸易,usd,安徽省,0.0,—,hs071410
进口,2021-01,07141020,木薯干,25089162.0,89858800.0,千克,泰国,一般贸易,usd,山东省,0.0,—,hs071410
进口,2021-01,07141020,木薯干,2193280.0,7672700.0,千克,泰国,一般贸易,usd,广西壮族自治区,0.0,—,hs071410
进口,2021-01,07141020,木薯干,7517630.0,26817200.0,千克,越南,一般贸易,usd,北京市,0.0,—,hs071410
进口,2021-01,07141020,木薯干,243325.0,851220.0,千克,越南,一般贸易,usd,江苏省,0.0,—,hs071410
进口,2021-01,07141020,木薯干,1612420.0,6319050.0,千克,越南,一般贸易,usd,安徽省,0.0,—,hs071410
进口,2021-01,07141020,木薯干,1303521.0,5170120.0,千克,越南,一般贸易,usd,山东省,0.0,—,hs071410
进口,2021-01,07141020,木薯干,2084942.0,7775000.0,千克,越南,一般贸易,usd,湖北省,0.0,—,hs071410
进口,2021-01,07141020,木薯干,5480390.0,20276900.0,千克,越南,一般贸易,usd,广西壮族自治区,0.0,—,hs071410
进口,2021-01,07141020,木薯干,1055996.0,4876670.0,千克,越南,一般贸易,usd,云南省,0.0,—,hs071410
进口,2021-01,07141020,木薯干,1943824.0,8573360.0,千克,越南,边境小额贸易,usd,云南省,0.0,—,hs071410
进口,2021-01,07141020,木薯干,17934.0,74685.0,千克,坦桑尼亚,一般贸易,usd,福建省,0.0,—,hs071410
进口,2021-01,10039000,其他大麦,254790.0,1073150.0,千克,哈萨克斯坦,一般贸易,usd,福建省,0.0,—,hs100300
进口,2021-01,10039000,其他大麦,789632.0,4016000.0,千克,哈萨克斯坦,海关特殊监管区域物流货物,usd,新疆维吾尔自治区,0.0,—,hs100300
进口,2021-01,10039000,其他大麦,554957.0,2007330.0,千克,丹麦,一般贸易,usd,广东省,0.0,—,hs100300
进口,2021-01,10039000,其他大麦,18331373.0,71483700.0,千克,法国,一般贸易,usd,北京市,0.0,—,hs100300
进口,2021-01,10039000,其他大麦,11618240.0,42062100.0,千克,法国,一般贸易,usd,辽宁省,0.0,—,hs100300
进口,2021-01,10039000,其他大麦,543942.0,2313520.0,千克,俄罗斯联邦,一般贸易,usd,北京市,0.0,—,hs100300
进口,2021-01,10039000,其他大麦,1173585.0,4681400.0,千克,俄罗斯联邦,一般贸易,usd,福建省,0.0,—,hs100300
进口,2021-01,10039000,其他大麦,403562.0,1623920.0,千克,俄罗斯联邦,一般贸易,usd,重庆市,0.0,—,hs100300
进口,2021-01,10039000,其他大麦,288216.0,1197820.0,千克,俄罗斯联邦,一般贸易,usd,新疆维吾尔自治区,0.0,—,hs100300
进口,2021-01,10039000,其他大麦,223748.0,999566.0,千克,俄罗斯联邦,边境小额贸易,usd,内蒙古自治区,0.0,—,hs100300
进口,2021-01,10039000,其他大麦,16382790.0,65275000.0,千克,乌克兰,一般贸易,usd,北京市,0.0,—,hs100300
进口,2021-01,10039000,其他大麦,11914049.0,49007400.0,千克,乌克兰,一般贸易,usd,浙江省,0.0,—,hs100300
进口,2021-01,10039000,其他大麦,42859097.0,172310000.0,千克,乌克兰,一般贸易,usd,福建省,0.0,—,hs100300
进口,2021-01,10039000,其他大麦,11455722.0,41481200.0,千克,加拿大,一般贸易,usd,江苏省,0.0,—,hs100300
进口,2021-01,10039000,其他大麦,2664112.0,9434370.0,千克,加拿大,一般贸易,usd,浙江省,0.0,—,hs100300
