进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,贸易伙伴名称,贸易方式,货币,地址,第二数量,第二计量单位
进口,2020-05,07141020,木薯干,4725400.0,20746800.0,千克,老挝,一般贸易,usd,北京市,0.0,—
进口,2020-05,07141020,木薯干,2252620.0,10500000.0,千克,泰国,一般贸易,usd,北京市,0.0,—
进口,2020-05,07141020,木薯干,13609900.0,62151300.0,千克,泰国,一般贸易,usd,江苏省,0.0,—
进口,2020-05,07141020,木薯干,5031500.0,23215100.0,千克,泰国,一般贸易,usd,安徽省,0.0,—
进口,2020-05,07141020,木薯干,20961200.0,95685000.0,千克,泰国,一般贸易,usd,山东省,0.0,—
进口,2020-05,07141020,木薯干,3066270.0,14815600.0,千克,泰国,一般贸易,usd,广西壮族自治区,0.0,—
进口,2020-05,07141020,木薯干,1955670.0,9085560.0,千克,越南,一般贸易,usd,北京市,0.0,—
进口,2020-05,07141020,木薯干,2494470.0,10950200.0,千克,越南,一般贸易,usd,上海市,0.0,—
进口,2020-05,07141020,木薯干,458420.0,1987170.0,千克,越南,一般贸易,usd,江苏省,0.0,—
进口,2020-05,07141020,木薯干,241409.0,1133960.0,千克,越南,一般贸易,usd,江西省,0.0,—
进口,2020-05,07141020,木薯干,4313680.0,20244600.0,千克,越南,一般贸易,usd,山东省,0.0,—
进口,2020-05,07141020,木薯干,680614.0,3481300.0,千克,越南,边境小额贸易,usd,云南省,0.0,—
进口,2020-05,07141020,木薯干,4784.0,27000.0,千克,尼日利亚,一般贸易,usd,山东省,0.0,—
进口,2020-05,10039000,其他大麦,135075.0,785000.0,千克,哈萨克斯坦,一般贸易,usd,甘肃省,0.0,—
进口,2020-05,10039000,其他大麦,820400.0,4676000.0,千克,哈萨克斯坦,一般贸易,usd,新疆维吾尔自治区,0.0,—
进口,2020-05,10039000,其他大麦,111241.0,573000.0,千克,哈萨克斯坦,海关特殊监管区域物流货物,usd,新疆维吾尔自治区,0.0,—
进口,2020-05,10039000,其他大麦,161309.0,598980.0,千克,法国,一般贸易,usd,河北省,0.0,—
