variable,N,mean,sd,min,median,max
total_expenditure_usd,634,108692110.7381703,276121568,9,21424016,2580201216
w_corn,634,.2510679644376029,.36340433,0,.010544705,1
w_sorghum,634,.17442142322621,.29288444,0,.0088601429,1
w_cassava,634,.1693416416125694,.29575983,0,0,1
w_oats,634,.0726533429224244,.20420626,0,0,1
w_barley,634,.3325156278011932,.36503774,0,.19552179,1
price_corn,634,2.866199641933294,15.623409,.072450303,.28895506,252.9752
price_sorghum,634,1.23447944675681,16.178223,.14778706,.31374323,399
price_cassava,634,.2921266916264085,1.0829314,.15842576,.25131708,27.5
price_oats,634,4.523000824617945,86.647186,.12519477,.31529787,2179
price_barley,634,.3118224367662209,1.0512427,.13386545,.2600213,26.700001
