model,margin,elasticity_type,demand_product,price_product,reference_share,estimate,std_error,z_value,p_value,ci_low,ci_high,significance,p_value_vs_one,significance_vs_one
aids,latent,expenditure,corn,,0.2510900068834304,1.0031276,0.065595537,15.292619,0,0.87456262,1.1316924,***,0.9619721571272618,
aids,latent,expenditure,sorghum,,0.1743038821832043,0.98265839,0.060114689,16.346394,0,0.86483574,1.100481,***,0.7729828980193486,
aids,latent,expenditure,cassava,,0.1690242076380508,1.0817527,0.067133598,16.113434,0,0.95017326,1.2133322,***,0.2233145929100671,
aids,latent,expenditure,oats,,0.07358301166634471,0.57671076,0.09235996,6.2441645,4.260719e-10,0.39568859,0.7577329900000001,***,4.58268613069e-06,***
aids,latent,expenditure,barley,,0.3319988916289698,1.0589343,0.029207077,36.256088,0,1.0016896,1.1161791,***,0.0436110991585779,**
aids,latent,hicksian,corn,corn,0.2510900068834304,-0.83720273,0.085836172,-9.753496200000001,1.7822265e-22,-1.0054386,-0.6689669499999999,***,,
aids,latent,hicksian,corn,sorghum,0.2510900068834304,0.28255326,0.1049536,2.692173,0.0070988117,0.07684797,0.48825854,***,,
aids,latent,hicksian,corn,cassava,0.2510900068834304,0.15576378,0.05380062,2.8952041,0.0037891211,0.050316498,0.26121104,***,,
aids,latent,hicksian,corn,oats,0.2510900068834304,-0.024026947,0.050346754,-0.4772293,0.63319886,-0.12270477,0.074650884,,,
aids,latent,hicksian,corn,barley,0.2510900068834304,0.42291269,0.09752846499999999,4.3362999,1.4490124e-05,0.2317604,0.61406493,***,,
aids,latent,hicksian,sorghum,corn,0.1743038821832043,0.4070265,0.15202221,2.6774144,0.0074192779,0.10906842,0.70498455,***,,
aids,latent,hicksian,sorghum,sorghum,0.1743038821832043,-0.98732102,0.06765655399999999,-14.593131,0,-1.1199254,-0.8547166,***,,
aids,latent,hicksian,sorghum,cassava,0.1743038821832043,0.10635634,0.08049814399999999,1.3212272,0.1864256,-0.05141712,0.26412979,,,
aids,latent,hicksian,sorghum,oats,0.1743038821832043,0.093079045,0.05327468,1.7471535,0.080610707,-0.011337408,0.19749549,*,,
aids,latent,hicksian,sorghum,barley,0.1743038821832043,0.38085914,0.14130473,2.6953034,0.0070324568,0.10390694,0.65781128,***,,
aids,latent,hicksian,cassava,corn,0.1690242076380508,0.23139127,0.083435647,2.7732902,0.0055492609,0.067860402,0.39492214,***,,
aids,latent,hicksian,cassava,sorghum,0.1690242076380508,0.10967851,0.09226132200000001,1.188781,0.23452587,-0.07115036199999999,0.29050738,,,
aids,latent,hicksian,cassava,cassava,0.1690242076380508,-1.5367352,0.3326281,-4.6199799,3.8377698e-06,-2.1886744,-0.88479608,***,,
aids,latent,hicksian,cassava,oats,0.1690242076380508,0.16454516,0.10585954,1.5543725,0.12009558,-0.042935725,0.37202603,,,
aids,latent,hicksian,cassava,barley,0.1690242076380508,1.0311203,0.37898675,2.7207294,0.0065138089,0.28831995,1.7739207,***,,
aids,latent,hicksian,oats,corn,0.07358301166634471,-0.081988029,0.17221139,-0.47608948,0.63401061,-0.41951615,0.2555401,,,
aids,latent,hicksian,oats,sorghum,0.07358301166634471,0.22048621,0.10042526,2.1955254,0.028125938,0.023656307,0.41731611,**,,
aids,latent,hicksian,oats,cassava,0.07358301166634471,0.37796924,0.192151,1.9670429,0.049178265,0.001360222,0.75457823,**,,
aids,latent,hicksian,oats,oats,0.07358301166634471,-0.96975213,0.1474857,-6.5752282,4.857862e-11,-1.2588187,-0.68068546,***,,
aids,latent,hicksian,oats,barley,0.07358301166634471,0.45328471,0.20417148,2.2201178,0.026410773,0.053115983,0.85345346,**,,
aids,latent,hicksian,barley,corn,0.3319988916289698,0.31984791,0.08583484600000001,3.7263176,0.00019429746,0.1516147,0.4880811,***,,
aids,latent,hicksian,barley,sorghum,0.3319988916289698,0.19995616,0.079490222,2.5154812,0.011887005,0.044158183,0.35575414,**,,
aids,latent,hicksian,barley,cassava,0.3319988916289698,0.52495444,0.24267171,2.1632288,0.030523587,0.049326621,1.0005822,**,,
aids,latent,hicksian,barley,oats,0.3319988916289698,0.10046435,0.05804364,1.7308418,0.08348,-0.013299091,0.2142278,*,,
aids,latent,hicksian,barley,barley,0.3319988916289698,-1.1452229,0.29020271,-3.946286,7.9372803e-05,-1.7140096,-0.57643598,***,,
aids,latent,marshallian,corn,corn,0.2510900068834304,-1.0890781,0.081650868,-13.33823,0,-1.2491108,-0.92904532,***,,
aids,latent,marshallian,corn,sorghum,0.2510900068834304,0.10770423,0.09206976,1.1698111,0.24207698,-0.072749183,0.28815764,,,
aids,latent,marshallian,corn,cassava,0.2510900068834304,-0.013789064,0.045516916,-0.30294374,0.7619327299999999,-0.10300058,0.075422451,,,
aids,latent,marshallian,corn,oats,0.2510900068834304,-0.097840093,0.055484336,-1.7633822,0.077836052,-0.20658739,0.010907211,*,,
aids,latent,marshallian,corn,barley,0.2510900068834304,0.08987545199999999,0.07051753299999999,1.2745122,0.20248196,-0.048336368,0.22808728,,,
aids,latent,marshallian,sorghum,corn,0.1743038821832043,0.16029079,0.12590469,1.2731121,0.20297828,-0.086477891,0.40705946,,,
aids,latent,marshallian,sorghum,sorghum,0.1743038821832043,-1.1586021,0.061271764,-18.909235,0,-1.2786926,-1.0385118,***,,
aids,latent,marshallian,sorghum,cassava,0.1743038821832043,-0.059736721,0.083819292,-0.71268463,0.47604093,-0.22401951,0.10454607,,,
aids,latent,marshallian,sorghum,oats,0.1743038821832043,0.020772081,0.046802368,0.44382545,0.65716881,-0.070958875,0.11250303,,,
aids,latent,marshallian,sorghum,barley,0.1743038821832043,0.054617625,0.12653312,0.43164688,0.6659981,-0.19338273,0.30261797,,,
aids,latent,marshallian,cassava,corn,0.1690242076380508,-0.040226024,0.052573416,-0.76514,0.44418818,-0.14326803,0.06281597899999999,,,
aids,latent,marshallian,cassava,sorghum,0.1690242076380508,-0.078875192,0.073139042,-1.078428,0.28084278,-0.22222507,0.064474694,,,
aids,latent,marshallian,cassava,cassava,0.1690242076380508,-1.7195777,0.32311827,-5.3218212,1.0273359e-07,-2.3528779,-1.0862775,***,,
aids,latent,marshallian,cassava,oats,0.1690242076380508,0.084946536,0.08983466800000001,0.94558746,0.34435904,-0.091126174,0.26101926,,,
aids,latent,marshallian,cassava,barley,0.1690242076380508,0.6719796099999999,0.3781341,1.7770934,0.075552881,-0.069149613,1.4131088,*,,
aids,latent,marshallian,oats,corn,0.07358301166634471,-0.22679435,0.16211058,-1.3990102,0.16180994,-0.54452527,0.09093654900000001,,,
aids,latent,marshallian,oats,sorghum,0.07358301166634471,0.11996327,0.10310367,1.1635208,0.24461824,-0.082116209,0.32204276,,,
aids,latent,marshallian,oats,cassava,0.07358301166634471,0.28049114,0.18702629,1.4997419,0.13368128,-0.08607363699999999,0.64705598,,,
aids,latent,marshallian,oats,oats,0.07358301166634471,-1.0121882,0.15906794,-6.3632445,1.9753563e-10,-1.3239557,-0.7004208,***,,
