wave,T1,income,urbanrate,oldrate,engel,foodpindex,zyywsr,cyyye,cyyysr
2012,11,15365.0,86.290001,8.6007185,0.31337163,106.5792,543.59998,543.5,519.29999
2012,11,36817.0,86.290001,8.6007185,0.33208093,106.5792,543.59998,543.5,519.29999
2012,11,36468.75,86.290001,8.6007185,0.31337163,106.5792,543.59998,543.5,519.29999
2012,12,29626.41,81.550003,10.457129,0.36224344,106.4362,99.800003,100.0,94.099998
2012,12,13593.0,81.550003,10.457129,0.36673751,106.4362,99.800003,100.0,94.099998
2012,12,24030.0,81.550003,10.457129,0.36673751,106.4362,99.800003,100.0,94.099998
2012,13,20543.439,46.599998,9.0928526,0.33605614,103.7807,53.299999,54.400002,45.400002
2012,13,13647.0,46.599998,9.0928526,0.33873042,103.7807,53.299999,54.400002,45.400002
2012,13,8158.0,46.599998,9.0928526,0.33873042,103.7807,53.299999,54.400002,45.400002
2012,14,20411.711,51.32,7.9660115,0.33415732,104.1515,95.0,99.699997,79.099998
2012,14,7064.0,51.32,7.9660115,0.31573111,104.1515,95.0,99.699997,79.099998
2012,14,13592.0,51.32,7.9660115,0.31573111,104.1515,95.0,99.699997,79.099998
2012,15,24564.721,58.419998,7.8748498,0.37288782,105.7879,74.599998,55.799999,44.400002
2012,15,23150.26,58.419998,7.8748498,0.37288782,105.7879,74.599998,55.799999,44.400002
2012,15,7956.0,58.419998,7.8748498,0.37288782,105.7879,74.599998,55.799999,44.400002
2012,15,8389.0,58.419998,7.8748498,0.30835634,105.7879,74.599998,55.799999,44.400002
2012,15,16800.0,58.419998,7.8748498,0.37288782,105.7879,74.599998,55.799999,44.400002
2012,15,16510.0,58.419998,7.8748498,0.37288782,105.7879,74.599998,55.799999,44.400002
2012,21,23222.67,65.650002,9.9369211,0.35009822,104.9013,143.39999,147.0,138.3
2012,21,18761.0,65.650002,9.9369211,0.35009822,104.9013,143.39999,147.0,138.3
2012,21,9061.0,65.650002,9.9369211,0.38343459,104.9013,143.39999,147.0,138.3
2012,22,8741.0,54.540001,7.7388992,0.36674774,104.9345,21.1,21.799999,15.8
2012,22,20208.039,54.540001,7.7388992,0.31719029,104.9345,21.1,21.799999,15.8
2012,22,14395.0,54.540001,7.7388992,0.36674774,104.9345,21.1,21.799999,15.8
2012,23,14302.0,56.880001,8.8371363,0.36101297,105.5135,30.5,31.799999,24.4
2012,23,8367.0,56.880001,8.8371363,0.36101297,105.5135,30.5,31.799999,24.4
2012,23,17759.75,56.880001,8.8371363,0.37861493,105.5135,30.5,31.799999,24.4
2012,31,38550.0,89.300003,9.0121841,0.36778376,105.8358,349.79999,419.79999,404.10001
2012,31,17452.0,89.300003,9.0121841,0.40492785,105.8358,349.79999,419.79999,404.10001
2012,31,40188.34,89.300003,9.0121841,0.36778376,105.8358,349.79999,419.79999,404.10001
2012,32,22432.0,63.009998,11.496149,0.33366665,104.6619,329.60001,333.70001,293.60001
