model,category,short,MAE,RMSE,R2
lightgbm,q_daogu,大米,0.14727504505408273,0.22435973469265078,-0.08474674542915164
lasso,q_daogu,大米,0.13829870164989538,0.21306625892764414,0.022585872749912084
linear,q_daogu,大米,0.1383689537681017,0.21309416647107876,0.022320071450769686
xgboost,q_daogu,大米,0.14969103653361626,0.22686247428902764,-0.10964565743776959
catboost,q_daogu,大米,0.137180199377496,0.20778048555784084,0.07040550724594956
randomforest,q_daogu,大米,0.1393557748222054,0.21307500967512105,0.022178190646023953
mlp,q_daogu,大米,0.13805527132978623,0.20749382751761053,0.07229041043711046
tabnet,q_daogu,大米,0.1574147670523976,0.23522897480355193,-1478.2164954336724
tabm,q_daogu,大米,0.13482920597223091,0.2066974034711282,0.0798004421078804
tabpfn,q_daogu,大米,0.13994121366754442,0.20699043060152614,0.0774174665242648
resnet_tabular,q_daogu,大米,0.13912137323027057,0.23328625237875963,-0.17146177151806713
fttransformer,q_daogu,大米,0.12207681313552243,0.22606041460936543,-0.1006612121476512
lightgbm,q_xiaomai,小麦,0.18905854770376934,0.2821053544302105,-0.012209661275995787
lasso,q_xiaomai,小麦,0.1838729091347207,0.27503394120164576,0.0378240487592834
linear,q_xiaomai,小麦,0.18389537163902422,0.27503015813983783,0.037852107661496916
xgboost,q_xiaomai,小麦,0.19221416138500325,0.2840521859671992,-0.02670289497161127
catboost,q_xiaomai,小麦,0.18208153278848313,0.2718601595415489,0.05957865739014938
randomforest,q_xiaomai,小麦,0.18540142744740848,0.2783001522575584,0.014467448155056916
mlp,q_xiaomai,小麦,0.18313864142081013,0.2717329752688521,0.06075921095973016
tabnet,q_xiaomai,小麦,0.20023375101941504,0.30002560355668645,-1349.7073698550068
tabm,q_xiaomai,小麦,0.1855751401342966,0.27027044997524674,0.07072457727728639
tabpfn,q_xiaomai,小麦,0.18520397822190157,0.26865986190706287,0.0816999832777114
resnet_tabular,q_xiaomai,小麦,0.17352385651148797,0.3044133320686744,-0.18076216059332845
fttransformer,q_xiaomai,小麦,0.17418595169212175,0.29336115380472844,-0.09594014808674416
lightgbm,q_doulei,豆类,0.20046479227420105,0.2901621628997524,-0.05366651413478132
lasso,q_doulei,豆类,0.1966504877181683,0.2768912976105009,0.04128041113354171
linear,q_doulei,豆类,0.1966085665218184,0.27686493223790976,0.04146623300413599
xgboost,q_doulei,豆类,0.2027333191301562,0.2937181791596716,-0.07955745969201403
catboost,q_doulei,豆类,0.19668067214107615,0.28038999692195976,0.016739799409814272
randomforest,q_doulei,豆类,0.198929137163875,0.28963975971860706,-0.04969895426111193
mlp,q_doulei,豆类,0.19332589811718084,0.27714663955306995,0.0395206943035505
