model,category,short,MAE,RMSE,R2
tabnet,q_doulei,豆类,0.21262230804644364,0.3011307231327032,-1221.0657229551932
tabm,q_doulei,豆类,0.19875003121295015,0.27809164444019324,0.03292103914234381
tabpfn,q_doulei,豆类,0.2005985292014949,0.2780084176122311,0.03313091924974598
resnet_tabular,q_doulei,豆类,0.16900492543171083,0.2982510001928792,-0.1117680818239716
fttransformer,q_doulei,豆类,0.21026245850914288,0.28602508943372645,-0.023980701467633824
lightgbm,q_zaliang,杂粮,0.1643777145915905,0.2681350556621167,-0.07258311017003076
lasso,q_zaliang,杂粮,0.15547763431668213,0.26208727749890304,-0.024568516935845875
linear,q_zaliang,杂粮,0.15531854236145964,0.2617582993318278,-0.02192033579356294
xgboost,q_zaliang,杂粮,0.17146046038902285,0.2765363795189648,-0.14005958289081807
catboost,q_zaliang,杂粮,0.1546928133948578,0.25809361158343797,0.006907128884182745
randomforest,q_zaliang,杂粮,0.16019865294688285,0.2643752285801031,-0.04206427848381442
mlp,q_zaliang,杂粮,0.1531196103309436,0.2563290242344399,0.02069728016921508
tabnet,q_zaliang,杂粮,0.18244503409937768,0.2761931481486679,-1235.522894991388
tabm,q_zaliang,杂粮,0.15596315003256347,0.2551874209182182,0.029378731533174607
tabpfn,q_zaliang,杂粮,0.16937927409806847,0.27147801773526314,-0.09953364011704187
resnet_tabular,q_zaliang,杂粮,0.15064858938662598,0.2778182067993269,-0.150327888344243
fttransformer,q_zaliang,杂粮,0.15621240740179806,0.26623861998689613,-0.05716023333504987
lightgbm,q_shucai,蔬菜,0.11819335084745433,0.19048308968959388,-0.01910733769074451
lasso,q_shucai,蔬菜,0.11185529710439587,0.18245617135162367,0.06486973826002462
linear,q_shucai,蔬菜,0.11187290735567046,0.18244775724115952,0.06496027354894769
xgboost,q_shucai,蔬菜,0.11928202575955693,0.19207747196909342,-0.03640043056014166
catboost,q_shucai,蔬菜,0.11198271915897351,0.18315976118042382,0.057681627876025064
randomforest,q_shucai,蔬菜,0.11363071370257291,0.18709371115787599,0.01678344902072082
mlp,q_shucai,蔬菜,0.11072048141357649,0.18264938133931247,0.0629268859431884
tabnet,q_shucai,蔬菜,0.13442861157801017,0.2015538163348059,-1473.4482644336447
tabm,q_shucai,蔬菜,0.11446860612925817,0.1817281014350852,0.07225429903100648
tabpfn,q_shucai,蔬菜,0.1125627918681161,0.18575225884454719,0.030140338058593685
resnet_tabular,q_shucai,蔬菜,0.122145275035033,0.20693970843230622,-0.20640983771388682
fttransformer,q_shucai,蔬菜,0.09744685531675706,0.20155034937814076,-0.14085811364480877
lightgbm,q_zhurou,猪肉,0.18109004924531893,0.2662952363008796,-0.04929913005891349
lasso,q_zhurou,猪肉,0.17649318877490947,0.2530396030155937,0.05273097620309415
linear,q_zhurou,猪肉,0.17651686751589551,0.2530279107283283,0.052827286982030805
xgboost,q_zhurou,猪肉,0.18521103371026965,0.2707436313081996,-0.08485269182404029
catboost,q_zhurou,猪肉,0.17570313425214967,0.2554959227180228,0.034144021974338815
randomforest,q_zhurou,猪肉,0.1792678747441892,0.2653780687160839,-0.042006320841220066
mlp,q_zhurou,猪肉,0.17842633706300978,0.2532325214029905,0.05127509881766838
tabnet,q_zhurou,猪肉,0.19294538194340582,0.27490535129914384,-1321.62949092849
tabm,q_zhurou,猪肉,0.1742072841083984,0.2537958312552603,0.04692763305720946
tabpfn,q_zhurou,猪肉,0.1805517112979222,0.2537873889357677,0.04707879062021418
resnet_tabular,q_zhurou,猪肉,0.15726748553325395,0.2759074635410096,-0.12678368013119798
fttransformer,q_zhurou,猪肉,0.17191424986114517,0.26298373650406537,-0.02390013547577776
lightgbm,q_niurou,牛肉,0.32883990106748506,0.42969901977664476,-0.07508667059729413
lasso,q_niurou,牛肉,0.32376297413456295,0.40915889048529286,0.0254147021015525
linear,q_niurou,牛肉,0.32387397965266873,0.40917039069320094,0.025372208328283397
xgboost,q_niurou,牛肉,0.32706395313375686,0.4355573403571328,-0.10455856342312772
catboost,q_niurou,牛肉,0.32306560281627916,0.4147101493197208,-0.0013825834036884643
randomforest,q_niurou,牛肉,0.32403684586629744,0.4266236237017151,-0.05990519516260488
mlp,q_niurou,牛肉,0.3313371928432466,0.41240889734962505,0.009536974413924648
tabnet,q_niurou,牛肉,0.3461975703230259,0.43666421445560843,-418.20410093324045
tabm,q_niurou,牛肉,0.3296226622070163,0.4091125087607521,0.025735659023816203
tabpfn,q_niurou,牛肉,0.3291467851341038,0.41022375330639926,0.02036533085698582
resnet_tabular,q_niurou,牛肉,0.2868463247586856,0.461604498795801,-0.2406882896188741
fttransformer,q_niurou,牛肉,0.3122704128627603,0.43930584381504667,-0.12376889271008959
lightgbm,q_yangrou,羊肉,0.3566843624909376,0.4586507459628698,-0.012901140791821008
lasso,q_yangrou,羊肉,0.37443022340241405,0.45043550140250915,0.023099204078454005
linear,q_yangrou,羊肉,0.37330895584334645,0.4474933094824188,0.03612278224140479
xgboost,q_yangrou,羊肉,0.3581591867412367,0.4785240981707018,-0.10269506910165085
catboost,q_yangrou,羊肉,0.3629743220252324,0.44671239815559627,0.03775760472788055
randomforest,q_yangrou,羊肉,0.354709919763127,0.45993349862177607,-0.01704112784701961
mlp,q_yangrou,羊肉,0.37326101218538404,0.4568172432777734,-0.004331692782747298
tabnet,q_yangrou,羊肉,0.4255380045171955,0.5047797865912342,-114.82130634787343
tabm,q_yangrou,羊肉,0.3859685746740328,0.44497904256420995,0.048657084963241656
tabpfn,q_yangrou,羊肉,0.3937926113623132,0.4408889806484181,0.06588505960562052
resnet_tabular,q_yangrou,羊肉,0.3368687784306651,0.4877995351068522,-0.14350616598765886
fttransformer,q_yangrou,羊肉,0.32054991842687575,0.5546518499092082,-0.4764981690736194
lightgbm,q_qinlei,禽肉,0.258824963164183,0.3677037417115051,-0.040312384828229186
lasso,q_qinlei,禽肉,0.2564952904506882,0.35561010328637055,0.02804980939589179
linear,q_qinlei,禽肉,0.256378453961415,0.3555904894639393,0.028130491875525677
xgboost,q_qinlei,禽肉,0.2624827417021246,0.3752259044769722,-0.0823003516789346
catboost,q_qinlei,禽肉,0.2572084315012416,0.3585243379981717,0.012284638098727197
randomforest,q_qinlei,禽肉,0.25844624078039213,0.3679000861690836,-0.04172290468362185
mlp,q_qinlei,禽肉,0.2580128430481524,0.3561982884170574,0.02481333942651549
tabnet,q_qinlei,禽肉,0.2653752313703861,0.377798612345443,-602.370845415721
tabm,q_qinlei,禽肉,0.25356466977527437,0.3562220551059349,0.024898124657540866
tabpfn,q_qinlei,禽肉,0.24594960890884687,0.3650270508817939,-0.023387011938029546
resnet_tabular,q_qinlei,禽肉,0.2228707315553277,0.3816024467682488,-0.12001873752835653
fttransformer,q_qinlei,禽肉,0.2501458051801157,0.3694412591773434,-0.04818305247871226
lightgbm,q_shuichanpin,水产品,0.1969140932247578,0.30965314088806845,-0.06299504705323851
lasso,q_shuichanpin,水产品,0.19258823988988732,0.2971537486879284,0.023046856238498604
linear,q_shuichanpin,水产品,0.19256452483897818,0.29720642618402804,0.022688702358229573
xgboost,q_shuichanpin,水产品,0.2018241108705407,0.31558134704090635,-0.10507644581030066
catboost,q_shuichanpin,水产品,0.19091165018612372,0.2982543816578474,0.014705119104510223
randomforest,q_shuichanpin,水产品,0.19360800354629795,0.3064434666675073,-0.04040608458194552
mlp,q_shuichanpin,水产品,0.1934589527809626,0.29666197591534776,0.025859305366465014
tabnet,q_shuichanpin,水产品,0.19924877414008257,0.31782346663566896,-856.183398020089
tabm,q_shuichanpin,水产品,0.1824972374956583,0.2974897540112567,0.02033662608279476
tabpfn,q_shuichanpin,水产品,0.19540731631066394,0.29666859852067934,0.026451301933204597
resnet_tabular,q_shuichanpin,水产品,0.16953086895461644,0.3163337526787706,-0.10710157556370303
fttransformer,q_shuichanpin,水产品,0.1771932263443356,0.30616534761917336,-0.03710436007306992
lightgbm,q_danlei,蛋类,0.14460309542875222,0.23860886806514162,-0.04498338247171611
lasso,q_danlei,蛋类,0.1369963600421743,0.22904356538005538,0.03761187390677947
linear,q_danlei,蛋类,0.13699592416421139,0.22904123419045863,0.037618971924527345
xgboost,q_danlei,蛋类,0.14960069100738344,0.24355253872997357,-0.08890608876681853
catboost,q_danlei,蛋类,0.1379069772034195,0.2319498890761858,0.012756132080700745
randomforest,q_danlei,蛋类,0.14396205274702265,0.24044121605706495,-0.060867868925620704
mlp,q_danlei,蛋类,0.13834503498558556,0.22964723913849464,0.03254400219507973
tabnet,q_danlei,蛋类,0.1495874181089542,0.24637129496240218,-1233.6393759887674
tabm,q_danlei,蛋类,0.1402941533681641,0.2292549279425679,0.035758384666372156
tabpfn,q_danlei,蛋类,0.13440021394282098,0.22956753005345404,0.03309070449816069
resnet_tabular,q_danlei,蛋类,0.13033039835567636,0.24437621935658807,-0.09595940936327119
fttransformer,q_danlei,蛋类,0.14154382556131428,0.2351894942997182,-0.014568557968383123
lightgbm,q_nailei,奶类,0.16282685908129185,0.2865173769580875,-0.11406034863836867
lasso,q_nailei,奶类,0.14583049489780672,0.26561385058913617,0.042520672799209146
linear,q_nailei,奶类,0.1454651159306534,0.2651972985593902,0.045661914922130856
xgboost,q_nailei,奶类,0.16670904712938733,0.29357813148557493,-0.17645163264941668
catboost,q_nailei,奶类,0.15082091863683791,0.2714520563992776,-0.0004484598030648046
randomforest,q_nailei,奶类,0.15613122550491415,0.28456256507808636,-0.1021551919455959
mlp,q_nailei,奶类,0.1441971348620353,0.266241491301043,0.03876983672917471
tabnet,q_nailei,奶类,0.17004666226597082,0.29228639842271553,-369.95084334580054
tabm,q_nailei,奶类,0.1415213623283619,0.2644125644620753,0.05252656231094557
tabpfn,q_nailei,奶类,0.15289698223077122,0.2650307270771442,0.04778420027155901
resnet_tabular,q_nailei,奶类,0.14656033438440505,0.2855134199460083,-0.10726388419879851
fttransformer,q_nailei,奶类,0.09778708209433584,0.2875763279021034,-0.12144943966310229
lightgbm,q_guaguo,水果,0.10633390596961503,0.20835729150640833,-0.14735535068821853
lasso,q_guaguo,水果,0.09175014975967201,0.19409050438186104,0.006285144553436229
linear,q_guaguo,水果,0.09176293359297234,0.19408576632280192,0.006344707430052931
xgboost,q_guaguo,水果,0.11163224270842101,0.21050541177965965,-0.16914490261938422
catboost,q_guaguo,水果,0.09586721245463223,0.19782302275010694,-0.03232011445528347
randomforest,q_guaguo,水果,0.09874490032729669,0.1999719512670805,-0.05531109911468639
mlp,q_guaguo,水果,0.09109448412708229,0.19527703297315196,-0.005418957259986312
tabnet,q_guaguo,水果,0.10273369718586241,0.20718335587708964,-1006.2907739684446
tabm,q_guaguo,水果,0.09294716446863871,0.19464087269789848,0.0006249641114716153
tabpfn,q_guaguo,水果,0.0979972105987202,0.1950209977058479,-0.003389858873497431
resnet_tabular,q_guaguo,水果,0.11001509268669189,0.21525633374475248,-0.227152010478778
fttransformer,q_guaguo,水果,0.058453644240516134,0.20265446933166115,-0.08322857691139274
lightgbm,q_youliao,食用油,0.02733324849626202,0.07304392661491678,-53229355.596301995
lasso,q_youliao,食用油,0.13010728291562276,0.31840014662886096,-800244973558.4784
linear,q_youliao,食用油,0.10994081063643875,0.256845144664643,-602763176980.2714
xgboost,q_youliao,食用油,0.09731207575116838,0.21473586363167846,-158982872562.56012
catboost,q_youliao,食用油,0.09368122940674081,0.1915871113166792,-157276679774.9463
randomforest,q_youliao,食用油,0.03988580447537554,0.10402302988797277,-16825610753.321558
mlp,q_youliao,食用油,0.029266474454735614,0.0822130439169572,-4445041191.071242
tabnet,q_youliao,食用油,0.40982142857142856,0.6250781088265523,-20600000000004.945
tabm,q_youliao,食用油,0.032991583006722586,0.08567171125101508,-2596569924.8205786
tabpfn,q_youliao,食用油,0.032379740689482,0.08193777221758544,-1329966767.9506733
resnet_tabular,q_youliao,食用油,0.11158637063843864,0.16889543907111404,-150994234421.03842
fttransformer,q_youliao,食用油,0.056106775573321756,0.09470834451436455,-9928192661.714457
lightgbm,q_tang,糖,0.3116532527062662,0.4522095620174194,-0.34925086197661864
lasso,q_tang,糖,0.36083632388914355,0.5044719360243555,-0.6485114097302928
linear,q_tang,糖,0.3560123581274325,0.4985391885298197,-0.626916461574804
xgboost,q_tang,糖,0.3461659761865036,0.5003233963851117,-0.6617480407391604
catboost,q_tang,糖,0.31218123992876434,0.4414480105556134,-0.2544166268579453
randomforest,q_tang,糖,0.30953222776244504,0.4433152352225244,-0.27776006900253825
mlp,q_tang,糖,0.27179265029710287,0.40539060000202765,-0.05464179134317928
tabnet,q_tang,糖,0.6199658423300382,0.7854680206403102,-129.4063114471444
tabm,q_tang,糖,0.27391608328702993,0.40575516541521334,-0.054511324317292754
tabpfn,q_tang,糖,0.27021075499268354,0.411593594189977,-0.08599018628266633
resnet_tabular,q_tang,糖,0.26267710233281744,0.42350040211955803,-0.15061842431213185
fttransformer,q_tang,糖,0.20971224175940645,0.44117384697074324,-0.2438803837649665
