wave,national_avg_liangshi,national_avg_shiyongyou,national_avg_shucai,national_avg_roulei,national_avg_qinlei,national_avg_shuichanpin,national_avg_danlei,national_avg_nailei,national_avg_guaguo,national_avg_tang
2015,134.5,10.6,97.8,26.2,8.4,11.2,9.5,12.1,40.5,1.3
2016,132.8,10.6,100.1,26.1,9.1,11.4,9.7,12,43.9,1.3
2017,130.1,10.4,99.2,26.7,8.9,11.5,10,12.1,45.6,1.3
2018,127.2,9.6,96.1,29.5,9,11.4,9.7,12.2,52.1,1.3
2019,130.1,9.5,98.6,26.9,10.8,13.6,10.7,12.5,56.4,1.3
2020,141.2,10.4,103.7,24.8,12.7,13.9,12.8,13,56.3,1.3
2021,144.6,10.8,109.8,32.9,12.3,14.2,13.2,14.4,61,1.3
2022,136.8,10,108.2,34.6,11.7,13.9,13.5,12.4,54.7,1.2
2023,134.4,10,113.6,39.8,12.4,15.2,15,13.2,60.8,1.2
2024,124.4,9.7,108.6,38.1,12.5,15.1,14.1,12.6,61.6,1.1
