wave,t1,qliangshi,qdaogu,qxiaomai,qyumi,qdoulei,qshulei,qyouliao,qshuiguo
1995,33,1430.9,1218.8,54.1,14.2,29.9,70.8,50,214.617
1995,54,70,0.5,24.9,1.1,4.6,0.3,3.4,0.559
1995,41,3466.5,295.8,1754.2,957.8,121.2,286,298,211.656
1995,64,203.2,46.2,68.9,60.8,5.5,8.9,5.6,11.642
1995,65,718.5,47.24,393.9,238.7,12.8,4.6,49.4,114.343
1995,34,2580.7,1269.9,699.1,271.9,72.1,235.3,191.8,52.656
1995,15,1055.4,39.6,262.2,518.4,67,74.3,70.2,18.15
1995,51,4365,2097.9,730.9,629.6,125.3,661.7,170.2,215.315
1995,52,948.9,425.2,107.8,238.5,30.7,134.6,58.8,20.971
1995,37,4246.4,91.2,2060.7,1543,127.3,357.6,315,717.686
1995,36,1607.4,1486.5,7.5,8.9,36.9,62.3,103.6,42.764
1995,23,2552.1,469.9,271,1212.6,436.8,81.5,20.1,12.701
1995,12,207.5,38.9,65.4,80.5,10.1,1.8,4,19.923
1995,44,1734.8,1471.6,6.9,21.9,20.1,206.6,71,414.507
1995,45,1508.2,1260,2.8,155.2,36.2,50.6,45.3,266.599
1995,32,3286.3,1798.6,892.6,270.8,88.2,90.2,159.5,101.346
1995,11,259.8,16.8,100.4,133,4.1,2.9,3.3,45.24
1995,13,2739,90.3,1060.3,1183.4,94.3,137.7,109.9,431.965
1995,22,1992.4,296.9,19.1,1478.5,89.7,34.8,25.6,27.972
1995,31,210.4,158.6,23.8,4.6,3.4,0.7,15.8,21.714
1995,63,114.2,,69.5,,13.2,14.8,16.2,2.683
1995,35,919.9,724.9,18.6,6.9,21.4,139.8,23.3,239.327
1995,46,201.8,160.9,,3.7,1.7,34.6,7.6,36.05
1995,53,1188.9,511.9,137.5,339.3,77.2,78.9,19.6,55.714
1995,62,644.2,5.3,254.2,125.9,34.3,59.7,31.7,80.363
1995,43,2691.6,2438.4,27.1,38.9,47.3,127.1,112,116.943
1995,14,917.1,4.2,270.1,403.5,36.7,64.2,22.3,102.581
1995,61,913.4,64.2,410.4,282.3,30.6,68.9,38.2,283.955
1995,21,1423.5,261.8,63.3,824.7,44.2,36.3,19.8,219.989
1995,42,2463.8,1730.7,363.6,150.1,64.6,135.2,189.4,114.697
1996,33,1516.8,1277.3,62.5,13.7,32.3,78.5,52.1,227.63
1996,54,77.7,0.5,26.1,1.3,4.1,0.8,3.5,0.508
1996,41,3839.9,314.8,2026.8,1038.3,103.6,303,278.5,247.26
1996,64,257.9,54,86.3,79.7,7.5,14.8,7.9,13.618
1996,65,805.3,50.3,433.1,282.5,9.3,6.4,31,115.985
1996,34,2674.1,1327.4,748.3,264.1,65.9,235.9,177.2,59.818
1996,15,1535.3,51,318.9,751.5,109.6,124,81.4,19.846
1996,51,4495.7,2182.3,720.3,716.9,100.1,681.3,156.8,225.1
1996,52,1012.6,459.4,104.1,262.4,32,142.5,55.6,19.464
1996,37,4332.7,113.6,2052.7,1603.4,117.8,378.9,309.3,843.91
1996,36,1766.3,1641.8,9.7,9,38.5,63.7,101,50.393
1996,23,3046.6,636,329.5,1445,428.6,98.6,16.8,14.463
1996,12,207,47.4,67.4,75.4,6.6,1.3,3.1,21.208
1996,44,1839.2,1549.2,5.9,37.1,21.6,210.3,74.2,381.173
