wave,q_liangshi,q_guwu,q_shiyongyou,q_zhiwuyou,q_shucai,q_roulei,q_zhurou,q_niurou,q_yangrou,q_qinlei,q_shuichanpin,q_danlei,q_nailei,q_guaguo,q_tang,T1
2015,90.8,81.5,10.8,10.7,100.6,26,14.2,3.3,3,6,9.6,13.7,26.9,68.9,0.8,11
2015,127.4,117.9,11,11,115.1,25.2,15.8,2.6,3,4.9,16.6,16.8,17.1,72.7,1.3,12
2015,131.5,122.6,9.7,9.6,88.2,19,12.4,1.2,1.3,4,5.3,12.5,13.9,53.8,1.1,13
2015,131.6,117.8,8,7.9,76,13.6,9.5,0.6,1.2,2.1,3,10.3,14.7,46.9,0.9,14
2015,156.5,144.3,8.1,7.8,90,32.8,16.9,3.8,8.6,5.1,4.9,9.3,21.9,51.8,1.3,15
2015,135.8,122,11.4,11.2,123.3,25.6,18.1,2.1,1.3,4.7,13.9,12.3,14.4,60.5,1.3,21
2015,129.7,119.3,11.2,11.1,94.7,19.6,14.9,1.7,0.7,3.8,7,9.7,9.5,47.1,1.1,22
2015,138.6,125.6,13.7,13.6,91.4,20.3,13.9,1.5,1.2,4.5,7.9,9.6,10.4,54.5,1.6,23
2015,102.7,91,9.7,9.5,102.8,28.9,20.6,2.6,1,12.1,25.2,10.4,21.7,51.1,1.4,31
2015,122,110.2,12.5,12.4,104.1,26.1,19.6,1.7,0.8,9.9,17.4,10.2,16.4,40.4,1.1,32
2015,130.6,117.6,11.3,10.8,91.8,26.9,21.9,1.7,0.5,9.8,24.3,7.6,12.5,46.1,1.4,33
2015,142,129.4,10,9.3,93.4,22.7,18.1,1.5,0.7,10.8,10.8,10.5,10.7,38.2,1.5,34
2015,126.7,117.2,9.3,8.2,88.7,31.3,25.5,1.5,0.7,10.6,26,8.2,10.8,37.4,1.6,35
2015,150.9,142.3,13,12.4,108.8,25.2,20.6,1.6,0.2,8.1,12.2,7.5,11.2,35.8,1.2,36
2015,127.4,118.2,8.9,8.9,88.9,20.3,12.9,1,1,5.9,11.2,15.7,18.2,60.7,0.9,37
2015,127.3,118.4,8.5,8.4,80.8,16.1,11.3,1.2,0.9,5.1,3.7,12.3,10.9,48.3,1.2,41
