wave,t1,qshuichan
2007,54,0.053
2008,11,6.076
2008,15,9.821
2008,37,730.301
2008,22,15.5
2008,54,0.05
2008,63,0.145
2008,65,9.12
2008,35,542
2008,44,680.412
2008,45,249.984
2008,61,5.22
2008,36,190.386
2008,42,313.394
2008,52,7.8
2008,53,25.463
2008,31,32.34
2008,62,1.177
2008,12,32.25
2008,23,35.58
2008,32,425.001
2008,50,19.06
2008,46,139.4
2008,51,95.205
2008,13,96.64
2008,14,3.07
2008,21,377.651
2008,33,418.79
2008,34,172.285
2008,41,50.576
2008,43,178.59
2008,64,7.514
2009,12,33.404
2009,15,10.598
2009,23,38.07
2009,32,443.224
2009,36,201.05
2009,53,27.122
2009,61,5.6
2009,62,1.193
2009,13,100.41
2009,22,16.518
2009,34,183.146
2009,37,753.594
2009,46,145.49
2009,51,100.132
2009,54,0.05
2009,11,5.816
2009,43,188.06
2009,50,20.39
2009,52,8.03
2009,63,0.14
2009,64,8.184
2009,21,400.605
2009,44,702.595
2009,65,9.504
2009,35,567.521
2009,14,3.1
2009,33,440.313
2009,41,53.765
2009,45,262.279
2009,31,30.899
2009,42,333.89
2010,11,6.339
2010,21,430.377
2010,22,16.596
2010,53,29.776
2010,54,0.05
2010,15,11.38
2010,33,477.95
2010,44,729.03
2010,52,8.79
2010,12,34.493
2010,32,460.443
2010,37,783.826
2010,45,275.505
2010,51,105.064
2010,61,6.037
2010,41,57.855
2010,42,353.094
2010,62,1.23
2010,14,3.17
2010,23,39.97
2010,31,28.968
2010,34,193.312
2010,13,106.33
2010,35,586.957
2010,36,215.341
2010,43,198
2010,65,10.106
2010,46,149.48
2010,50,22.43
2010,63,0.16
2010,64,9.004
2011,41,65.473
2011,51,112.146
2011,43,199.935
2011,50,27.56
2011,53,34.24
2011,65,11.156
2011,21,451.469
2011,22,17.282
2011,31,28.731
2011,33,515.81
2011,34,199.551
2011,35,603.739
2011,45,289.234
2011,62,1.288
2011,13,106.713
2011,63,0.329
2011,32,475.967
2011,11,6.123
2011,12,35.215
2011,14,3.614
2011,36,217.27
2011,37,813.828
2011,44,762.533
2011,15,12.29
2011,52,10.88
2011,23,41.969
2011,42,356.22
2011,46,160.245
2011,61,8.18
2011,64,10.542
2012,13,116.317
2012,31,29.713
2012,42,388.948
2012,46,172.734
2012,64,12.354
2012,12,36.504
2012,15,13.158
2012,43,221.438
2012,33,539.581
2012,35,628.683
2012,44,789.5
2012,62,1.334
2012,63,0.452
2012,65,12.17
2012,11,6.384
2012,23,45.284
2012,32,493.74
2012,36,237.001
2012,37,841.894
2012,61,10.543
2012,21,478.627
2012,45,303.87
2012,51,118.91
2012,14,4.124
2012,52,13.468
2012,34,207.494
2012,50,33.072
2012,22,18.21
2012,41,71.721
2012,53,40.12
2013,11,6.3611
2013,22,18.5827
2013,23,48.8615
2013,34,215.534
2013,42,410.373
2013,45,319.344
2013,50,38.5
2013,65,13.1704
2013,64,14.493
2013,21,505.025
2013,31,28.8787
2013,43,234.059
2013,46,183.142
2013,51,126.058
2013,32,509.384
2013,35,658.48
2013,54,0.04
2013,52,16.6997
2013,63,0.6
2013,44,816.127
2013,13,123.064
2013,14,4.5621
2013,15,14.1321
2013,36,242.646
2013,37,863.16
2013,53,48.63
2013,61,12.515
2013,12,39.8562
2013,33,550.819
2013,41,85.013
2013,62,1.3884
2014,14,5.1248
2014,15,14.7949
2014,46,197.436
2014,50,44.3409
2014,64,16.2588
2014,65,14.4007
2014,44,836.341
2014,54,0.034
2014,37,903.738
2014,52,20.994
2014,62,1.4476
2014,23,51.3534
2014,31,33.046
2014,32,518.75
2014,63,0.9037
2014,12,40.8244
2014,21,525.672
2014,43,248.162
2014,61,13.932
2014,11,6.8184
2014,22,19.0125
2014,33,574.173
2014,36,253.661
2014,41,91.764
2014,53,58.2013
2014,13,126.394
2014,34,223.686
2014,42,433.301
2014,35,695.836
2014,45,332.396
2014,51,132.635
2015,23,54.2368
2015,34,230.426
2015,43,259.378
2015,45,345.925
2015,50,48.0863
2015,51,138.685
2015,52,24.9762
2015,65,15.1361
2015,12,40.0965
2015,31,32.4369
2015,35,733.897
2015,44,858.222
2015,53,69.7098
2015,15,15.3525
2015,36,264.249
2015,62,1.4932
2015,21,531.276
2015,11,6.6147
2015,13,129.708
2015,22,19.52
2015,37,931.269
2015,42,455.886
2015,46,204.891
2015,41,102.373
2015,63,1.0578
2015,64,16.9727
2015,33,597.834
2015,54,0.034
2015,14,5.2427
2015,32,521.047
2015,61,15.516
2016,31,29.6201
2016,35,767.785
2016,62,1.5333
2016,22,20.0683
2016,51,145.439
2016,11,5.4288
2016,50,50.8427
2016,63,1.205
2016,15,15.8298
2016,34,235.796
2016,37,950.186
2016,65,16.1601
2016,13,136.927
2016,41,128.355
2016,52,28.989
2016,32,520.745
2016,42,470.839
2016,43,269.568
2016,44,873.789
2016,46,214.638
2016,54,0.0912
2016,12,39.436
2016,21,550.069
2016,33,604.54
2016,36,271.615
2016,45,361.765
2016,64,17.4591
2016,14,5.2279
2016,23,57.2955
2016,53,74.3663
2016,61,15.9
2017,12,
2017,22,22.035
2017,31,26.8882
2017,32,507.592
2017,34,217.963
2017,11,4.5098
2017,13,116.46
2017,43,241.531
2017,45,320.768
2017,51,150.74
2017,52,25.4782
2017,37,
2017,62,1.5441
2017,21,
2017,35,744.574
2017,41,94.673
2017,50,51.513
2017,65,16.5528
2017,23,58.7302
2017,33,594.452
2017,44,833.539
2017,53,63.1182
2017,54,0.0454
2017,14,
2017,36,250.555
2017,46,180.79
2017,64,18.0889
2017,15,
2017,42,465.422
2017,61,16.303
2017,63,1.6073
2018,11,3.0028
2018,12,32.6445
2018,21,450.824
2018,42,458.405
2018,14,4.7773
2018,15,13.9499
2018,33,589.613
2018,54,0.0377
2018,62,1.4136
2018,13,109.615
2018,32,494.844
2018,35,783.892
2018,36,255.945
2018,46,175.819
2018,23,62.432
2018,51,153.475
2018,31,26.2509
2018,37,861.403
2018,41,98.3817
2018,65,17.4342
2018,22,23.409
2018,34,224.962
2018,45,331.999
2018,52,23.732
2018,53,63.75
2018,61,16.3035
2018,63,1.7116
2018,43,246.938
2018,44,842.444
2018,50,52.9581
2018,64,17.6949
2019,53,63.65
2019,44,866.402
2019,31,28.0277
2019,41,99.0858
2019,22,23.6626
2019,52,24.3623
2019,21,455.011
2019,11,21.4026
2019,61,16.6208
2019,15,12.5956
2019,37,823.272
2019,35,814.576
2019,63,1.8526
2019,33,576.723
2019,13,99.0116
2019,14,4.6307
2019,51,157.686
2019,50,54.1717
2019,45,342.146
2019,36,258.814
2019,32,484.116
2019,12,26.2231
2019,62,1.4353
2019,34,231.46
2019,23,64.83
2019,64,15.766
2019,46,172.157
2019,43,254.412
2019,65,16.6758
2019,54,0.0406
2019,42,469.543
2020,21,462.303
2020,63,1.8257
2020,54,0.0933
2020,42,467.928
2020,12,28.4769
2020,44,875.806
2020,37,828.609
2020,52,24.8718
2020,22,24.4788
2020,62,1.4028
2020,32,490.185
2020,35,832.98
2020,36,262.69
2020,13,100.342
2020,14,4.6799
2020,15,11.7565
2020,11,22.8121
2020,31,24.4103
2020,33,589.554
2020,41,98.0594
2020,53,64.399
2020,34,232.405
2020,51,160.41
2020,61,16.8999
2020,50,52.3976
2020,45,345.801
2020,23,67.4141
2020,43,258.916
2020,65,16.3022
2020,46,164.645
2020,64,16.1625
