wave,t1,qroulei,qzhurou,qniurou,qyangrou,qnailei,qqindan
1997,41,403,256.1,64.9,25.2,10.6,187.7
1997,65,64.4,11.5,16.4,27.7,58.8,12.2
1998,11,44.8,27.9,2.1,1.2,22.8,17.9
1998,13,376.7,219.1,58,21.8,65.9,319
1998,22,223.7,117.2,28.3,2.6,13.4,73.1
1998,36,214.7,176.9,6.7,0.8,4.7,33.7
1998,43,422.5,365,11.7,5.1,0.8,47.3
1998,44,297.2,189.3,3.1,0.5,7.5,29.6
1998,62,55.6,38,6.9,6.8,14.1,9.5
1998,37,497.9,266.6,60.1,20.9,54,322
1998,52,113.3,97.6,5.9,3.4,0.6,5.8
1998,53,177,150.5,10.7,5.1,9.9,8.7
1998,15,129.4,73.3,17.6,27,67.1,21.2
1998,61,84.6,64.9,6.5,5.1,50.6,39.9
1998,64,15.6,8.2,2.6,2.4,18.2,6.5
1998,33,104,81.4,0.9,2.2,8,31.7
1998,41,461.6,297.9,76.7,28,12.3,229.3
1998,45,250.8,194,9.5,2.1,1.2,16.2
1998,50,140.1,121.6,3.5,1.5,4.7,24.5
1998,65,75.2,13.6,19.2,32.5,65,13.3
1998,23,142.7,83.5,25.7,3,144.5,71.2
1998,31,58.6,25.3,0.1,0.7,24.6,13.4
1998,42,261,202.9,13.2,2.1,4.2,121.6
1998,54,14.1,0.7,7.8,5.6,19.6,0.2
1998,12,21.7,13.9,2.3,1.4,11.7,22.7
1998,34,288,183.7,34.3,11.5,3,94.7
1998,35,135.2,107.3,2,1.1,6.7,36.7
1998,14,61,42.8,6.9,6.2,32.5,37
1998,21,216.6,112.8,23.4,2.6,19.9,131.6
1998,32,296.8,190.8,5.7,13.8,9.1,157.1
1998,46,31,19.9,1.8,0.8,0.1,1.4
1998,51,491.8,390.4,20,10.7,27.3,80.4
1998,63,20.5,6.8,6.9,6.4,20.5,1.4
1999,44,315.9,204.4,4.5,0.6,8.1,33.3
1999,63,20.1,7,6.1,6.7,19.6,1.3
1999,11,49.3,28.6,2.4,1.3,24.1,15.8
1999,31,54.1,25.9,0.1,0.7,25.9,16.2
1999,33,107.5,82.6,0.9,2.4,9.1,34.7
1999,43,426.1,364.9,13,5.4,1,49.6
1999,51,523.4,405.2,21.4,13.2,26.9,89.4
1999,13,393.9,226.5,61.9,23.4,78.8,338.6
1999,21,224.7,121.7,23.8,2.8,20.3,134.4
1999,37,524.5,272.5,65.5,23.3,61.3,349.1
1999,53,192.1,162.2,12.6,5.6,13.5,9.7
1999,64,17.1,8.8,3,2.5,20.5,7.1
1999,14,62.3,43.8,7,6.4,32.7,37.8
1999,32,306.9,196.2,5.2,13.9,16.3,168.2
1999,34,298.6,192.5,32.6,10.1,3.6,102.4
1999,42,265.8,209.8,13.1,2.5,4,105.5
1999,50,140.5,120.6,4,1.8,4.7,26.3
1999,54,14.7,0.7,8.3,5.7,20.9,0.3
1999,65,80.4,15.1,20.6,33.6,70.4,16.7
1999,62,57.7,39.1,7.2,6.9,13.8,10.3
1999,36,198.3,160.2,5.2,0.8,5.2,33.7
1999,41,485.1,314,82.2,30,15.9,251.8
1999,45,262.9,202.5,8.9,2.3,1.3,14
1999,52,117.1,99.5,6.4,3.8,1.5,6.1
1999,61,85.8,64.2,6.7,6,55.7,39.9
1999,12,23.5,14.6,2.5,1.7,12.9,25.1
1999,15,140.6,80.5,17.8,29.8,71.2,23.5
1999,22,236.4,121.7,31.3,2.9,14.5,77.7
1999,23,150.9,89,27.3,3.2,145,74.9
1999,35,138.8,110,2,1.2,8,39.2
1999,46,33.8,21.4,1.8,1,0,2.4
2000,13,419.4,242.8,65.3,24.6,96.2,357
2000,53,204.9,172.6,12.8,5.8,14.7,10.6
2000,54,14.9,0.8,8.5,5.7,20.4,0.2
2000,23,151.6,87.1,27.1,3.5,156.5,75.3
2000,37,560.2,285.9,69.2,24.8,70.5,366.2
2000,51,555.5,419.1,23.8,16.2,28.9,99.7
2000,33,117.6,89.8,0.9,2.6,11.2,37.2
2000,34,297.8,184.8,31.9,11.2,4.1,107.4
2000,44,322.2,206.8,5.2,0.4,9.5,33.1
2000,45,276.2,206.8,9.8,2.5,1.7,14.5
2000,14,63.7,43.5,7.3,7,35.9,40.3
2000,21,225.7,117,25.8,3.4,21.9,140.3
2000,22,216.3,95.5,33.5,3.2,15,80
2000,32,328,205.7,5.1,15.8,25.7,181.4
2000,36,184.4,143.5,5.2,0.9,5.8,33.5
2000,41,502,322.9,83,32,20.2,270
2000,64,18.5,8.8,3.3,3.3,23.6,7.6
2000,31,55,25.9,,0.7,25.9,16.6
2000,62,58.9,38.9,7.9,7.5,13.7,11.2
2000,11,55.9,29.1,3.3,1.6,30.4,16
2000,15,143.4,76.6,21.8,31.8,83,24.4
2000,46,38,22.7,2.1,1,0,2.9
2000,52,123.8,104.8,7,4.2,1.7,6.5
2000,61,83.2,60.9,7.9,5.4,63.9,42.5
2000,65,83.6,10.8,22.2,37.5,78.2,18.5
2000,12,28.9,17.3,2.8,2,16.5,25.6
2000,42,248.8,193.5,13.8,3,5.9,102.6
2000,43,434.7,371.8,13.5,6.1,1.1,52.3
2000,35,137.6,106.5,2.1,1.3,9.9,40.7
2000,50,153.6,132.1,4.4,1.9,5.6,27.9
2000,63,20.8,7,6.4,7,21.3,1.3
2001,13,445.7,260.3,68.5,25.6,119.3,369.6
2001,14,63.5,44.2,6.6,6.9,40.4,42.6
2001,51,541.3,441.2,22.3,16.3,33.3,108.8
2001,11,69.1,31.2,4,3,42.9,15.6
2001,21,234.7,123.8,27.3,3.7,26.6,148.4
2001,22,192.9,68.6,35.3,3.4,16.4,83
2001,44,333.3,213.7,5.2,0.5,10.4,33.1
2001,46,39.7,22.9,2.4,1.1,,3.1
2001,61,85.5,61.8,8.2,5.8,69.5,42.5
2001,65,90.8,12.2,24,40.5,87.8,20.4
2001,34,306.7,199.9,28.7,10.9,5.5,112.7
2001,43,456.8,389.8,13.2,6.7,1.8,54.7
2001,15,149.6,79,23.2,32.6,109,26.4
2001,52,131.7,110.9,7.6,4.3,2,7
2001,64,16.3,7.6,2.5,3.7,27.6,8.7
2001,37,595.4,298.7,73,27.6,90.4,379
2001,54,16,0.8,8.9,6.2,23.1,0.2
2001,36,193.8,151.7,5.3,0.9,5.9,33.6
2001,45,266.1,208.1,10.4,2.6,2.1,14.5
2001,50,146.3,122.6,4.7,2.1,6.8,29.8
2001,53,219.5,183.7,13.8,6.3,17.1,11.8
2001,63,22.2,7,7,7.6,22.8,1.3
2001,12,36.4,21.9,3.5,2.4,24.1,26
2001,23,137.5,73.1,23.6,3.9,192.4,80.3
2001,31,56.1,26.3,,0.9,26,16.9
2001,35,140,107.2,2.2,1.5,11.4,40.1
2001,32,343.1,216.7,5,16.3,36,180.1
2001,33,136.1,107.4,1,2.9,17.6,40.6
2001,41,537.9,343.8,89.2,34.5,30,286
2001,42,264.3,205.1,13.4,3.6,8.8,108.2
2001,62,65.1,43.4,8.7,8.4,15.6,11.9
2002,13,458.2,265.2,71.2,26.7,148.9,389.4
2002,35,142.5,110.6,2.3,1.5,14.2,40.8
2002,61,87,60.2,9.4,6.9,83.1,46.4
2002,14,64.9,45.3,6.7,6.9,47.2,45.7
2002,23,144,82.4,28.2,4.7,239.8,84.6
2002,33,147.8,115.1,1.2,3.1,22.2,43.5
2002,41,570,366.5,89.2,37.8,39,302
